bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1910413,3049115,text,23794,application/pdf,Introduced,https://legiscan.com/RI/text/H5017/id/3049115,https://webserver.rilegislature.gov/BillText25/HouseText25/H5017.pdf
1910413,3256674,text,118399,application/pdf,"Comm Sub",https://legiscan.com/RI/text/H5017/id/3256674,https://webserver.rilegislature.gov/BillText25/HouseText25/H5017A.pdf
1910355,3049065,text,90020,application/pdf,Introduced,https://legiscan.com/RI/text/H5018/id/3049065,https://webserver.rilegislature.gov/BillText25/HouseText25/H5018.pdf
1910520,3049090,text,111298,application/pdf,Introduced,https://legiscan.com/RI/text/H5019/id/3049090,https://webserver.rilegislature.gov/BillText25/HouseText25/H5019.pdf
1910325,3049071,text,18714,application/pdf,Introduced,https://legiscan.com/RI/text/H5020/id/3049071,https://webserver.rilegislature.gov/BillText25/HouseText25/H5020.pdf
1910652,3047472,text,119492,application/pdf,Introduced,https://legiscan.com/RI/text/H5021/id/3047472,https://webserver.rilegislature.gov/BillText25/HouseText25/H5021.pdf
1910595,3048894,text,13940,application/pdf,Introduced,https://legiscan.com/RI/text/H5022/id/3048894,https://webserver.rilegislature.gov/BillText25/HouseText25/H5022.pdf
1910566,3049163,text,35132,application/pdf,Introduced,https://legiscan.com/RI/text/H5023/id/3049163,https://webserver.rilegislature.gov/BillText25/HouseText25/H5023.pdf
1910566,3255410,text,30639,application/pdf,"Comm Sub",https://legiscan.com/RI/text/H5023/id/3255410,https://webserver.rilegislature.gov/BillText25/HouseText25/H5023A.pdf
1910610,3049159,text,16006,application/pdf,Introduced,https://legiscan.com/RI/text/H5024/id/3049159,https://webserver.rilegislature.gov/BillText25/HouseText25/H5024.pdf
1910269,3049073,text,16471,application/pdf,Introduced,https://legiscan.com/RI/text/H5025/id/3049073,https://webserver.rilegislature.gov/BillText25/HouseText25/H5025.pdf
1910538,3049064,text,104801,application/pdf,Introduced,https://legiscan.com/RI/text/H5026/id/3049064,https://webserver.rilegislature.gov/BillText25/HouseText25/H5026.pdf
1910296,3049062,text,14682,application/pdf,Introduced,https://legiscan.com/RI/text/H5027/id/3049062,https://webserver.rilegislature.gov/BillText25/HouseText25/H5027.pdf
1910462,3049088,text,74638,application/pdf,Introduced,https://legiscan.com/RI/text/H5028/id/3049088,https://webserver.rilegislature.gov/BillText25/HouseText25/H5028.pdf
1910368,3049068,text,17555,application/pdf,Introduced,https://legiscan.com/RI/text/H5029/id/3049068,https://webserver.rilegislature.gov/BillText25/HouseText25/H5029.pdf
1910368,3251363,text,17151,application/pdf,"Comm Sub",https://legiscan.com/RI/text/H5029/id/3251363,https://webserver.rilegislature.gov/BillText25/HouseText25/H5029A.pdf
1910551,3049121,text,16058,application/pdf,Introduced,https://legiscan.com/RI/text/H5030/id/3049121,https://webserver.rilegislature.gov/BillText25/HouseText25/H5030.pdf
1910253,3048924,text,168557,application/pdf,Introduced,https://legiscan.com/RI/text/H5031/id/3048924,https://webserver.rilegislature.gov/BillText25/HouseText25/H5031.pdf
1910443,3049156,text,76038,application/pdf,Introduced,https://legiscan.com/RI/text/H5032/id/3049156,https://webserver.rilegislature.gov/BillText25/HouseText25/H5032.pdf
1910475,3049092,text,13976,application/pdf,Introduced,https://legiscan.com/RI/text/H5033/id/3049092,https://webserver.rilegislature.gov/BillText25/HouseText25/H5033.pdf
1910402,3049118,text,85466,application/pdf,Introduced,https://legiscan.com/RI/text/H5034/id/3049118,https://webserver.rilegislature.gov/BillText25/HouseText25/H5034.pdf
1910664,3047482,text,12543,application/pdf,Introduced,https://legiscan.com/RI/text/H5035/id/3047482,https://webserver.rilegislature.gov/BillText25/HouseText25/H5035.pdf
1919378,3056574,text,180834,application/pdf,Introduced,https://legiscan.com/RI/text/H5042/id/3056574,https://webserver.rilegislature.gov/BillText25/HouseText25/H5042.pdf
1919378,3254286,text,181117,application/pdf,"Comm Sub",https://legiscan.com/RI/text/H5042/id/3254286,https://webserver.rilegislature.gov/BillText25/HouseText25/H5042A.pdf
1919632,3056801,text,93211,application/pdf,Introduced,https://legiscan.com/RI/text/H5043/id/3056801,https://webserver.rilegislature.gov/BillText25/HouseText25/H5043.pdf
1919632,3257034,text,94034,application/pdf,"Comm Sub",https://legiscan.com/RI/text/H5043/id/3257034,https://webserver.rilegislature.gov/BillText25/HouseText25/H5043A.pdf
1919847,3056995,text,87340,application/pdf,Introduced,https://legiscan.com/RI/text/H5044/id/3056995,https://webserver.rilegislature.gov/BillText25/HouseText25/H5044.pdf
1919548,3056726,text,82853,application/pdf,Introduced,https://legiscan.com/RI/text/H5046/id/3056726,https://webserver.rilegislature.gov/BillText25/HouseText25/H5046.pdf
1919761,3056919,text,29297,application/pdf,Introduced,https://legiscan.com/RI/text/H5047/id/3056919,https://webserver.rilegislature.gov/BillText25/HouseText25/H5047.pdf
1919928,3057067,text,19306,application/pdf,Introduced,https://legiscan.com/RI/text/H5048/id/3057067,https://webserver.rilegislature.gov/BillText25/HouseText25/H5048.pdf
1919461,3056649,text,72855,application/pdf,Introduced,https://legiscan.com/RI/text/H5049/id/3056649,https://webserver.rilegislature.gov/BillText25/HouseText25/H5049.pdf
1919461,3246266,text,73442,application/pdf,"Comm Sub",https://legiscan.com/RI/text/H5049/id/3246266,https://webserver.rilegislature.gov/BillText25/HouseText25/H5049A.pdf
1919417,3056611,text,19861,application/pdf,Introduced,https://legiscan.com/RI/text/H5050/id/3056611,https://webserver.rilegislature.gov/BillText25/HouseText25/H5050.pdf
1919417,3255549,text,19835,application/pdf,"Comm Sub",https://legiscan.com/RI/text/H5050/id/3255549,https://webserver.rilegislature.gov/BillText25/HouseText25/H5050A.pdf
1919887,3057032,text,76527,application/pdf,Introduced,https://legiscan.com/RI/text/H5051/id/3057032,https://webserver.rilegislature.gov/BillText25/HouseText25/H5051.pdf
1919887,3201189,text,76911,application/pdf,"Comm Sub",https://legiscan.com/RI/text/H5051/id/3201189,https://webserver.rilegislature.gov/BillText25/HouseText25/H5051A.pdf
1919591,3056764,text,120486,application/pdf,Introduced,https://legiscan.com/RI/text/H5052/id/3056764,https://webserver.rilegislature.gov/BillText25/HouseText25/H5052.pdf
1919673,3056840,text,13935,application/pdf,Introduced,https://legiscan.com/RI/text/H5053/id/3056840,https://webserver.rilegislature.gov/BillText25/HouseText25/H5053.pdf
1919716,3056876,text,13657,application/pdf,Introduced,https://legiscan.com/RI/text/H5054/id/3056876,https://webserver.rilegislature.gov/BillText25/HouseText25/H5054.pdf
1923910,3061035,text,154956,application/pdf,Introduced,https://legiscan.com/RI/text/H5066/id/3061035,https://webserver.rilegislature.gov/BillText25/HouseText25/H5066.pdf
1923652,3060762,text,134433,application/pdf,Introduced,https://legiscan.com/RI/text/H5067/id/3060762,https://webserver.rilegislature.gov/BillText25/HouseText25/H5067.pdf
1923652,3256106,text,128399,application/pdf,Amended,https://legiscan.com/RI/text/H5067/id/3256106,https://webserver.rilegislature.gov/BillText25/HouseText25/H5067aa.pdf
1924167,3061324,text,79473,application/pdf,Introduced,https://legiscan.com/RI/text/H5068/id/3061324,https://webserver.rilegislature.gov/BillText25/HouseText25/H5068.pdf
1924081,3061225,text,17901,application/pdf,Introduced,https://legiscan.com/RI/text/H5069/id/3061225,https://webserver.rilegislature.gov/BillText25/HouseText25/H5069.pdf
1925395,3062668,text,13968,application/pdf,Introduced,https://legiscan.com/RI/text/H5070/id/3062668,https://webserver.rilegislature.gov/BillText25/HouseText25/H5070.pdf
1923310,3060404,text,76666,application/pdf,Introduced,https://legiscan.com/RI/text/H5071/id/3060404,https://webserver.rilegislature.gov/BillText25/HouseText25/H5071.pdf
1924334,3061491,text,78261,application/pdf,Introduced,https://legiscan.com/RI/text/H5072/id/3061491,https://webserver.rilegislature.gov/BillText25/HouseText25/H5072.pdf
1923825,3063885,text,22419,application/pdf,Introduced,https://legiscan.com/RI/text/H5073/id/3063885,https://webserver.rilegislature.gov/BillText25/HouseText25/H5073.pdf
1923738,3063884,text,453809,application/pdf,Introduced,https://legiscan.com/RI/text/H5075/id/3063884,https://webserver.rilegislature.gov/BillText25/HouseText25/H5075.pdf
1923996,3061132,text,1637726,application/pdf,Introduced,https://legiscan.com/RI/text/H5076/id/3061132,https://webserver.rilegislature.gov/BillText25/HouseText25/H5076.pdf
1923996,3256525,text,3471478,application/pdf,Amended,https://legiscan.com/RI/text/H5076/id/3256525,https://webserver.rilegislature.gov/BillText25/HouseText25/H5076Aaa.pdf
1923996,3254424,text,3476712,application/pdf,"Comm Sub",https://legiscan.com/RI/text/H5076/id/3254424,https://webserver.rilegislature.gov/BillText25/HouseText25/H5076A.pdf
1924475,3061761,text,37282,application/pdf,Introduced,https://legiscan.com/RI/text/H5077/id/3061761,https://webserver.rilegislature.gov/BillText25/HouseText25/H5077.pdf
1925133,3062406,text,13666,application/pdf,Introduced,https://legiscan.com/RI/text/H5078/id/3062406,https://webserver.rilegislature.gov/BillText25/HouseText25/H5078.pdf
1925788,3063062,text,77220,application/pdf,Introduced,https://legiscan.com/RI/text/H5079/id/3063062,https://webserver.rilegislature.gov/BillText25/HouseText25/H5079.pdf
1924868,3062144,text,272428,application/pdf,Introduced,https://legiscan.com/RI/text/H5080/id/3062144,https://webserver.rilegislature.gov/BillText25/HouseText25/H5080.pdf
1923565,3060669,text,82365,application/pdf,Introduced,https://legiscan.com/RI/text/H5081/id/3060669,https://webserver.rilegislature.gov/BillText25/HouseText25/H5081.pdf
1923565,3250175,text,82600,application/pdf,"Comm Sub",https://legiscan.com/RI/text/H5081/id/3250175,https://webserver.rilegislature.gov/BillText25/HouseText25/H5081A.pdf
1924252,3061409,text,18555,application/pdf,Introduced,https://legiscan.com/RI/text/H5082/id/3061409,https://webserver.rilegislature.gov/BillText25/HouseText25/H5082.pdf
1923393,3063887,text,77681,application/pdf,Introduced,https://legiscan.com/RI/text/H5083/id/3063887,https://webserver.rilegislature.gov/BillText25/HouseText25/H5083.pdf
1923393,3141674,text,78076,application/pdf,"Comm Sub",https://legiscan.com/RI/text/H5083/id/3141674,https://webserver.rilegislature.gov/BillText25/HouseText25/H5083A.pdf
1924606,3061888,text,13814,application/pdf,Introduced,https://legiscan.com/RI/text/H5084/id/3061888,https://webserver.rilegislature.gov/BillText25/HouseText25/H5084.pdf
1924737,3062015,text,80578,application/pdf,Introduced,https://legiscan.com/RI/text/H5085/id/3062015,https://webserver.rilegislature.gov/BillText25/HouseText25/H5085.pdf
1925526,3062799,text,105072,application/pdf,Introduced,https://legiscan.com/RI/text/H5087/id/3062799,https://webserver.rilegislature.gov/BillText25/HouseText25/H5087.pdf
1925657,3062930,text,74728,application/pdf,Introduced,https://legiscan.com/RI/text/H5088/id/3062930,https://webserver.rilegislature.gov/BillText25/HouseText25/H5088.pdf
1925657,3242843,text,75024,application/pdf,"Comm Sub",https://legiscan.com/RI/text/H5088/id/3242843,https://webserver.rilegislature.gov/BillText25/HouseText25/H5088A.pdf
1925264,3062538,text,148292,application/pdf,Introduced,https://legiscan.com/RI/text/H5089/id/3062538,https://webserver.rilegislature.gov/BillText25/HouseText25/H5089.pdf
1935065,3072331,text,267389,application/pdf,Introduced,https://legiscan.com/RI/text/H5098/id/3072331,https://webserver.rilegislature.gov/BillText25/HouseText25/H5098.pdf
1935065,3257080,text,16668,application/pdf,Amended,https://legiscan.com/RI/text/H5098/id/3257080,https://webserver.rilegislature.gov/BillText25/HouseText25/H5098Aaa.pdf
1935065,3256045,text,16440,application/pdf,"Comm Sub",https://legiscan.com/RI/text/H5098/id/3256045,https://webserver.rilegislature.gov/BillText25/HouseText25/H5098A.pdf
