bill_id,date,chamber,sequence,action
1909568,2025-01-09,House,1,"House read and passed"
1909619,2025-01-09,House,1,"House read and passed"
1909671,2025-01-09,House,1,"House read and passed"
1909723,2025-01-09,House,1,"House read and passed"
1909776,2025-01-09,House,1,"House read and passed"
1909828,2025-01-09,House,1,"House read and passed"
1909878,2025-01-09,House,1,"House read and passed"
1910253,2025-01-10,House,1,"Introduced, referred to House Municipal Government & Housing"
1910253,2025-01-31,House,2,"Scheduled for hearing and/or consideration (02/04/2025)"
1910253,2025-02-04,House,3,"Committee recommended measure be held for further study"
1910253,2025-05-16,House,4,"Scheduled for consideration (05/20/2025)"
1910253,2025-05-20,House,5,"Committee recommends passage"
1910253,2025-05-30,House,6,"Placed on House Calendar (06/05/2025)"
1910253,2025-06-05,House,7,"House read and passed"
1910253,2025-06-19,Senate,8,"Placed on Senate Calendar (06/20/2025)"
1910253,2025-06-20,Senate,9,"Senate passed in concurrence"
1910253,2025-06-27,House,10,"Transmitted to Governor"
1910253,2025-07-05,House,11,"Effective without Governor's signature"
1910269,2025-01-10,House,1,"Introduced, referred to House Health & Human Services"
1910269,2025-01-13,House,2,"Committee transferred to House Judiciary"
1910269,2025-01-31,House,3,"Scheduled for hearing and/or consideration (02/04/2025)"
1910269,2025-02-04,House,4,"Committee recommended measure be held for further study"
1910269,2025-02-07,House,5,"Scheduled for consideration (02/11/2025)"
1910269,2025-02-11,House,6,"Committee recommends passage"
1910269,2025-02-21,House,7,"Placed on House Calendar (02/27/2025)"
1910269,2025-02-27,House,8,"House read and passed"
1910269,2025-03-21,Senate,9,"Referred to Senate Environment and Agriculture"
1910269,2025-06-13,Senate,10,"Scheduled for hearing and/or consideration (06/17/2025)"
1910269,2025-06-17,Senate,11,"Committee recommends passage in concurrence"
1910269,2025-06-18,Senate,12,"Placed on the Senate Consent Calendar (06/20/2025)"
1910269,2025-06-20,Senate,13,"Senate passed in concurrence"
1910269,2025-06-27,House,14,"Transmitted to Governor"
1910269,2025-07-05,House,15,"Effective without Governor's signature"
1910281,2025-01-10,House,1,"Introduced, referred to House Rules Committee"
1910281,2025-01-10,House,2,"Scheduled for hearing and/or consideration (01/15/2025)"
1910281,2025-01-15,House,3,"Committee recommended measure be held for further study"
1910296,2025-01-10,House,1,"Introduced, referred to House Health & Human Services"
1910296,2025-01-31,House,2,"Scheduled for hearing and/or consideration (02/06/2025)"
1910296,2025-02-06,House,3,"Committee recommended measure be held for further study"
1910311,2025-01-10,House,1,"Introduced, referred to House Rules Committee"
1910311,2025-01-10,House,2,"Scheduled for hearing and/or consideration (01/15/2025)"
1910311,2025-01-15,House,3,"Committee recommended measure be held for further study"
1910325,2025-01-10,House,1,"Introduced, referred to House Finance"
1910325,2025-04-18,House,2,"Scheduled for hearing and/or consideration (04/22/2025)"
1910325,2025-04-22,House,3,"Committee recommended measure be held for further study"
1910340,2025-01-10,House,1,"Introduced, referred to House Rules Committee"
1910340,2025-01-10,House,2,"Scheduled for hearing and/or consideration (01/15/2025)"
1910340,2025-01-15,House,3,"Committee recommended measure be held for further study"
1910355,2025-01-10,House,1,"Introduced, referred to House Corporations"
1910355,2025-03-14,House,2,"Scheduled for hearing and/or consideration (03/20/2025)"
1910355,2025-03-20,House,3,"Committee recommended measure be held for further study"
1910368,2025-01-10,House,1,"Introduced, referred to House Labor"
1910368,2025-02-28,House,2,"Scheduled for hearing and/or consideration (03/05/2025)"
1910368,2025-03-05,House,3,"Committee recommended measure be held for further study"
