people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
5102,"John Edwards",John,G.,Edwards,,,1,D,1,Rep,HD-070,6465728,47649,,John_Edwards_(Rhode_Island),271320,0
5107,"Gregory Costantino",Gregory,J.,Costantino,,,1,D,1,Rep,HD-044,9549520,125840,,Gregory_Costantino,299745,0
5116,"Arthur Corvese",Arthur,J.,Corvese,,,1,D,1,Rep,HD-055,387024,24160,,Arthur_Corvese,198661,0
5118,"Jon Brien",Jon,D.,Brien,,,3,I,1,Rep,HD-049,6480719,67287,,Jon_Brien,259323,0
5125,"Patricia Serpa",Patricia,A.,Serpa,,,1,D,1,Rep,HD-027,6480805,67214,,Patricia_Serpa,249628,0
5131,"Joseph McNamara",Joseph,M.,McNamara,,,1,D,1,Rep,HD-019,6403907,7391,,Joseph_McNamara_(Rhode_Island),198618,0
5134,"Deborah Fellela",Deborah,A.,Fellela,,,1,D,1,Rep,HD-043,6480739,67581,,Deborah_Fellela,249634,0
5136,"Mary Messier",Mary,Duffy,Messier,,,1,D,1,Rep,HD-062,6509412,125882,,Mary_Messier,283512,0
5137,"Charlene Lima",Charlene,M.,Lima,,,1,D,1,Rep,HD-014,9594074,7380,,Charlene_Lima,198602,0
5141,"Maryann Shallcross-Smith",Maryann,,Shallcross-Smith,,,1,D,1,Rep,HD-046,6497106,109471,,Mary_Ann_Shallcross-Smith,299404,0
5143,"Samuel Azzinaro",Samuel,A.,Azzinaro,,,1,D,1,Rep,HD-037,6496873,109459,,Samuel_Azzinaro,271290,0
5145,"Edith Ajello",Edith,H.,Ajello,,,1,D,1,Rep,HD-001,6403352,7330,,Edith_Ajello,198592,0
5148,"Arthur Handy",Arthur,,Handy,,,1,D,1,Rep,HD-018,6403691,47711,,Arthur_Handy,212809,0
5159,"Brian Newberry",Brian,C.,Newberry,,,2,R,1,Rep,HD-048,13006239,47663,,Brian_Newberry,271302,0
5160,"Brian Kennedy",Brian,Patrick,Kennedy,,,1,D,1,Rep,HD-038,6403763,7373,,Brian_Kennedy_(Rhode_Island),198605,0
5167,"Grace Diaz",Grace,,Diaz,,,1,D,1,Rep,HD-011,6465710,47747,,Grace_Diaz,227997,0
5168,"Scott Slater",Scott,A.,Slater,,,1,D,1,Rep,HD-010,6509304,117708,,Scott_Slater,282886,0
5178,"Walter Felag",Walter,S.,Felag,Jr.,,1,D,2,Sen,SD-010,6403584,24105,,Walter_Felag,198585,0
5189,"Leonidas Raptakis",Leonidas,P.,Raptakis,,,1,D,2,Sen,SD-033,5314311,7408,,Leonidas_Raptakis,198553,0
5196,"Louis Dipalma",Louis,P.,Dipalma,,,1,D,2,Sen,SD-012,6496950,109407,,Louis_DiPalma,271334,0
5200,"Susan Sosnowski",Virginia,Susan,Sosnowski,,Susan,1,D,2,Sen,SD-037,6404143,12867,,V._Susan_Sosnowski,198536,0
5208,"Hanna Gallo",Hanna,M.,Gallo,,,1,D,2,Sen,SD-027,6403643,24158,,Hanna_Gallo,198542,0
5209,"Dominick Ruggerio",Dominick,J.,Ruggerio,,,1,D,2,Sen,SD-004,6404067,7324,,Dominick_Ruggerio,198534,0
5210,"Frank Ciccone",Frank,A.,Ciccone,III,,1,D,2,Sen,SD-007,6403475,47764,,Frank_Ciccone,212840,0
10762,"Teresa Tanzi",Teresa,Ann,Tanzi,,,1,D,1,Rep,HD-034,6509338,125904,,Teresa_Tanzi,299412,0
10765,"Michael Chippendale",Michael,W.,Chippendale,,,2,R,1,Rep,HD-040,13006222,125832,,Michael_Chippendale,299342,0
11287,"Robert Phillips",Robert,D.,Phillips,,,1,D,1,Rep,HD-051,6497044,109478,,Robert_Phillips,299800,0
11288,"Raymond Hull",Raymond,A.,Hull,,,1,D,1,Rep,HD-006,6509278,125888,,Raymond_Hull_(Rhode_Island),299775,0
11736,"Christopher Blazejewski",Christopher,R.,Blazejewski,,,1,D,1,Rep,HD-002,6509271,125884,,Christopher_Blazejewski,299337,0
11737,"David Bennett",David,A.,Bennett,,,1,D,1,Rep,HD-020,6496883,109398,,David_Bennett_(Rhode_Island),299725,0
14194,"William O'Brien",William,W.,O'Brien,,,1,D,1,Rep,HD-054,6509375,125869,,William_O%27Brien_(Rhode_Island),299852,0
14493,"John Lombardi",John,Joseph,Lombardi,,,1,D,1,Rep,HD-008,9549017,78767,,John_Lombardi,387999,0
14541,"Katherine Kazarian",Katherine,S.,Kazarian,,,1,D,1,Rep,HD-063,13735914,142126,,Katherine_Kazarian,428498,0
14590,"Marvin Abney",Marvin,L.,Abney,,,1,D,1,Rep,HD-073,9546926,142143,,Marvin_Abney,428527,0
14592,"Joseph Shekarchi","K. Joseph",,Shekarchi,,Joseph,1,D,1,Rep,HD-023,9599417,142089,,K._Joseph_Shekarchi,428370,0
14753,"Stephen Casey",Stephen,M.,Casey,,,1,D,1,Rep,HD-050,13735902,142114,,Stephen_Casey_(Rhode_Island),428456,0
14754,"Robert Craven",Robert,E.,Craven,Sr.,,1,D,1,Rep,HD-032,9648446,143224,,Robert_Craven_Sr.,428392,0
14981,"Ryan Pearson",Ryan,William,Pearson,,,1,D,2,Sen,SD-019,6509471,126085,,Ryan_Pearson,256564,0
15303,"Mia Ackerman",Mia,A.,Ackerman,,,1,D,1,Rep,HD-045,13735894,78667,,Mia_Ackerman,428429,0
16541,"Elaine Morgan",Elaine,J.,Morgan,,,2,R,2,Sen,SD-034,25004567,154559,,Elaine_Morgan,503902,0
