bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1910253,1585844,2025-06-05,House,Passage,71,0,4,0,75
1910253,1593795,2025-06-20,Senate,Passage,34,0,4,0,38
1910269,1501676,2025-02-11,House,"House Committee on Judiciary: Passage",14,0,0,1,15
1910269,1502147,2025-02-27,House,Passage,68,0,7,0,75
1910368,1589771,2025-06-12,House,Passage,56,10,9,0,75
1910368,1592796,2025-06-18,Senate,Passage,33,4,1,0,38
1910402,1529537,2025-03-27,House,Passage,66,3,6,0,75
1910413,1520197,2025-03-18,House,Passage,72,0,3,0,75
1910413,1520198,2025-03-13,House,"House Committee on Corporations: Passage",14,0,0,1,15
1910413,1593497,2025-06-20,Senate,Passage,35,0,3,0,38
1910413,1593498,2025-06-20,House,"Passage In Concurrence",73,0,2,0,75
1910443,1560455,2025-04-29,House,Passage,69,0,6,0,75
1910492,1475764,2025-01-23,House,"House Committee on Rules: Passage of Sub A",12,2,0,1,15
1910492,1478631,2025-01-28,House,"Passage Of Amendment",68,0,7,0,75
1910492,1478632,2025-01-28,House,"Passage Of Amendment",11,60,4,0,75
1910492,1478633,2025-01-28,House,"Passage As Amended",60,11,4,0,75
1910520,1503301,2025-02-27,House,"House Committee on Environment and Natural Resources: Passage",15,0,0,0,15
1910520,1507753,2025-03-06,House,Passage,70,0,5,0,75
1910551,1508947,2025-02-27,House,"House Committee on Municipal Government & Housing: Passage",12,0,0,3,15
1910551,1515270,2025-03-11,House,Passage,72,0,3,0,75
1910566,1591471,2025-06-16,House,Passage,73,0,2,0,75
1910566,1593590,2025-06-20,Senate,Passage,35,1,2,0,38
1910664,1485737,2025-02-06,House,"House Committee on Special Legislation: Passage",10,0,0,5,15
1910664,1487297,2025-02-11,House,"Solemnization Of Marriage",68,0,7,0,75
1910664,1499738,2025-02-25,Senate,"Senate Committee on Judiciary: Passage in concurrence",10,0,0,0,10
1910664,1505548,2025-03-04,Senate,"Solemnization Of Marriage",34,0,4,0,38
1919378,1591074,2025-06-10,House,"House Committee on Corporations: Passage of Sub A",13,0,0,2,15
1919378,1591345,2025-06-16,House,Passage,70,0,5,0,75
1919378,1593827,2025-06-20,Senate,Passage,31,2,5,0,38
1919417,1574776,2025-05-20,House,Passage,73,0,2,0,75
1919417,1593817,2025-06-20,House,"Passage In Concurrence",72,0,3,0,75
1919461,1584153,2025-06-03,House,Passage,68,0,7,0,75
1919502,1501312,2025-02-25,House,"House Committee on Health & Human Services: Passage",15,0,0,0,15
1919502,1505434,2025-03-04,House,Passage,69,0,6,0,75
1919548,1501474,2025-02-11,House,"House Committee on Judiciary: Passage",11,3,0,1,15
1919548,1502142,2025-02-27,House,Passage,61,7,7,0,75
1919548,1593520,2025-06-20,Senate,Passage,34,0,4,0,38
1919591,1529060,2025-03-27,House,Passage,69,0,6,0,75
1919632,1559236,2025-04-08,House,"House Committee on Corporations: Passage",13,0,0,2,15
1919632,1561470,2025-04-29,House,Passage,70,0,5,0,75
1919632,1593799,2025-06-20,Senate,Passage,35,0,3,0,38
1919632,1593800,2025-06-20,House,"Passage In Concurrence",73,0,2,0,75
1919887,1544923,2025-04-10,House,Passage,67,0,8,0,75
1919887,1564429,2025-05-01,Senate,Passage,32,0,6,0,38
1922159,1472435,2025-01-15,House,Passage,61,0,14,0,75
1923393,1503851,2025-02-25,House,"House Committee on Health & Human Services: Passage of Sub A",15,0,0,0,15
1923393,1507509,2025-03-06,House,Passage,70,0,5,0,75
1923565,1529097,2025-03-27,House,Passage,68,0,7,0,75
1923565,1589796,2025-06-12,House,"Passage In Concurrence",66,1,8,0,75
1923652,1591114,2025-06-05,House,"House Committee on Corporations: Passage",11,0,0,4,15
1923652,1591355,2025-06-16,House,"Passage Of Amendment",72,0,3,0,75
1923652,1591356,2025-06-16,House,"Passage As Amended",72,0,3,0,75
1923996,1592023,2025-06-17,House,"Passage Of Amendment: Article 2",73,0,2,0,75
1923996,1592024,2025-06-17,House,"Passage Of Amendment: Article 2",13,60,2,0,75
1923996,1592025,2025-06-17,House,"Passage Of Amendment: Article 2",17,56,2,0,75
1923996,1592026,2025-06-17,House,"Passage As Amended: Article 2",75,0,0,0,75
1923996,1592027,2025-06-17,House,"Passage Of Amendment: Article 3",74,0,1,0,75
1923996,1592028,2025-06-17,House,"Passage Of Amendment: Article 3",19,53,3,0,75
1923996,1592029,2025-06-17,House,"Passage As Amended: Article 3",75,0,0,0,75
1923996,1592030,2025-06-17,House,"Passage Of Amendment: Article 4",73,0,2,0,75
1923996,1592031,2025-06-17,House,"Passage As Amended: Article 4",75,0,0,0,75
1923996,1592032,2025-06-17,House,"Passage Of Amendment: Article 5",74,0,1,0,75
1923996,1592033,2025-06-17,House,"Passage Of Amendment: Article 5",16,57,2,0,75
1923996,1592034,2025-06-17,House,"Passage As Amended: Article 5",57,17,1,0,75
1923996,1592035,2025-06-17,House,"Passage Of Amendment: Article 6",71,0,4,0,75
1923996,1592036,2025-06-17,House,"Passage As Amended: Article 6",74,1,0,0,75
1923996,1592037,2025-06-17,House,"Passage Of Amendment: Article 7",71,0,4,0,75
1923996,1592038,2025-06-17,House,"Passage Of Amendment: Article 7",16,57,2,0,75
1923996,1592039,2025-06-17,House,"Passage As Amended: Article 7",75,0,0,0,75
1923996,1592040,2025-06-17,House,"Passage Of Amendment: Article 8",72,0,3,0,75
1923996,1592041,2025-06-17,House,"Passage As Amended: Article 8",74,0,1,0,75
1923996,1592042,2025-06-17,House,"Passage Of Amendment: Article 9",73,0,2,0,75
1923996,1592043,2025-06-17,House,"Passage As Amended: Article 9",65,10,0,0,75
1923996,1592044,2025-06-17,House,"Passage Of Amendment: Article 10",13,60,2,0,75
1923996,1592045,2025-06-17,House,"Passage: Article 10",75,0,0,0,75
1923996,1592046,2025-06-17,House,"Passage Of Amendment: Article 11",70,1,4,0,75
1923996,1592047,2025-06-17,House,"Passage As Amended: Article 11",61,13,1,0,75
1923996,1592048,2025-06-17,House,"Passage: Article 12",74,0,1,0,75
1923996,1592049,2025-06-17,House,"Passage Of Amendment: Article 13",72,0,3,0,75
1923996,1592050,2025-06-17,House,"Passage As Amended: Article 13",74,0,1,0,75
1923996,1592051,2025-06-17,House,"Passage Of Amendment: Article 1",73,0,2,0,75
1923996,1592052,2025-06-17,House,"Passage Of Amendment: Article 1",13,60,2,0,75
1923996,1592053,2025-06-17,House,"Passage Of Amendment: Article 1",12,59,4,0,75
1923996,1592054,2025-06-17,House,"Passage Of Amendment: Article 1",16,58,1,0,75
1923996,1592055,2025-06-17,House,"Passage Of Amendment: Article 1",4,70,1,0,75
1923996,1592056,2025-06-17,House,"Passage As Amended: Article 1",64,11,0,0,75
1923996,1592057,2025-06-17,House,"Passage: Article 14",65,8,2,0,75
1923996,1592058,2025-06-17,House,"Passage As Amended",66,9,0,0,75
1924606,1568733,2025-05-08,House,Passage,68,1,6,0,75
1925133,1593531,2025-06-20,House,Passage,70,0,5,0,75
1925395,1584480,2025-06-03,House,Passage,68,0,7,0,75
1925657,1584503,2025-06-03,House,Passage,69,0,6,0,75
1934539,1591374,2025-06-16,House,Passage,73,0,2,0,75
1934539,1593700,2025-06-20,Senate,Passage,36,0,2,0,38
1934567,1586774,2025-06-05,House,"House Committee on Corporations: Passage of Sub A",11,0,0,4,15
1934567,1587757,2025-06-10,House,"Passage Of Amendment",71,0,4,0,75
1934567,1587758,2025-06-10,House,"Passage As Amended",71,0,4,0,75
1934765,1587657,2025-06-10,House,"Passage Of Amendment",18,52,5,0,75
1934765,1587658,2025-06-10,House,Passage,49,21,5,0,75
1934765,1593499,2025-06-20,Senate,Passage,34,1,3,0,38
1934795,1503401,2025-02-27,House,"House Committee on Municipal Government & Housing: Passage of Sub A",10,2,0,3,15
1934795,1504427,2025-03-04,House,Passage,68,1,6,0,75
1934934,1580675,2025-05-22,House,"House Committee on Corporations: Passage",7,4,0,4,15
1934934,1581910,2025-05-29,House,Passage,53,13,9,0,75
1935065,1592789,2025-06-18,House,"Passage Of Amendment",72,0,3,0,75
1935065,1592790,2025-06-18,House,"Passage As Amended",72,0,3,0,75
1935115,1593118,2025-06-18,House,"House Committee on Corporations: Passage of Sub A",10,0,0,5,15
1935115,1593762,2025-06-20,House,Passage,69,1,5,0,75
1935308,1544378,2025-04-10,House,Passage,67,0,8,0,75
1937184,1499743,2025-02-25,Senate,Passage,32,5,1,0,38
1937194,1587784,2025-06-10,Senate,Passage,36,0,2,0,38
1937194,1591998,2025-06-17,House,"Passage In Concurrence",71,0,4,0,75
1937275,1589939,2025-06-12,Senate,Passage,28,9,1,0,38
1937376,1584466,2025-06-03,Senate,Passage,36,0,2,0,38
1937417,1517293,2025-03-13,Senate,Passage,32,3,3,0,38
1937417,1588260,2025-06-10,House,"Passage In Concurrence",71,0,4,0,75
1937436,1593791,2025-06-20,Senate,Passage,33,0,5,0,38
1937436,1593792,2025-06-21,House,"Passage In Concurrence",54,5,16,0,75
1937461,1566871,2025-05-06,Senate,Passage,35,0,3,0,38
1937633,1514143,2025-03-11,Senate,Passage,36,0,2,0,38
1937671,1568762,2025-05-08,Senate,"Approval Of Amendment",35,0,3,0,38
1937671,1568763,2025-05-08,Senate,"Passage As Amended",34,0,4,0,38
1937671,1590150,2025-06-12,House,"Passage In Concurrence",66,1,8,0,75
1937715,1568345,2025-05-08,Senate,Passage,35,0,3,0,38
1937715,1587957,2025-06-10,House,"Passage In Concurrence",71,0,4,0,75
1937774,1517743,2025-03-13,Senate,Passage,35,0,3,0,38
1937802,1523176,2025-03-20,Senate,Passage,37,0,1,0,38
1937802,1544151,2025-04-10,House,"Passage In Concurrence",67,0,8,0,75
1937815,1523887,2025-03-20,Senate,Passage,36,0,2,0,38
1937815,1583970,2025-06-03,House,Passage,62,4,9,0,75
1937815,1590641,2025-06-12,Senate,Passage,36,0,2,0,38
1937835,1587764,2025-06-10,Senate,Passage,36,0,2,0,38
1937848,1590371,2025-06-12,Senate,"Approval Of Amendment",26,6,6,0,38
1937848,1590372,2025-06-12,Senate,Passage,34,1,3,0,38
1937864,1572220,2025-05-15,Senate,Passage,36,0,2,0,38
1937875,1524021,2025-03-20,Senate,Passage,36,0,2,0,38
1937889,1584842,2025-06-04,Senate,Passage,35,0,3,0,38
1937889,1592732,2025-06-18,House,"Passage Of Amendment",64,6,5,0,75
1937889,1592733,2025-06-18,House,"Passage As Amended",65,8,2,0,75
