bill_id,people_id,position
1909568,5134,9
1909568,10765,4
1909568,11288,6
1909568,11736,3
1909568,14592,2
1909568,14754,8
1909568,16854,5
1909568,18434,7
1909568,20303,1
1909568,23757,10
1909619,5116,3
1909619,5134,10
1909619,5141,4
1909619,5167,8
1909619,11288,6
1909619,11736,2
1909619,11737,9
1909619,14592,1
1909619,17046,5
1909619,23994,7
1909671,5102,4
1909671,5141,10
1909671,5159,8
1909671,10762,9
1909671,10765,3
1909671,11736,2
1909671,14592,1
1909671,17046,7
1909671,20301,6
1909671,22631,5
1909723,5160,5
1909723,5168,8
1909723,10762,10
1909723,10765,7
1909723,11736,2
1909723,14194,3
1909723,14592,1
1909723,16854,9
1909723,22642,6
1909723,23758,4
1909776,10762,9
1909776,10765,4
1909776,11288,3
1909776,11736,2
1909776,14493,8
1909776,14592,1
1909776,20303,5
1909776,22644,10
1909776,26193,7
1909776,26194,6
1909828,5118,10
1909828,5134,8
1909828,5159,5
1909828,10762,9
1909828,10765,4
1909828,11736,2
1909828,14493,3
1909828,14592,1
1909828,20304,6
1909828,26191,7
1909878,5102,10
1909878,5118,3
1909878,5159,6
1909878,10765,4
1909878,11736,2
1909878,14592,1
1909878,14753,5
1909878,16854,9
1909878,23758,7
1909878,23994,8
1910253,5167,1
1910253,5168,2
1910269,5102,1
1910269,5159,6
1910269,10765,7
1910269,11288,5
1910269,11737,2
1910269,14194,4
1910269,23746,3
1910281,20298,3
1910281,21327,8
1910281,21623,6
1910281,22358,5
1910281,22495,1
1910281,22679,4
1910281,23760,9
1910281,23761,2
1910281,23993,7
1910296,5102,7
1910296,5131,3
1910296,5141,9
1910296,5143,4
1910296,5145,10
1910296,5167,1
1910296,10762,2
1910296,11287,6
1910296,21623,8
1910296,22679,5
1910311,5159,1
1910325,5102,1
1910325,5160,9
1910325,10765,10
1910325,11737,6
1910325,14541,7
1910325,17706,4
1910325,18433,8
1910325,18434,2
1910325,20301,3
1910325,22358,5
1910340,5102,3
1910340,5118,2
1910340,5159,8
1910340,10765,1
1910340,11288,4
1910340,18433,5
1910340,26191,6
1910340,26192,9
1910340,26194,10
1910340,26195,7
1910355,10762,5
1910355,11288,10
1910355,14541,6
1910355,16995,8
1910355,17046,7
1910355,20302,9
1910355,22495,2
1910355,23757,4
1910355,23761,3
1910355,23993,1
1910368,5102,4
1910368,5116,6
1910368,5167,3
1910368,5168,5
1910368,11737,1
1910368,14541,9
1910368,14754,8
1910368,16854,7
1910368,18433,10
1910368,22358,2
1910385,5145,9
1910385,16995,4
1910385,17046,5
1910385,20301,8
1910385,20302,6
1910385,21327,10
1910385,22631,1
1910385,23746,3
1910385,23992,2
1910385,23993,7
1910402,5102,1
1910402,5159,9
1910402,10765,8
1910402,14754,6
1910402,18435,3
1910402,18436,5
1910402,20299,7
1910402,20301,2
1910402,21327,4
1910413,5102,4
1910413,5141,6
1910413,5145,7
1910413,5167,1
1910413,11737,3
1910413,17046,8
1910413,20302,2
1910413,21623,5
1910430,20304,1
1910443,23994,1
1910462,5102,1
1910462,5125,5
1910462,5134,4
1910462,5136,6
1910462,11737,3
1910462,14541,7
1910462,14753,9
1910462,18435,10
1910462,20302,2
1910462,22358,8
1910475,5102,8
1910475,5116,7
1910475,5125,6
1910475,5134,3
1910475,5143,5
1910475,5160,1
1910475,5167,2
1910475,14194,9
1910475,15303,10
1910475,23993,4
1910492,5116,3
1910492,5143,10
1910492,5160,8
1910492,5167,2
1910492,10765,9
1910492,11288,4
1910492,14194,7
1910492,14541,6
1910492,17046,1
1910492,19124,5
1910503,5159,1
1910520,11737,8
1910520,14753,2
1910520,18435,3
1910520,20301,7
1910520,20302,6
1910520,20303,4
1910520,21327,1
1910520,22631,10
1910520,23992,9
1910520,26193,5
1910538,5102,6
1910538,5125,7
1910538,5143,3
1910538,5160,1
1910538,5167,2
1910538,14194,8
1910538,14541,5
1910538,15303,10
1910538,18434,4
1910538,22495,9
1910551,10762,2
1910551,17046,4
1910551,17706,1
1910551,23746,3
1910566,5102,9
1910566,5125,10
1910566,5143,7
1910566,5160,1
1910566,5167,3
1910566,14541,8
1910566,16995,6
1910566,18434,4
1910566,23746,2
1910566,23993,5
1910581,5116,8
1910581,5118,1
1910581,10765,2
1910581,11287,3
1910581,14754,4
1910581,20303,5
1910581,23994,6
1910581,26193,7
1910595,5102,1
1910595,5143,4
1910595,5159,6
1910595,14590,2
1910595,20298,5
1910595,20301,3
1910610,5102,1
1910610,5160,4
1910610,11737,3
1910610,20302,2
1910610,22358,5
1910610,23757,6
1910624,5116,6
1910624,14754,10
1910624,15303,7
1910624,16995,5
1910624,17046,3
1910624,18435,9
1910624,20301,2
1910624,23746,4
1910624,23758,8
1910624,23992,1
1910637,20304,1
1910652,5167,1
1910652,5168,2
1910664,14541,1
1911066,20748,1
1911462,20748,1
1911855,20748,1
1911855,23986,2
1914822,10762,1
1914822,23757,2
1917009,5178,10
1917009,5209,2
1917009,20748,4
1917009,22533,1
1917009,22637,8
1917009,23012,7
1917009,23987,9
1917009,24750,3
1917009,25045,6
1917009,26201,5
1917160,5178,5
1917160,5209,1
1917160,19003,3
1917160,20747,9
1917160,20809,7
1917160,21088,8
1917160,24096,10
1917160,26197,6
1917160,26198,2
1917160,26200,4
1917324,5178,8
1917324,5209,1
1917324,5210,3
1917324,19003,5
1917324,20809,7
1917324,21088,10
1917324,23012,2
1917324,26197,9
1917324,26198,4
1917324,26200,6
1917485,5178,8
1917485,5200,1
1917485,5209,2
1917485,5210,4
1917485,19003,6
1917485,20809,10
1917485,23012,3
1917485,26197,9
1917485,26198,5
1917485,26200,7
1918588,5143,9
1918588,5145,3
1918588,5160,6
1918588,10765,4
1918588,11736,2
1918588,14592,1
1918588,15303,8
1918588,16854,7
1918588,20302,5
