bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1899827,2170,HB1001,4,Passed,2025-03-13,"Update a reference to the Internal Revenue Code for purposes of higher education savings plans.","Update a reference to the Internal Revenue Code for purposes of higher education savings plans.",0,,2025-03-13,"Signed by the Governor on March 13, 2025 H.J. 542",https://legiscan.com/SD/bill/HB1001/2025,https://sdlegislature.gov/#/Session/Bill/25631
1899842,2170,HB1002,4,Passed,2025-02-19,"Require that all certified educators take a course in South Dakota Indian Studies.","Require that all certified educators take a course in South Dakota Indian Studies.",0,,2025-02-19,"Signed by the Governor on February 19, 2025 H.J. 318",https://legiscan.com/SD/bill/HB1002/2025,https://sdlegislature.gov/#/Session/Bill/25637
1899840,2170,HB1003,4,Passed,2025-02-19,"Amend definitions pertaining to the school funding formula.","Amend definitions pertaining to the school funding formula.",0,,2025-02-19,"Signed by the Governor on February 19, 2025 H.J. 318",https://legiscan.com/SD/bill/HB1003/2025,https://sdlegislature.gov/#/Session/Bill/25636
1899834,2170,HB1004,4,Passed,2025-02-19,"Provide tuition for a student who is placed in a residential treatment center that provides educational programming.","Provide tuition for a student who is placed in a residential treatment center that provides educational programming.",0,,2025-02-19,"Signed by the Governor on February 19, 2025 H.J. 318",https://legiscan.com/SD/bill/HB1004/2025,https://sdlegislature.gov/#/Session/Bill/25678
1899828,2170,HB1005,4,Passed,2025-03-31,"Modify the requirement for payment of a private home study by the Department of Social Services.","Modify the requirement for payment of a private home study by the Department of Social Services.",0,,2025-03-31,"Signed by the Governor on March 31, 2025 H.J. 554",https://legiscan.com/SD/bill/HB1005/2025,https://sdlegislature.gov/#/Session/Bill/25713
1899831,2170,HB1006,1,Introduced,2025-01-14,"Repeal provisions for state assistance to persons experiencing chronic renal failure.","Repeal provisions for state assistance to persons experiencing chronic renal failure.",0,,2025-02-24,"Committee on Appropriations Deferred to the 41st legislative day, Passed, YEAS 8, NAYS 0.",https://legiscan.com/SD/bill/HB1006/2025,https://sdlegislature.gov/#/Session/Bill/25714
1899826,2170,HB1007,4,Passed,2025-03-31,"Prohibit use of the South Dakota public utilities commission gross receipts tax fund for reimbursement of costs incurred by the Public Utilities Commission.","Prohibit use of the South Dakota public utilities commission gross receipts tax fund for reimbursement of costs incurred by the Public Utilities Commission.",0,,2025-03-31,"Signed by the Governor on March 31, 2025 H.J. 554",https://legiscan.com/SD/bill/HB1007/2025,https://sdlegislature.gov/#/Session/Bill/25383
1899844,2170,HB1008,4,Passed,2025-03-31,"Include a hybrid facility as a facility to be regulated by the Public Utilities Commission.","Include a hybrid facility as a facility to be regulated by the Public Utilities Commission.",0,,2025-03-31,"Signed by the Governor on March 31, 2025 H.J. 554",https://legiscan.com/SD/bill/HB1008/2025,https://sdlegislature.gov/#/Session/Bill/25474
1899824,2170,HB1009,1,Introduced,2025-01-14,"Provide for the creation and use of South Dakota educational empowerment accounts, and to provide a penalty therefor.","Provide for the creation and use of South Dakota educational empowerment accounts, and to provide a penalty therefor.",0,,2025-01-29,"Education Deferred to the 41st legislative day, Passed, YEAS 8, NAYS 7.",https://legiscan.com/SD/bill/HB1009/2025,https://sdlegislature.gov/#/Session/Bill/25724
1901602,2170,HB1010,1,Introduced,2025-01-14,"Require cost model reports for certain programs and institutions.","Require cost model reports for certain programs and institutions.",0,,2025-02-18,"Committee on Appropriations Tabled, Passed, YEAS 8, NAYS 0.",https://legiscan.com/SD/bill/HB1010/2025,https://sdlegislature.gov/#/Session/Bill/25428
1901549,2170,HB1011,4,Passed,2025-02-11,"Revise provisions related to the stenographic recording of certain proceedings.","Revise provisions related to the stenographic recording of certain proceedings.",0,,2025-02-11,"Signed by the Governor on February 11, 2025 H.J. 248",https://legiscan.com/SD/bill/HB1011/2025,https://sdlegislature.gov/#/Session/Bill/25593
1901624,2170,HB1012,4,Passed,2025-03-31,"Clarify the status of the Statewide One-Call Notification Board as an agency administered by the Department of Public Safety and the duties of the Board.","Clarify the status of the Statewide One-Call Notification Board as an agency administered by the Department of Public Safety and the duties of the Board.",0,,2025-03-31,"Signed by the Governor on March 31, 2025 H.J. 552",https://legiscan.com/SD/bill/HB1012/2025,https://sdlegislature.gov/#/Session/Bill/25595
1901527,2170,HB1013,1,Introduced,2025-01-14,"Increase weights and measures inspection fees charged by the Department of Public Safety.","Increase weights and measures inspection fees charged by the Department of Public Safety.",0,,2025-02-25,"House of Representatives Do Pass Amended, Failed, YEAS 31, NAYS 39. H.J. 394",https://legiscan.com/SD/bill/HB1013/2025,https://sdlegislature.gov/#/Session/Bill/25602
1901567,2170,HB1014,4,Passed,2025-02-19,"Modify provisions related to emergency medical services personnel and to declare an emergency.","Modify provisions related to emergency medical services personnel and to declare an emergency.",0,,2025-02-19,"Signed by the Governor on February 19, 2025 H.J. 318",https://legiscan.com/SD/bill/HB1014/2025,https://sdlegislature.gov/#/Session/Bill/25590
1901524,2170,HB1015,4,Passed,2025-03-31,"Increase licensure fees related to the practice of funeral service and cremation.","Increase licensure fees related to the practice of funeral service and cremation.",0,,2025-03-31,"Signed by the Governor on March 31, 2025 H.J. 554",https://legiscan.com/SD/bill/HB1015/2025,https://sdlegislature.gov/#/Session/Bill/25675
1901516,2170,HB1016,4,Passed,2025-03-31,"Revise provisions related to pharmacy and to increase fees.","Revise provisions related to pharmacy and to increase fees.",0,,2025-03-31,"Signed by the Governor on March 31, 2025 H.J. 554",https://legiscan.com/SD/bill/HB1016/2025,https://sdlegislature.gov/#/Session/Bill/25719
1907439,2170,HB1017,1,Introduced,2025-01-14,"Require the acceptance of a cash payment for admission to a school-affiliated event.","Require the acceptance of a cash payment for admission to a school-affiliated event.",0,,2025-02-03,"House of Representatives Reconsidered, Failed, YEAS 35, NAYS 33. H.J. 169",https://legiscan.com/SD/bill/HB1017/2025,https://sdlegislature.gov/#/Session/Bill/25475
1907279,2170,HB1018,1,Introduced,2025-01-14,"Require the Department of Revenue provide an annual report to tribal governments regarding certain tax collections.","Require the Department of Revenue provide an annual report to tribal governments regarding certain tax collections.",0,,2025-01-23,"Taxation Deferred to the 41st legislative day, Passed, YEAS 12, NAYS 1.",https://legiscan.com/SD/bill/HB1018/2025,https://sdlegislature.gov/#/Session/Bill/25607
1907313,2170,HB1019,1,Introduced,2025-01-14,"Eliminate certain property taxes levied on owner-occupied single-family dwellings, and to increase certain gross receipts tax rates and use tax rates.","Eliminate certain property taxes levied on owner-occupied single-family dwellings, and to increase certain gross receipts tax rates and use tax rates.",0,,2025-02-19,"State Affairs Deferred to the 41st legislative day, Passed, YEAS 10, NAYS 1.",https://legiscan.com/SD/bill/HB1019/2025,https://sdlegislature.gov/#/Session/Bill/25671
1907369,2170,HB1020,1,Introduced,2025-01-14,"Establish education savings accounts.","Establish education savings accounts.",0,,2025-01-29,"Education Deferred to the 41st legislative day, Passed, YEAS 9, NAYS 6.",https://legiscan.com/SD/bill/HB1020/2025,https://sdlegislature.gov/#/Session/Bill/25659
1907418,2170,HB1021,4,Passed,2025-03-31,"Modify the annual fee for concentrated animal feeding operations and to establish an application fee.","Modify the annual fee for concentrated animal feeding operations and to establish an application fee.",0,,2025-03-31,"Signed by the Governor on March 31, 2025 H.J. 552",https://legiscan.com/SD/bill/HB1021/2025,https://sdlegislature.gov/#/Session/Bill/25557
1907506,2170,HB1022,4,Passed,2025-02-11,"Prohibit the misbranding of any cell-cultured protein product.","Prohibit the misbranding of any cell-cultured protein product.",0,,2025-02-11,"Signed by the Governor on February 11, 2025 H.J. 248",https://legiscan.com/SD/bill/HB1022/2025,https://sdlegislature.gov/#/Session/Bill/25558
1907454,2170,HB1023,2,Engrossed,2025-01-23,"Modify the definition of a conviction for purposes of license revocation.","Modify the definition of a conviction for purposes of license revocation.",0,,2025-02-25,"Judiciary Deferred to the 41st legislative day, Passed, YEAS 4, NAYS 3.",https://legiscan.com/SD/bill/HB1023/2025,https://sdlegislature.gov/#/Session/Bill/25583
1907401,2170,HB1024,4,Passed,2025-03-13,"Amend certain fees collected by the secretary of state.","Amend certain fees collected by the secretary of state.",0,,2025-03-13,"Signed by the Governor on March 13, 2025 H.J. 542",https://legiscan.com/SD/bill/HB1024/2025,https://sdlegislature.gov/#/Session/Bill/25613
1907331,2170,HB1025,1,Introduced,2025-01-14,"Authorize the Department of Corrections to construct a prison facility for offenders committed to the Department of Corrections in Lincoln County, to make an appropriation therefor, to transfer moneys to the incarceration construction fund, and to declare an emergency.","Authorize the Department of Corrections to construct a prison facility for offenders committed to the Department of Corrections in Lincoln County, to make an appropriation therefor, to transfer moneys to the incarceration construction fund, and to declare an emergency.",0,,2025-02-24,"House of Representatives Reconsidered, Failed, YEAS 35, NAYS 35. H.J. 372",https://legiscan.com/SD/bill/HB1025/2025,https://sdlegislature.gov/#/Session/Bill/25816
1907520,2170,HB1026,4,Passed,2025-03-13,"Make an appropriation for the replacement of the Richmond Lake dam and spillway, for the general maintenance and repair of other state-owned dams, and to declare an emergency.","Make an appropriation for the replacement of the Richmond Lake dam and spillway, for the general maintenance and repair of other state-owned dams, and to declare an emergency.",0,,2025-03-13,"Signed by the Governor on March 13, 2025 H.J. 542",https://legiscan.com/SD/bill/HB1026/2025,https://sdlegislature.gov/#/Session/Bill/25858
1907297,2170,HB1027,4,Passed,2025-02-19,"Repeal obsolete provisions pertaining to noncollecting retailers.","Repeal obsolete provisions pertaining to noncollecting retailers.",0,,2025-02-19,"Signed by the Governor on February 19, 2025 H.J. 318",https://legiscan.com/SD/bill/HB1027/2025,https://sdlegislature.gov/#/Session/Bill/25616
1907470,2170,HB1028,4,Passed,2025-02-19,"Revise certain references to the Internal Revenue Code.","Revise certain references to the Internal Revenue Code.",0,,2025-02-19,"Signed by the Governor on February 19, 2025 H.J. 318",https://legiscan.com/SD/bill/HB1028/2025,https://sdlegislature.gov/#/Session/Bill/25617
1907349,2170,HB1029,4,Passed,2025-02-19,"Update provisions of the South Dakota Retirement System.","Update provisions of the South Dakota Retirement System.",0,,2025-02-19,"Signed by the Governor on February 19, 2025 H.J. 318",https://legiscan.com/SD/bill/HB1029/2025,https://sdlegislature.gov/#/Session/Bill/25614
1907489,2170,HB1030,4,Passed,2025-02-19,"Update the South Dakota Retirement System's member information protection provisions.","Update the South Dakota Retirement System's member information protection provisions.",0,,2025-02-19,"Signed by the Governor on February 19, 2025 H.J. 318",https://legiscan.com/SD/bill/HB1030/2025,https://sdlegislature.gov/#/Session/Bill/25845
1907262,2170,HB1031,4,Passed,2025-02-19,"Update the South Dakota Retirement System member identity verification procedures.","Update the South Dakota Retirement System member identity verification procedures.",0,,2025-02-19,"Signed by the Governor on February 19, 2025 H.J. 318",https://legiscan.com/SD/bill/HB1031/2025,https://sdlegislature.gov/#/Session/Bill/25846
1907247,2170,HB1032,4,Passed,2025-02-19,"Update a reference to the Internal Revenue Code in South Dakota Retirement System statutes.","Update a reference to the Internal Revenue Code in South Dakota Retirement System statutes.",0,,2025-02-19,"Signed by the Governor on February 19, 2025 H.J. 318",https://legiscan.com/SD/bill/HB1032/2025,https://sdlegislature.gov/#/Session/Bill/25847
1908291,2170,HB1033,4,Passed,2025-02-18,"Make an appropriation for costs related to emergencies and disasters impacting the state and to declare an emergency.","Make an appropriation for costs related to emergencies and disasters impacting the state and to declare an emergency.",0,,2025-02-18,"Signed by the Governor on February 18, 2025 H.J. 298",https://legiscan.com/SD/bill/HB1033/2025,https://sdlegislature.gov/#/Session/Bill/25603
1908628,2170,HB1034,4,Passed,2025-02-18,"Make an appropriation for costs related to the suppression of wildfires impacting the state and to declare an emergency.","Make an appropriation for costs related to the suppression of wildfires impacting the state and to declare an emergency.",0,,2025-02-18,"Signed by the Governor on February 18, 2025 H.J. 298",https://legiscan.com/SD/bill/HB1034/2025,https://sdlegislature.gov/#/Session/Bill/25604
1908577,2170,HB1035,1,Introduced,2025-01-14,"Make an appropriation for school security enhancement grants.","Make an appropriation for school security enhancement grants.",0,,2025-02-21,"Committee on Appropriations Tabled, Passed, YEAS 16, NAYS 0.",https://legiscan.com/SD/bill/HB1035/2025,https://sdlegislature.gov/#/Session/Bill/25815
1908526,2170,HB1036,4,Passed,2025-03-31,"Establish a minimum combined balance of the budget reserve fund and general revenue replacement fund.","Establish a minimum combined balance of the budget reserve fund and general revenue replacement fund.",0,,2025-03-31,"Signed by the Governor on March 31, 2025 H.J. 554",https://legiscan.com/SD/bill/HB1036/2025,https://sdlegislature.gov/#/Session/Bill/25752
1908262,2170,HB1037,4,Passed,2025-03-31,"Suspend the tax collection allowance credit for filing returns and remitting taxes electronically.","Suspend the tax collection allowance credit for filing returns and remitting taxes electronically.",0,,2025-03-31,"Signed by the Governor on March 31, 2025 H.J. 554",https://legiscan.com/SD/bill/HB1037/2025,https://sdlegislature.gov/#/Session/Bill/25820
1908347,2170,HB1038,1,Introduced,2025-01-14,"Repeal provisions regarding the state payment for burial of veterans.","Repeal provisions regarding the state payment for burial of veterans.",0,,2025-02-25,"House of Representatives Do Pass, Failed, YEAS 0, NAYS 70. H.J. 395",https://legiscan.com/SD/bill/HB1038/2025,https://sdlegislature.gov/#/Session/Bill/25834
1908689,2170,HB1039,4,Passed,2025-03-31,"Amend the programs reimbursing a teacher or school counselor for earning national board certification.","Amend the programs reimbursing a teacher or school counselor for earning national board certification.",0,,2025-03-31,"Signed by the Governor on March 31, 2025 H.J. 552",https://legiscan.com/SD/bill/HB1039/2025,https://sdlegislature.gov/#/Session/Bill/25787
1908548,2170,HB1040,4,Passed,2025-03-31,"Reduce the state's contribution to a subsidized high school dual credit program.","Reduce the state's contribution to a subsidized high school dual credit program.",0,,2025-03-31,"Signed by the Governor on March 31, 2025 H.J. 552",https://legiscan.com/SD/bill/HB1040/2025,https://sdlegislature.gov/#/Session/Bill/25788
1908468,2170,HB1041,4,Passed,2025-03-31,"Revise and repeal certain provisions pertaining to the state library and State Library Board.","Revise and repeal certain provisions pertaining to the state library and State Library Board.",0,,2025-03-31,"Signed by the Governor on March 31, 2025 H.J. 554",https://legiscan.com/SD/bill/HB1041/2025,https://sdlegislature.gov/#/Session/Bill/25835
1908496,2170,HB1042,4,Passed,2025-03-04,"Make an appropriation for the construction of historical exhibits at the Cultural Heritage Center.","Make an appropriation for the construction of historical exhibits at the Cultural Heritage Center.",0,,2025-03-04,"Signed by the Governor on March 04, 2025 H.J. 446",https://legiscan.com/SD/bill/HB1042/2025,https://sdlegislature.gov/#/Session/Bill/25840
1908713,2170,HB1043,1,Introduced,2025-01-14,"Require counties and municipalities to provide emergency medical services within their jurisdictions, increase liquidated court costs, and create the emergency medical services fund and make an appropriation therefor.","Require counties and municipalities to provide emergency medical services within their jurisdictions, increase liquidated court costs, and create the emergency medical services fund and make an appropriation therefor.",0,,2025-02-21,"Committee on Appropriations Tabled, Passed, YEAS 7, NAYS 1.",https://legiscan.com/SD/bill/HB1043/2025,https://sdlegislature.gov/#/Session/Bill/25606
1912018,2170,HB1044,4,Passed,2025-03-06,"Authorize the use of a newborn safety device for the voluntary surrender of a newborn and to make clarifying changes.","Authorize the use of a newborn safety device for the voluntary surrender of a newborn and to make clarifying changes.",0,,2025-03-06,"Signed by the Governor on March 06, 2025 H.J. 475",https://legiscan.com/SD/bill/HB1044/2025,https://sdlegislature.gov/#/Session/Bill/25473
1911934,2170,HB1045,1,Introduced,2025-01-14,"Create a share the road specialty license plate.","Create a share the road specialty license plate.",0,,2025-01-23,"Transportation Deferred to the 41st legislative day, Passed, YEAS 9, NAYS 4. H.J. 3",https://legiscan.com/SD/bill/HB1045/2025,https://sdlegislature.gov/#/Session/Bill/25695
1912073,2170,HB1046,4,Passed,2025-03-31,"Revise the General Appropriations Act for fiscal year 2025.","Revise the General Appropriations Act for fiscal year 2025.",0,,2025-03-31,"Signed by the Governor on March 31, 2025 H.J. 554",https://legiscan.com/SD/bill/HB1046/2025,https://sdlegislature.gov/#/Session/Bill/25773
1912240,2170,HB1047,4,Passed,2025-02-25,"Make an appropriation to reimburse health care professionals who have complied with the requirements for rural recruitment assistance programs, and to declare an emergency.","Make an appropriation to reimburse health care professionals who have complied with the requirements for rural recruitment assistance programs, and to declare an emergency.",0,,2025-02-25,"Signed by the Governor on February 25, 2025 H.J. 382",https://legiscan.com/SD/bill/HB1047/2025,https://sdlegislature.gov/#/Session/Bill/25792
1914812,2170,HB1048,1,Introduced,2025-01-14,"Require that cash be accepted for certain transactions.","Require that cash be accepted for certain transactions.",0,,2025-01-27,"Commerce and Energy Deferred to the 41st legislative day, Passed, YEAS 13, NAYS 0.",https://legiscan.com/SD/bill/HB1048/2025,https://sdlegislature.gov/#/Session/Bill/25496
1918323,2170,HB1049,4,Passed,2025-02-11,"Update the official code of laws.","Update the official code of laws.",0,,2025-02-11,"Signed by the Governor on February 11, 2025 H.J. 248",https://legiscan.com/SD/bill/HB1049/2025,https://sdlegislature.gov/#/Session/Bill/25396
1918155,2170,HB1050,1,Introduced,2025-01-15,"Authorize municipalities to impose a new tax to fund capital improvement projects.","Authorize municipalities to impose a new tax to fund capital improvement projects.",0,,2025-02-06,"Taxation Deferred to the 41st legislative day, Passed, YEAS 7, NAYS 6.",https://legiscan.com/SD/bill/HB1050/2025,https://sdlegislature.gov/#/Session/Bill/25623
1918778,2170,HB1051,4,Passed,2025-03-13,"Update provisions on the interim legislative oversight of administrative rulemaking.","Update provisions on the interim legislative oversight of administrative rulemaking.",0,,2025-03-13,"Signed by the Governor on March 13, 2025 H.J. 542",https://legiscan.com/SD/bill/HB1051/2025,https://sdlegislature.gov/#/Session/Bill/25390
1918491,2170,HB1052,4,Passed,2025-03-06,"Prohibit the exercise of eminent domain for a pipeline that carries carbon oxide.","Prohibit the exercise of eminent domain for a pipeline that carries carbon oxide.",0,,2025-03-06,"Signed by the Governor on March 06, 2025 H.J. 475",https://legiscan.com/SD/bill/HB1052/2025,https://sdlegislature.gov/#/Session/Bill/25581
1919133,2170,HB1053,4,Passed,2025-02-27,"Require age verification by websites containing material that is harmful to minors, and to provide a penalty therefor.","Require age verification by websites containing material that is harmful to minors, and to provide a penalty therefor.",0,,2025-02-27,"Signed by the Governor on February 27, 2025 H.J. 418",https://legiscan.com/SD/bill/HB1053/2025,https://sdlegislature.gov/#/Session/Bill/25525
