bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1899827,3036160,text,110707,application/pdf,Introduced,https://legiscan.com/SD/text/HB1001/id/3036160,https://mylrc.sdlegislature.gov/api/Documents/272399.pdf
1899827,3149939,text,106581,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1001/id/3149939,https://mylrc.sdlegislature.gov/api/Documents/283436.pdf
1899842,3036175,text,100279,application/pdf,Introduced,https://legiscan.com/SD/text/HB1002/id/3036175,https://mylrc.sdlegislature.gov/api/Documents/272400.pdf
1899842,3111093,text,96526,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1002/id/3111093,https://mylrc.sdlegislature.gov/api/Documents/281323.pdf
1899840,3036173,text,149923,application/pdf,Introduced,https://legiscan.com/SD/text/HB1003/id/3036173,https://mylrc.sdlegislature.gov/api/Documents/272401.pdf
1899840,3110503,text,125577,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1003/id/3110503,https://mylrc.sdlegislature.gov/api/Documents/281322.pdf
1899834,3036167,text,104308,application/pdf,Introduced,https://legiscan.com/SD/text/HB1004/id/3036167,https://mylrc.sdlegislature.gov/api/Documents/272402.pdf
1899834,3111177,text,99189,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1004/id/3111177,https://mylrc.sdlegislature.gov/api/Documents/281324.pdf
1899828,3036161,text,105187,application/pdf,Introduced,https://legiscan.com/SD/text/HB1005/id/3036161,https://mylrc.sdlegislature.gov/api/Documents/272403.pdf
1899828,3138914,text,107166,application/pdf,"Comm Sub",https://legiscan.com/SD/text/HB1005/id/3138914,https://mylrc.sdlegislature.gov/api/Documents/282900.pdf
1899828,3141194,text,106243,application/pdf,"Comm Sub",https://legiscan.com/SD/text/HB1005/id/3141194,https://mylrc.sdlegislature.gov/api/Documents/283117.pdf
1899828,3165979,text,101118,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1005/id/3165979,https://mylrc.sdlegislature.gov/api/Documents/284325.pdf
1899831,3036164,text,110431,application/pdf,Introduced,https://legiscan.com/SD/text/HB1006/id/3036164,https://mylrc.sdlegislature.gov/api/Documents/272404.pdf
1899826,3036159,text,108183,application/pdf,Introduced,https://legiscan.com/SD/text/HB1007/id/3036159,https://mylrc.sdlegislature.gov/api/Documents/272405.pdf
1899826,3156584,text,110555,application/pdf,"Comm Sub",https://legiscan.com/SD/text/HB1007/id/3156584,https://mylrc.sdlegislature.gov/api/Documents/284146.pdf
