bill_id,date,chamber,sequence,action
1899824,2025-01-14,House,1,"First read in House and referred to House Education H.J. 12"
1899824,2025-01-21,House,2,"Prime Sponsor Changed at the Request of the Prime Sponsor H.J. 43"
1899824,2025-01-22,House,3,"Scheduled for hearing"
1899824,2025-01-22,House,4,"Education Motion to amend, Passed Amendment 1009A"
1899824,2025-01-22,House,5,"Education Deferred to another day, Passed, YEAS 9, NAYS 5."
1899824,2025-01-29,House,6,"Scheduled for hearing"
1899824,2025-01-29,House,7,"Education Deferred to the 41st legislative day, Passed, YEAS 8, NAYS 7."
1899825,2025-01-14,Senate,1,"First read in Senate and referred to Senate State Affairs S.J. 12"
1899825,2025-01-22,Senate,2,"Scheduled for hearing"
1899825,2025-01-22,Senate,3,"State Affairs Motion to amend, Passed Amendment 11A"
1899825,2025-01-22,Senate,4,"State Affairs Do Pass Amended, Passed, YEAS 7, NAYS 2."
1899825,2025-01-24,Senate,5,"Senate Deferred to another day, Passed S.J. 88"
1899825,2025-01-27,Senate,6,"Senate Do Pass Amended, Passed, YEAS 30, NAYS 4. S.J. 103"
1899825,2025-01-28,House,7,"First read in House and referred to House State Affairs H.J. 134"
1899825,2025-02-05,House,8,"Scheduled for hearing"
1899825,2025-02-05,House,9,"State Affairs Motion to amend, Passed, YEAS 8, NAYS 4."
1899825,2025-02-05,House,10,"State Affairs Do Pass Amended, Failed, YEAS 5, NAYS 7."
1899825,2025-02-05,House,11,"State Affairs Deferred to the 41st legislative day, Passed, YEAS 9, NAYS 3."
1899826,2025-01-14,House,1,"First read in House and referred to House Commerce and Energy H.J. 11"
1899826,2025-01-24,House,2,"Scheduled for hearing"
1899826,2025-01-24,House,3,"Commerce and Energy Do Pass, Passed, YEAS 10, NAYS 3."
1899826,2025-01-27,House,4,"House of Representatives Do Pass, Passed, YEAS 58, NAYS 10. H.J. 127"
1899826,2025-01-28,Senate,5,"First read in Senate and referred to Senate Commerce and Energy S.J. 112"
1899826,2025-03-06,Senate,6,"Scheduled for hearing"
1899826,2025-03-06,Senate,7,"Commerce and Energy Motion to amend, Passed Amendment 1007A"
1899826,2025-03-06,Senate,8,"Commerce and Energy Do Pass Amended, Passed, YEAS 8, NAYS 0."
1899826,2025-03-06,Senate,9,"Certified uncontested, placed on consent"
1899826,2025-03-10,Senate,10,"Senate Do Pass Amended, Passed, YEAS 34, NAYS 0. S.J. 483"
1899826,2025-03-11,House,11,"House of Representatives Concurred in amendments, Passed, YEAS 68, NAYS 0. H.J. 516"
1899826,2025-03-12,House,12,"Signed by the Speaker H.J. 539"
1899826,2025-03-13,Senate,13,"Signed by the President S.J. 528"
1899826,2025-03-13,House,14,"Delivered to the Governor on March 13, 2025 H.J. 546"
1899826,2025-03-31,House,15,"Signed by the Governor on March 31, 2025 H.J. 554"
1899827,2025-01-14,House,1,"First read in House and referred to House Education H.J. 12"
1899827,2025-01-17,House,2,"Scheduled for hearing"
1899827,2025-01-17,House,3,"Education Do Pass, Passed, YEAS 15, NAYS 0."
1899827,2025-01-17,House,4,"Certified uncontested, placed on consent"
1899827,2025-01-21,House,5,"House of Representatives Do Pass, Passed, YEAS 66, NAYS 0. H.J. 44"
1899827,2025-01-22,Senate,6,"First Reading Senate S.J. 72"
1899827,2025-01-27,Senate,7,"Referred to Senate State Affairs S.J. 101"
1899827,2025-02-26,Senate,8,"Scheduled for hearing"
1899827,2025-02-26,Senate,9,"State Affairs Do Pass, Passed, YEAS 8, NAYS 0."
1899827,2025-02-26,Senate,10,"Certified uncontested, placed on consent"
1899827,2025-02-27,Senate,11,"Senate Do Pass, Passed, YEAS 35, NAYS 0. S.J. 406"
1899827,2025-03-03,House,12,"Signed by the Speaker H.J. 443"
1899827,2025-03-04,Senate,13,"Signed by the President S.J. 443"
1899827,2025-03-05,House,14,"Delivered to the Governor on March 05, 2025 H.J. 458"
1899827,2025-03-13,House,15,"Signed by the Governor on March 13, 2025 H.J. 542"
1899828,2025-01-14,House,1,"First read in House and referred to House Health and Human Services H.J. 12"
1899828,2025-01-23,House,2,"Scheduled for hearing"
1899828,2025-01-23,House,3,"Referred to House Committee on Appropriations, Passed, YEAS 11, NAYS 1."
1899828,2025-02-07,House,4,"Scheduled for hearing"
1899828,2025-02-21,House,5,"Scheduled for hearing H.J. 1"
1899828,2025-02-24,House,6,"Scheduled for hearing H.J. 1"
1899828,2025-02-24,House,7,"Committee on Appropriations Motion to amend, Passed Amendment 1005A"
1899828,2025-02-24,House,8,"Committee on Appropriations Do Pass Amended, Passed, YEAS 9, NAYS 0."
1899828,2025-02-25,House,9,"House of Representatives Motion to amend, Passed H.J. 391 Amendment 1005D"
1899828,2025-02-25,House,10,"House of Representatives Do Pass Amended, Passed, YEAS 70, NAYS 0. H.J. 391"
1899828,2025-02-26,Senate,11,"First read in Senate and referred to Senate Health and Human Services S.J. 393"
1899828,2025-03-05,Senate,12,"Scheduled for hearing"
1899828,2025-03-05,Senate,13,"Health and Human Services Do Pass, Passed, YEAS 6, NAYS 0."
1899828,2025-03-05,Senate,14,"Certified uncontested, placed on consent"
1899828,2025-03-06,Senate,15,"Remove from Consent Calendar S.J. 471"
1899828,2025-03-10,Senate,16,"Senate Do Pass Amended, Passed, YEAS 33, NAYS 0. S.J. 484"
1899828,2025-03-11,House,17,"Signed by the Speaker H.J. 524"
1899828,2025-03-12,Senate,18,"Signed by the President S.J. 522"
1899828,2025-03-12,House,19,"Delivered to the Governor on March 12, 2025 H.J. 536"
1899828,2025-03-31,House,20,"Signed by the Governor on March 31, 2025 H.J. 554"
1899829,2025-01-14,Senate,1,"First read in Senate and referred to Senate Judiciary S.J. 11"
1899829,2025-02-04,Senate,2,"Scheduled for hearing S.J. 1"
1899829,2025-02-04,Senate,3,"Judiciary Motion to amend, Passed S.J. 1 Amendment 8A"
1899829,2025-02-04,Senate,4,"Judiciary Do Pass Amended, Passed, YEAS 6, NAYS 0. S.J. 1"
1899829,2025-02-06,Senate,5,"Senate Do Pass Amended, Passed, YEAS 35, NAYS 0. S.J. 197"
1899829,2025-02-07,House,6,"First Reading House H.J. 226"
1899829,2025-02-10,House,7,"Referred to House Judiciary H.J. 240"
1899829,2025-02-26,House,8,"Scheduled for hearing"
1899829,2025-02-26,House,9,"Judiciary Do Pass, Passed, YEAS 13, NAYS 0."
1899829,2025-02-27,House,10,"House of Representatives Do Pass Amended, Passed, YEAS 52, NAYS 18. H.J. 427"
1899829,2025-03-03,Senate,11,"Signed by the President S.J. 425"
1899829,2025-03-04,House,12,"Signed by the Speaker H.J. 455"
