people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
8222,"Phil Jensen",Phil,,Jensen,,,2,R,1,Rep,HD-033,8594037,104047,,Phil_Jensen,271447,0
8256,"State Affairs",State,,Affairs,,,0,,1,Rep,,0,0,,,0,1553
8257,"Agriculture and Natural Resources",,,,,,0,,1,Rep,,0,0,,,0,1542
8259,Judiciary,,,Judiciary,,,0,,1,Rep,,0,0,,,0,1549
8260,Education,,,Education,,,0,,1,Rep,,0,0,,,0,1546
8261,"Health and Human Services",,,,,,0,,1,Rep,,0,0,,,0,1548
8262,Taxation,,,Taxation,,,0,,1,Rep,,0,0,,,0,1554
8296,"Al Novstrup",Al,,Novstrup,,,2,R,1,Rep,HD-003,6580757,48320,,Al_Novstrup,214314,0
8325,"Local Government",Local,,Government,,,0,,2,Sen,,0,0,,,0,1565
8326,Transportation,,,Transportation,,,0,,2,Sen,,0,0,,,0,1569
8331,Taxation,,,Taxation,,,0,,2,Sen,,0,0,,,0,1568
8332,"Agriculture and Natural Resources",,,,,,0,,2,Sen,,0,0,,,0,1556
8333,"Health and Human Services",,,,,,0,,2,Sen,,0,0,,,0,1562
8334,Judiciary,,,Judiciary,,,0,,2,Sen,,0,0,,,0,1563
8335,"State Affairs",State,,Affairs,,,0,,2,Sen,,0,0,,,0,1567
10613,"Retirement Laws",,,,,,0,,1,Rep,,0,0,,,0,1552
10984,"Jon Hansen",Jon,,Hansen,,,2,R,1,Rep,HD-025,6685955,121385,,Jon_Hansen,292773,0
12217,"Commerce and Energy",,,,,,0,,2,Sen,,0,0,,,0,2211
13688,"Commerce and Energy",,,,,,0,,1,Rep,,0,0,,,0,2210
14196,"Ernie Otten",Ernie,,Otten,Jr.,,2,R,2,Sen,SD-006,11023160,149106,,Ernie_Otten_Jr.,396244,0
14420,"Mike Stevens",Mike,,Stevens,,,2,R,1,Rep,HD-018,11023149,137892,,Mike_Stevens_(South_Dakota),408739,0
14500,"Leslie Heinemann",Leslie,,Heinemann,,,2,R,1,Rep,HD-025,11023138,137856,,Leslie_Heinemann,396249,0
14687,"Elizabeth May",Elizabeth,,May,,Liz,2,R,1,Rep,HD-027,6533952,66336,,Elizabeth_May,408749,0
14691,"Herman Otten",Herman,,Otten,,,2,R,1,Rep,HD-006,11023119,11244,,Herman_Otten,396246,0
14692,"Kyle Schoenfish",Kyle,,Schoenfish,,,2,R,2,Sen,SD-019,6503105,121354,,Kyle_Schoenfish,290500,0
17180,"Arch Beal",Arch,,Beal,,,2,R,2,Sen,SD-012,8596817,151966,,Arch_Beal,492835,0
17182,"Lana Greenfield",Lana,,Greenfield,,,2,R,1,Rep,HD-022,6685875,121288,,Lana_Greenfield,292744,0
17186,"Sam Marty",Sam,,Marty,,,2,R,2,Sen,SD-028,23353492,152006,,J._Sam_Marty,493061,0
17190,"Larry Zikmund",Larry,P.,Zikmund,,,2,R,1,Rep,SD-014,8608125,137866,,Larry_P._Zikmund,408635,0
17822,"William Shorma",William,,Shorma,,,2,R,1,Rep,HD-017,39762645,156686,,William_Shorma,535341,0
18629,"Timothy Goodwin",Timothy,R.,Goodwin,,Tim,2,R,1,Rep,HD-030,39762672,169870,,Tim_Goodwin_(South_Dakota),576355,0
18630,"Taffy Howard",Taffy,,Howard,,,2,R,1,Rep,SD-034,39762679,169890,,Taffy_Howard,576216,0
18690,"Greg Jamison",Greg,,Jamison,,,2,R,1,Rep,HD-012,28727308,77866,,Greg_Jamison,576720,0
18691,"Kevin Jensen",Kevin,D.,Jensen,,,2,R,1,Rep,SD-016,11023139,137889,,Kevin_Jensen,408661,0
18693,"Chris Karr",Chris,,Karr,,,2,R,2,Sen,SD-011,13006596,121328,,Chris_Karr,292755,0
18700,"Sue Lucas-Peterson",Sue,K.,Lucas-Peterson,,,2,R,2,Sen,SD-013,28639942,175708,,Sue_Peterson,595980,0
18701,"Tom Pischke",Tom,,Pischke,,,2,R,2,Sen,SD-025,39762662,169854,,Tom_Pischke,576214,0
18702,"Tim Reed",Tim,,Reed,,,2,R,2,Sen,SD-007,8605214,168942,,Tim_Reed_(South_Dakota_House),576716,0
18703,"Jamie Smith",Jamie,,Smith,,,1,D,2,Sen,SD-015,39762643,169033,,Jamie_Smith_(South_Dakota),576859,0
18792,"Jack Kolbeck",Jack,R.,Kolbeck,,,2,R,1,Rep,HD-013,39762693,169016,,Jack_Kolbeck,575051,0
19679,"Rebecca Reimer",Rebecca,,Reimer,,,2,R,1,Rep,HD-026,45284502,180869,,Rebecca_Reimer,661271,0
19905,"Tony Randolph",Tony,,Randolph,,,2,R,1,Rep,HD-035,45284499,180891,,Tony_Randolph,661517,0
19915,"Tina Mulally",Tina,L.,Mulally,,,2,R,1,Rep,HD-035,39762719,169894,,Tina_Mulally,576712,0
20397,"Red Foster",Red,Dawn,Foster,,,1,D,2,Sen,SD-027,39762665,169908,,Red_Dawn_Foster,581538,0
