bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1899824,1472966,2025-01-22,House,"Deferred to another day",9,5,0,1,15
1899824,1476212,2025-01-29,House,"Deferred to the 41st legislative day",8,7,0,0,15
1899825,1473105,2025-01-22,Senate,"Do Pass Amended",7,2,0,0,9
1899825,1474996,2025-01-27,Senate,"Do Pass Amended",30,4,0,1,35
1899825,1480578,2025-02-05,House,"Motion to amend",8,4,0,1,13
1899825,1480579,2025-02-05,House,"Do Pass Amended",5,7,0,1,13
1899825,1480580,2025-02-05,House,"Deferred to the 41st legislative day",9,3,0,1,13
1899826,1474206,2025-01-24,House,"Do Pass",10,3,0,0,13
1899826,1474953,2025-01-27,House,"Do Pass",58,10,0,1,69
1899826,1507311,2025-03-06,Senate,"Do Pass Amended",8,0,0,1,9
1899826,1509524,2025-03-10,Senate,"Do Pass Amended",34,0,0,1,35
1899826,1514262,2025-03-11,House,"Concurred in amendments",68,0,0,2,70
1899827,1472090,2025-01-17,House,"Do Pass",15,0,0,0,15
1899827,1472647,2025-01-21,House,"Do Pass",66,0,0,3,69
1899827,1500073,2025-02-26,Senate,"Do Pass",8,0,0,1,9
1899827,1501526,2025-02-27,Senate,"Do Pass",35,0,0,0,35
1899828,1473980,2025-01-23,House,"Referred to",11,1,0,1,13
1899828,1497785,2025-02-24,House,"Do Pass Amended",9,0,0,0,9
1899828,1499686,2025-02-25,House,"Do Pass Amended",70,0,0,0,70
1899828,1505938,2025-03-05,Senate,"Do Pass",6,0,0,1,7
1899828,1511864,2025-03-10,Senate,"Do Pass Amended",33,0,0,2,35
1899829,1479841,2025-02-04,Senate,"Do Pass Amended",6,0,0,1,7
1899829,1483783,2025-02-06,Senate,"Do Pass Amended",35,0,0,0,35
1899829,1500258,2025-02-26,House,"Do Pass",13,0,0,0,13
1899829,1502080,2025-02-27,House,"Do Pass Amended",52,18,0,0,70
1899830,1474226,2025-01-24,Senate,"Deferred to the 41st legislative day",8,1,0,0,9
1899831,1473576,2025-01-23,House,"Referred to",9,3,0,1,13
1899831,1497283,2025-02-24,House,"Deferred to the 41st legislative day",8,0,0,1,9
1899832,1482703,2025-02-05,Senate,"Referred to",8,0,0,1,9
1899832,1498717,2025-02-25,Joint,"Do Pass Amended",17,0,0,1,18
1899832,1504030,2025-03-03,Senate,"Do Pass Amended",29,6,0,0,35
1899832,1508185,2025-03-06,House,"Do Pass Amended",41,28,0,1,70
1899832,1515584,2025-03-11,Senate,"Concurred in amendments",32,2,0,1,35
1899833,1471903,2025-01-16,Senate,"Do Pass Amended",7,0,0,0,7
1899833,1472722,2025-01-21,Senate,"Do Pass Amended",32,0,0,3,35
1899833,1476221,2025-01-29,House,"Do Pass",13,0,0,0,13
1899833,1477371,2025-01-30,House,"Do Pass Amended",58,8,0,2,68
1899834,1472113,2025-01-17,House,"Deferred to another day",15,0,0,0,15
1899834,1474246,2025-01-24,House,"Do Pass",12,2,0,1,15
1899834,1475125,2025-01-27,House,"Do Pass",65,3,0,1,69
1899834,1483283,2025-02-06,Senate,"Do Pass",7,0,0,0,7
1899834,1484499,2025-02-07,Senate,"Do Pass",35,0,0,0,35
1899835,1472200,2025-01-17,Senate,"Motion to amend",7,0,0,0,7
1899835,1472201,2025-01-17,Senate,"Do Pass Amended",7,0,0,0,7
1899835,1474124,2025-01-23,Senate,"Do Pass Amended",30,4,0,1,35
1899835,1477758,2025-01-30,House,"Do Pass",10,3,0,0,13
1899835,1479170,2025-02-03,House,"Do Pass Amended",54,14,0,0,68
1899836,1473047,2025-01-22,Senate,"Deferred to the 41st legislative day",7,2,0,0,9
1899836,1475001,2025-01-27,Senate,"Placed on calendar pursuant to JR 6F-6",16,18,0,1,35
1899837,1472222,2025-01-17,Senate,"Do Pass",7,0,0,0,7
1899837,1473162,2025-01-22,Senate,"Do Pass Amended",35,0,0,0,35
1899837,1477740,2025-01-30,House,"Do Pass",13,0,0,0,13
1899837,1479161,2025-02-03,House,"Do Pass Amended",68,0,0,0,68
1899838,1473564,2025-01-23,Senate,"Do Pass",6,0,0,1,7
1899838,1474425,2025-01-24,Senate,"Do Pass",35,0,0,0,35
1899838,1477267,2025-01-30,House,"Do Pass",12,1,0,0,13
1899838,1478963,2025-02-03,House,"Do Pass",62,6,1,0,69
1899839,1494739,2025-02-20,Senate,"Do Pass Amended",6,2,0,1,9
1899839,1497959,2025-02-24,Senate,"Do Pass Amended",24,11,0,0,35
1899839,1503103,2025-03-03,House,"Deferred to another day",7,2,0,0,9
1899839,1505946,2025-03-05,House,"Do Pass",8,0,0,1,9
1899839,1507813,2025-03-06,House,"Do Pass Amended",51,18,0,1,70
1899840,1472115,2025-01-17,House,"Do Pass",13,2,0,0,15
1899840,1472635,2025-01-21,House,"Do Pass",59,7,0,3,69
1899840,1483085,2025-02-06,Senate,"Do Pass",7,0,0,0,7
1899840,1484091,2025-02-07,Senate,"Do Pass",35,0,0,0,35
1899841,1473323,2025-01-22,Senate,"Do Pass",9,0,0,0,9
1899841,1474031,2025-01-23,Senate,"Do Pass",34,0,0,1,35
1899841,1476194,2025-01-29,House,"Do Pass",11,0,0,2,13
1899841,1477938,2025-01-30,House,"Do Pass",59,7,0,2,68
1899842,1472118,2025-01-17,House,"Do Pass",12,3,0,0,15
1899842,1472613,2025-01-21,House,"Do Pass",54,12,0,3,69
1899842,1483033,2025-02-06,Senate,"Do Pass",6,0,0,1,7
1899842,1484249,2025-02-07,Senate,"Do Pass",35,0,0,0,35
1899843,1473077,2025-01-22,Senate,"Do Pass",6,3,0,0,9
1899843,1474141,2025-01-23,Senate,"Do Pass",21,13,0,1,35
1899843,1478722,2025-02-03,House,"Do Pass Amended",12,1,0,0,13
1899843,1482460,2025-02-05,House,"Motion to amend",34,33,0,1,68
1899843,1482461,2025-02-05,House,"Do Pass Amended",38,29,0,1,68
1899844,1474222,2025-01-24,House,"Do Pass Amended",13,0,0,0,13
1899844,1475601,2025-01-28,House,"Do Pass Amended",69,0,0,0,69
1899844,1504211,2025-03-04,Senate,"Do Pass",7,0,0,2,9
1899844,1506102,2025-03-05,Senate,"Do Pass Amended",34,0,0,1,35
1901505,1472122,2025-01-17,Senate,"Do Pass",7,0,0,0,7
1901505,1472670,2025-01-21,Senate,"Do Pass",32,0,0,3,35
1901505,1475664,2025-01-28,House,"Do Pass",13,0,0,0,13
1901505,1476523,2025-01-29,House,"Do Pass",68,0,0,1,69
1901507,1473305,2025-01-22,Senate,"Do Pass",7,0,0,0,7
1901507,1473792,2025-01-23,Senate,"Do Pass",34,0,0,1,35
1901507,1480762,2025-02-05,House,"Do Pass",12,0,0,1,13
1901507,1483854,2025-02-06,House,"Do Pass",65,3,0,1,69
1901508,1473027,2025-01-22,Senate,"Do Pass",9,0,0,0,9
1901508,1474532,2025-01-24,Senate,"Do Pass Amended",31,4,0,0,35
1901508,1478742,2025-02-03,House,"Do Pass",13,0,0,0,13
1901508,1480238,2025-02-04,House,"Do Pass Amended",61,6,0,1,68
1901513,1472980,2025-01-22,Senate,"Do Pass",6,1,0,0,7
1901513,1474113,2025-01-23,Senate,"Do Pass",32,2,0,1,35
1901513,1477414,2025-01-30,House,"Do Pass",11,1,0,1,13
1901513,1479329,2025-02-03,House,"Do Pass",42,26,0,0,68
1901516,1475945,2025-01-28,House,"Referred as Amended to",12,1,0,0,13
1901516,1496806,2025-02-21,House,"Do Pass Amended",8,0,0,1,9
1901516,1499569,2025-02-25,House,"Do Pass Amended",69,1,0,0,70
1901516,1503507,2025-03-03,Senate,"Do Pass",7,0,0,0,7
1901516,1505452,2025-03-04,Senate,"Do Pass Amended",27,8,0,0,35
1901516,1507662,2025-03-06,House,"Concurred in amendments",66,3,0,1,70
1901522,1479998,2025-02-04,Senate,"Referred to",9,0,0,0,9
1901522,1482514,2025-02-05,Joint,"Referred to",14,0,0,3,17
1901522,1491729,2025-02-18,Senate,"Do Pass",9,0,0,0,9
1901522,1493763,2025-02-19,Senate,"Do Pass",32,2,0,1,35
1901522,1503958,2025-03-03,House,"Referred to",12,1,0,0,13
1901522,1505757,2025-03-05,House,"Do Pass",8,0,0,1,9
1901522,1508124,2025-03-06,House,"Do Pass",62,7,0,1,70
1901524,1477337,2025-01-30,House,"Do Pass",12,1,0,0,13
1901524,1479007,2025-02-03,House,"Do Pass",54,14,0,0,68
1901524,1503123,2025-03-03,Senate,"Do Pass",7,0,0,0,7
1901524,1504919,2025-03-04,Senate,"Do Pass",24,11,0,0,35
1901527,1475107,2025-01-27,House,"Referred as Amended to",12,1,0,0,13
1901527,1480695,2025-02-05,Joint,"Referred to",14,0,0,3,17
1901527,1497475,2025-02-24,House,"Do Pass",5,4,0,0,9
1901527,1499613,2025-02-25,House,"Do Pass Amended",31,39,0,0,70
1901531,1475741,2025-01-28,Senate,"Do Pass",7,2,0,0,9
1901531,1484777,2025-02-10,Senate,"Do Pass",5,4,0,0,9
1901531,1487223,2025-02-11,Senate,"Do Pass",21,13,0,1,35
1901531,1488495,2025-02-12,Senate,"Do Pass",25,10,0,0,35
1901531,1500383,2025-02-26,House,"Referred to",11,2,0,0,13
1901531,1503092,2025-03-03,House,"Do Pass",9,0,0,0,9
1901531,1504776,2025-03-04,House,"Do Pass",54,16,0,0,70
1901534,1484711,2025-02-10,Senate,"Do Pass",6,3,0,0,9
1901534,1487210,2025-02-11,Senate,"Do Pass",20,14,0,1,35
1901534,1488519,2025-02-12,Senate,Reconsidered,33,2,0,0,35
1901534,1488520,2025-02-12,Senate,"Do Pass",31,4,0,0,35
1901534,1500803,2025-02-26,House,"Referred to",8,4,0,1,13
1901534,1503929,2025-03-03,House,"Do Pass",8,1,0,0,9
1901534,1505103,2025-03-04,House,"Do Pass",58,12,0,0,70
1901540,1473228,2025-01-22,Senate,"Do Pass",7,0,0,0,7
1901540,1473915,2025-01-23,Senate,"Do Pass",34,0,0,1,35
1901540,1476319,2025-01-29,House,"Do Pass",13,0,0,0,13
1901540,1477946,2025-01-30,House,"Do Pass",66,0,0,2,68
1901543,1472597,2025-01-21,Senate,"Do Pass",7,0,0,0,7
1901543,1473243,2025-01-22,Senate,"Do Pass",31,4,0,0,35
1901543,1504352,2025-03-04,House,"Do Pass",11,2,0,0,13
1901543,1506721,2025-03-05,House,"Do Pass",43,27,0,0,70
1901546,1473568,2025-01-23,Senate,"Do Pass",6,0,0,1,7
1901546,1474428,2025-01-24,Senate,"Do Pass",35,0,0,0,35
1901546,1501104,2025-02-27,House,"Do Pass",13,0,0,0,13
1901546,1503496,2025-03-03,House,"Do Pass",68,1,0,1,70
1901549,1473246,2025-01-22,House,"Do Pass",13,0,0,0,13
1901549,1473927,2025-01-23,House,"Do Pass",69,0,0,0,69
1901549,1477544,2025-01-30,Senate,"Do Pass",7,0,0,0,7
1901549,1479182,2025-02-03,Senate,"Do Pass",35,0,0,0,35
1901555,1482649,2025-02-05,Senate,"Referred to",8,0,0,1,9
1901555,1499404,2025-02-25,Joint,"Do Pass Amended",13,4,0,1,18
1901555,1503457,2025-03-03,Senate,"Do Pass Amended",14,21,0,0,35
1901557,1472106,2025-01-17,Senate,"Motion to amend",7,0,0,0,7
1901557,1472107,2025-01-17,Senate,"Do Pass Amended",7,0,0,0,7
1901557,1473363,2025-01-22,Senate,"Do Pass Amended",35,0,0,0,35
1901557,1477272,2025-01-30,House,"Do Pass",13,0,0,0,13
1901557,1479114,2025-02-03,House,"Do Pass Amended",68,0,0,0,68
1901560,1476871,2025-01-29,Senate,"Deferred to the 41st legislative day",7,0,0,0,7
1901565,1473723,2025-01-23,Senate,"Do Pass Amended",9,0,0,0,9
1901565,1475628,2025-01-28,Senate,"Do Pass Amended",35,0,0,0,35
1901565,1483981,2025-02-07,House,"Motion to amend",6,5,0,2,13
1901565,1485028,2025-02-10,House,"Deferred to another day",10,2,0,1,13
1901565,1487685,2025-02-12,House,"Do Pass Amended",10,0,0,3,13
1901565,1492646,2025-02-18,House,"Do Pass Amended",65,5,0,0,70
1901565,1500263,2025-02-26,Joint,"Motion to amend",6,0,0,0,6
1901565,1500264,2025-02-26,Joint,"Conference Committee Report adopted",6,0,0,0,6
1901565,1503402,2025-03-03,House,"Conference Committee Report adopted",68,1,0,1,70
1901565,1503752,2025-03-03,Senate,"Conference Committee Report adopted",34,1,0,0,35
1901567,1472593,2025-01-21,House,"Do Pass",12,0,0,1,13
1901567,1473357,2025-01-22,House,"Do Pass",66,0,0,3,69
1901567,1482466,2025-02-05,Senate,"Do Pass",4,0,0,3,7
1901567,1483525,2025-02-06,Senate,"Do Pass",35,0,0,0,35
1901572,1476109,2025-01-29,House,"Do Pass",8,4,0,1,13
1901572,1477353,2025-01-30,House,"Do Pass",42,24,0,2,68
1901572,1499895,2025-02-26,Senate,"Do Pass",7,2,0,0,9
1901572,1504880,2025-03-04,Senate,"Do Pass",25,10,0,0,35
1901575,1475409,2025-01-28,Senate,"Do Pass",8,1,0,0,9
1901575,1484601,2025-02-10,Senate,"Do Pass",7,2,0,0,9
1901575,1486826,2025-02-11,Senate,"Do Pass",28,6,0,1,35
1901575,1500139,2025-02-26,House,"Referred to",10,1,0,2,13
1901575,1505935,2025-03-05,House,"Do Pass",8,0,0,1,9
1901575,1507783,2025-03-06,House,"Do Pass",56,13,0,1,70
