bill_id,people_id,position
1899824,8222,3
1899824,19905,7
1899824,19915,5
1899824,20539,6
1899824,25633,2
1899824,25639,1
1899824,25642,4
1899824,25646,8
1899824,25662,9
1899825,22504,2
1899825,23771,1
1899825,24401,3
1899826,13688,1
1899827,8256,1
1899828,8261,1
1899829,17190,17
1899829,18702,9
1899829,18703,13
1899829,21437,4
1899829,21672,2
1899829,22503,5
1899829,22504,12
1899829,22640,3
1899829,23771,6
1899829,23774,10
1899829,24155,1
1899829,24312,8
1899829,24401,7
1899829,25647,11
1899829,25651,14
1899829,25652,16
1899829,25661,15
1899830,8335,1
1899831,8261,1
1899832,18629,7
1899832,18630,9
1899832,18691,10
1899832,18703,16
1899832,21437,1
1899832,21672,3
1899832,22451,2
1899832,23768,6
1899832,23771,11
1899832,23772,13
1899832,23777,4
1899832,24395,5
1899832,24401,12
1899832,25646,14
1899832,25648,15
1899832,25656,8
1899832,25662,17
1899833,14420,20
1899833,18702,16
1899833,20585,15
1899833,21437,1
1899833,22503,6
1899833,23771,10
1899833,23774,17
1899833,23777,5
1899833,23899,13
1899833,24312,12
1899833,24401,11
1899833,25632,3
1899833,25633,4
1899833,25634,7
1899833,25643,14
1899833,25647,18
1899833,25648,19
1899833,25650,21
1899833,25651,22
1899833,25652,2
1899833,25656,8
1899833,25658,9
1899833,25662,23
1899834,8260,1
1899835,8326,1
1899836,20397,3
1899836,20585,6
1899836,22504,1
1899836,24401,4
1899836,25633,2
1899836,25643,5
1899837,8326,1
1899838,8222,13
1899838,14196,19
1899838,17190,29
1899838,18630,9
1899838,18691,12
1899838,18700,22
1899838,19679,23
1899838,20539,20
1899838,20577,18
1899838,21672,1
1899838,22449,3
1899838,22503,2
1899838,22504,26
1899838,22640,6
1899838,23771,14
1899838,23772,16
1899838,23774,24
1899838,23775,27
1899838,23777,7
1899838,24157,21
1899838,24312,17
1899838,25632,4
1899838,25633,5
1899838,25638,11
1899838,25642,15
1899838,25647,25
1899838,25656,8
1899838,25658,10
1899838,25661,28
1899839,8326,1
1899840,8260,1
1899841,18629,1
1899841,18691,7
1899841,18702,13
1899841,18703,14
1899841,19915,10
1899841,20397,6
1899841,20539,11
1899841,20585,12
1899841,22449,3
1899841,22504,2
1899841,23768,5
1899841,24401,8
1899841,25633,4
1899841,25643,9
1899841,25650,15
1899841,25663,16
1899842,8260,1
1899843,18702,9
1899843,21437,4
1899843,22504,2
1899843,22632,11
1899843,23768,5
1899843,23771,6
1899843,23774,1
1899843,23777,3
1899843,24401,7
1899843,25643,8
1899843,25661,10
1899844,13688,1
1901505,8326,1
1901507,8333,1
1901508,18629,1
1901508,22504,2
1901508,25643,3
1901513,8326,1
1901516,8261,1
1901522,12217,1
1901524,8261,1
1901527,13688,1
1901531,12217,1
1901534,12217,1
1901540,8333,1
1901543,8296,17
1901543,14196,18
1901543,17190,28
1901543,18629,8
1901543,18630,9
1901543,18691,10
1901543,20539,19
1901543,20577,15
1901543,21437,1
1901543,21672,3
1901543,22243,27
1901543,22419,12
1901543,22451,20
1901543,22503,7
1901543,22513,5
1901543,23771,11
1901543,23772,13
1901543,23774,21
1901543,23775,25
1901543,23775,25
1901543,23777,4
1901543,23899,16
1901543,24157,2
1901543,24312,14
1901543,24395,6
1901543,25647,22
1901543,25648,23
1901543,25650,24
1901543,25652,26
1901546,21672,1
1901546,22504,4
1901546,23772,2
1901546,24157,3
1901549,8259,1
1901555,8222,13
1901555,17186,15
1901555,18629,1
1901555,18630,2
1901555,18691,12
1901555,18701,18
