bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1890776,2161,HB0001,1,Introduced,2024-11-06,"AN ACT to amend Tennessee Code Annotated, Title 4, Chapter 49 and Title 49, relative to the Education Freedom Act of 2025.","As introduced, enacts the ""Education Freedom Act of 2025."" - Amends TCA Title 4, Chapter 49 and Title 49.",0,,2025-01-28,"Assigned to s/c K-12 Subcommittee",https://legiscan.com/TN/bill/HB0001/2025,https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB0001&ga=114
1891212,2161,HB0002,1,Introduced,2024-11-06,"AN ACT to amend Tennessee Code Annotated, Title 57 and Title 67, relative to taxation.","As introduced, enacts the ""End the Grocery Tax by Closing Corporate Loopholes Act."" - Amends TCA Title 57 and Title 67.",0,,2025-03-19,"Def. to Summer Study in Finance, Ways, and Means Subcommittee",https://legiscan.com/TN/bill/HB0002/2025,https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB0002&ga=114
1890449,2161,HB0003,1,Introduced,2024-11-06,"AN ACT to amend Tennessee Code Annotated, Title 16 and Title 17, relative to the Tennessee supreme court.","As introduced, requires the expenses of the Tennessee supreme court to include each year an amount sufficient to provide the chief justice with a security detail to transport and accompany the chief justice on all official state business. - Amends TCA Title 16 and Title 17.",0,,2025-01-16,Withdrawn.,https://legiscan.com/TN/bill/HB0003/2025,https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB0003&ga=114
1890232,2161,HB0004,1,Introduced,2024-11-06,"AN ACT to amend Tennessee Code Annotated, Title 29, relative to governmental tort liability.","As introduced, increases the amount that a person may recover in an action brought against a local governmental entity under the Tennessee Governmental Tort Liability Act for claims brought on or after July 1, 2025, to $750,000 for the bodily injury or death of a person, $1.5 million for the bodily injury or death of all persons in an accident, occurrence, or act, and $250,000 for the injury or destruction of property of others. - Amends TCA Title 29.",0,,2025-04-09,"No Action Taken",https://legiscan.com/TN/bill/HB0004/2025,https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB0004&ga=114
1891648,2161,HB0005,1,Introduced,2024-11-06,"AN ACT to amend Tennessee Code Annotated, Section 29-39-102, relative to civil damage awards.","As introduced, increases the amount of compensation an injured plaintiff in a civil action may receive for noneconomic damages from $750,000 to $1.5 million; increases the amount of compensation an injured plaintiff in a civil action may receive for noneconomic damages, if the injury or loss is catastrophic in nature, from $1 million to $2 million. - Amends TCA Section 29-39-102.",3430,"House Health",2025-04-09,"Sponsor(s) Added.",https://legiscan.com/TN/bill/HB0005/2025,https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB0005&ga=114
1891539,2161,HB0006,4,Passed,2025-04-29,"AN ACT to amend Tennessee Code Annotated, Title 49, Chapter 6, relative to early childhood education.","As enacted, authorizes LEAs to enroll LEAs' employees' children into the voluntary pre-kindergarten program if space is available after enrollment of at-risk children; authorizes LEAs to charge the employee tuition and fees for such enrollment. - Amends TCA Title 49, Chapter 6.",0,,2025-04-29,"Comp. became Pub. Ch. 225",https://legiscan.com/TN/bill/HB0006/2025,https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB0006&ga=114
1890885,2161,HB0007,1,Introduced,2024-11-07,"AN ACT to amend Tennessee Code Annotated, Title 49, relative to a hunger-free campus grant program.","As introduced, establishes the hunger-free campus grant program; provides grants to higher education institutions to address student hunger. - Amends TCA Title 49.",2943,"House Finance, Ways & Means Subcommittee",2025-04-15,"Sponsor(s) Added.",https://legiscan.com/TN/bill/HB0007/2025,https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB0007&ga=114
1890667,2161,HB0008,1,Introduced,2024-11-12,"AN ACT to amend Tennessee Code Annotated, Title 4; Title 38 and Section 49-7-118, relative to commissioned police officers on college and university campuses.","As introduced, requires an annual training pay bonus supplement for eligible campus police officers and public safety officers in the amount of $800. - Amends TCA Title 4; Title 38 and Section 49-7-118.",2943,"House Finance, Ways & Means Subcommittee",2025-04-09,"Placed on s/c cal Finance, Ways, and Means Subcommittee for 4/14/2025",https://legiscan.com/TN/bill/HB0008/2025,https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB0008&ga=114
1891321,2161,HB0009,6,Failed,2025-03-25,"AN ACT to amend Tennessee Code Annotated, Title 49, Chapter 3, relative to the Tennessee investment in student achievement formula.","As introduced, revises the weighted allocations generated by a student for purposes of the TISA based on the number of student members of the LEA in which the student resides; establishes a $50 direct allocation for each student member of each LEA to assist each LEA with maintenance and infrastructure. - Amends TCA Title 49, Chapter 3.",0,,2025-03-25,"Failed in s/c K-12 Subcommittee of Education Committee",https://legiscan.com/TN/bill/HB0009/2025,https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB0009&ga=114
1891793,2161,HB0010,6,Failed,2025-03-18,"AN ACT to amend Tennessee Code Annotated, Title 4; Title 7; Title 38; Title 39; Title 55 and Title 67, relative to illegal immigration.","As introduced, requires a law enforcement agency in custody of an individual unlawfully present in the United States to request an immigration detainer and detain such individual for the maximum period as specified in the detainer; requires such agency to transport such individuals not taken into federal custody to a sanctuary city; requires department of revenue to request reimbursement for costs of detention and transportation of illegal aliens and to withhold federal petroleum taxes collected in this state if such reimbursement is not received. - Amends TCA Title 4; Title 7; Title 38; Title 39; Title 55 and Title 67.",0,,2025-03-18,"Failed in s/c Departments & Agencies Subcommittee of State & Local Government Committee",https://legiscan.com/TN/bill/HB0010/2025,https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB0010&ga=114
