bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1890776,3026495,text,132572,application/pdf,Draft,https://legiscan.com/TN/text/HB0001/id/3026495,https://www.capitol.tn.gov/Bills/114/Bill/HB0001.pdf
1891212,3026811,text,12210,application/pdf,Draft,https://legiscan.com/TN/text/HB0002/id/3026811,https://www.capitol.tn.gov/Bills/114/Bill/HB0002.pdf
1890449,3026286,text,7872,application/pdf,Draft,https://legiscan.com/TN/text/HB0003/id/3026286,https://www.capitol.tn.gov/Bills/114/Bill/HB0003.pdf
1890449,3028650,text,7886,application/pdf,Draft,https://legiscan.com/TN/text/HB0003/id/3028650,https://www.capitol.tn.gov/Bills/114/Bill/HB0003.pdf
1890232,3026152,text,8248,application/pdf,Draft,https://legiscan.com/TN/text/HB0004/id/3026152,https://www.capitol.tn.gov/Bills/114/Bill/HB0004.pdf
1890232,3086257,text,8265,application/pdf,Draft,https://legiscan.com/TN/text/HB0004/id/3086257,https://www.capitol.tn.gov/Bills/114/Bill/HB0004.pdf
1890232,3187506,text,8265,application/pdf,Draft,https://legiscan.com/TN/text/HB0004/id/3187506,https://www.capitol.tn.gov/Bills/114/Bill/HB0004.pdf
1891648,3027137,text,8430,application/pdf,Draft,https://legiscan.com/TN/text/HB0005/id/3027137,https://www.capitol.tn.gov/Bills/114/Bill/HB0005.pdf
1891648,3085419,text,8442,application/pdf,Draft,https://legiscan.com/TN/text/HB0005/id/3085419,https://www.capitol.tn.gov/Bills/114/Bill/HB0005.pdf
1891648,3153614,text,8438,application/pdf,Draft,https://legiscan.com/TN/text/HB0005/id/3153614,https://www.capitol.tn.gov/Bills/114/Bill/HB0005.pdf
1891539,3027056,text,62421,application/pdf,Draft,https://legiscan.com/TN/text/HB0006/id/3027056,https://www.capitol.tn.gov/Bills/114/Bill/HB0006.pdf
1891539,3098151,text,62248,application/pdf,Draft,https://legiscan.com/TN/text/HB0006/id/3098151,https://www.capitol.tn.gov/Bills/114/Bill/HB0006.pdf
1891539,3227665,text,75407,application/pdf,Chaptered,https://legiscan.com/TN/text/HB0006/id/3227665,https://publications.tnsosfiles.com/acts/114/pub/pc0225.pdf
1890885,3026576,text,14762,application/pdf,Draft,https://legiscan.com/TN/text/HB0007/id/3026576,https://www.capitol.tn.gov/Bills/114/Bill/HB0007.pdf
1890885,3057237,text,14774,application/pdf,Draft,https://legiscan.com/TN/text/HB0007/id/3057237,https://www.capitol.tn.gov/Bills/114/Bill/HB0007.pdf
1890667,3026424,text,9020,application/pdf,Draft,https://legiscan.com/TN/text/HB0008/id/3026424,https://www.capitol.tn.gov/Bills/114/Bill/HB0008.pdf
1890667,3089067,text,9018,application/pdf,Draft,https://legiscan.com/TN/text/HB0008/id/3089067,https://www.capitol.tn.gov/Bills/114/Bill/HB0008.pdf
1891321,3026892,text,10523,application/pdf,Draft,https://legiscan.com/TN/text/HB0009/id/3026892,https://www.capitol.tn.gov/Bills/114/Bill/HB0009.pdf
1891321,3085499,text,10538,application/pdf,Draft,https://legiscan.com/TN/text/HB0009/id/3085499,https://www.capitol.tn.gov/Bills/114/Bill/HB0009.pdf
1891793,3027287,text,12074,application/pdf,Draft,https://legiscan.com/TN/text/HB0010/id/3027287,https://www.capitol.tn.gov/Bills/114/Bill/HB0010.pdf
1891793,3028764,text,12079,application/pdf,Draft,https://legiscan.com/TN/text/HB0010/id/3028764,https://www.capitol.tn.gov/Bills/114/Bill/HB0010.pdf
1891968,3027540,text,10473,application/pdf,Draft,https://legiscan.com/TN/text/HB0011/id/3027540,https://www.capitol.tn.gov/Bills/114/Bill/HB0011.pdf
1891968,3028532,text,10481,application/pdf,Draft,https://legiscan.com/TN/text/HB0011/id/3028532,https://www.capitol.tn.gov/Bills/114/Bill/HB0011.pdf
1892082,3027678,text,8909,application/pdf,Draft,https://legiscan.com/TN/text/HB0012/id/3027678,https://www.capitol.tn.gov/Bills/114/Bill/HB0012.pdf
1892082,3055479,text,8912,application/pdf,Draft,https://legiscan.com/TN/text/HB0012/id/3055479,https://www.capitol.tn.gov/Bills/114/Bill/HB0012.pdf
1892404,3028440,text,12028,application/pdf,Draft,https://legiscan.com/TN/text/HB0013/id/3028440,https://www.capitol.tn.gov/Bills/114/Bill/HB0013.pdf
1892404,3030167,text,12037,application/pdf,Draft,https://legiscan.com/TN/text/HB0013/id/3030167,https://www.capitol.tn.gov/Bills/114/Bill/HB0013.pdf
1892449,3028487,text,8260,application/pdf,Draft,https://legiscan.com/TN/text/HB0014/id/3028487,https://www.capitol.tn.gov/Bills/114/Bill/HB0014.pdf
1892426,3028472,text,8270,application/pdf,Draft,https://legiscan.com/TN/text/HB0015/id/3028472,https://www.capitol.tn.gov/Bills/114/Bill/HB0015.pdf
1892426,3089056,text,8296,application/pdf,Draft,https://legiscan.com/TN/text/HB0015/id/3089056,https://www.capitol.tn.gov/Bills/114/Bill/HB0015.pdf
1892816,3028799,text,12531,application/pdf,Draft,https://legiscan.com/TN/text/HB0016/id/3028799,https://www.capitol.tn.gov/Bills/114/Bill/HB0016.pdf
1892816,3055472,text,12551,application/pdf,Draft,https://legiscan.com/TN/text/HB0016/id/3055472,https://www.capitol.tn.gov/Bills/114/Bill/HB0016.pdf
1893062,3029108,text,51435,application/pdf,Draft,https://legiscan.com/TN/text/HB0017/id/3029108,https://www.capitol.tn.gov/Bills/114/Bill/HB0017.pdf
1893071,3029116,text,17692,application/pdf,Draft,https://legiscan.com/TN/text/HB0018/id/3029116,https://www.capitol.tn.gov/Bills/114/Bill/HB0018.pdf
1893071,3057106,text,17710,application/pdf,Draft,https://legiscan.com/TN/text/HB0018/id/3057106,https://www.capitol.tn.gov/Bills/114/Bill/HB0018.pdf
1893303,3029524,text,24020,application/pdf,Draft,https://legiscan.com/TN/text/HB0019/id/3029524,https://www.capitol.tn.gov/Bills/114/Bill/HB0019.pdf
1894322,3030013,text,7837,application/pdf,Draft,https://legiscan.com/TN/text/HB0020/id/3030013,https://www.capitol.tn.gov/Bills/114/Bill/HB0020.pdf
1894322,3077399,text,7851,application/pdf,Draft,https://legiscan.com/TN/text/HB0020/id/3077399,https://www.capitol.tn.gov/Bills/114/Bill/HB0020.pdf
1894322,3233172,text,43941,application/pdf,Chaptered,https://legiscan.com/TN/text/HB0020/id/3233172,https://publications.tnsosfiles.com/acts/114/pub/pc0331.pdf
1894732,3030500,text,12403,application/pdf,Draft,https://legiscan.com/TN/text/HB0021/id/3030500,https://www.capitol.tn.gov/Bills/114/Bill/HB0021.pdf
1894732,3106385,text,12395,application/pdf,Draft,https://legiscan.com/TN/text/HB0021/id/3106385,https://www.capitol.tn.gov/Bills/114/Bill/HB0021.pdf
1894784,3030539,text,8173,application/pdf,Draft,https://legiscan.com/TN/text/HB0022/id/3030539,https://www.capitol.tn.gov/Bills/114/Bill/HB0022.pdf
1894784,3057999,text,8180,application/pdf,Draft,https://legiscan.com/TN/text/HB0022/id/3057999,https://www.capitol.tn.gov/Bills/114/Bill/HB0022.pdf
1894759,3030520,text,7913,application/pdf,Draft,https://legiscan.com/TN/text/HB0023/id/3030520,https://www.capitol.tn.gov/Bills/114/Bill/HB0023.pdf
1894759,3057187,text,7925,application/pdf,Draft,https://legiscan.com/TN/text/HB0023/id/3057187,https://www.capitol.tn.gov/Bills/114/Bill/HB0023.pdf
1894759,3222844,text,45942,application/pdf,Chaptered,https://legiscan.com/TN/text/HB0023/id/3222844,https://publications.tnsosfiles.com/acts/114/pub/pc0187.pdf
1894814,3030610,text,16369,application/pdf,Draft,https://legiscan.com/TN/text/HB0024/id/3030610,https://www.capitol.tn.gov/Bills/114/Bill/HB0024.pdf
1894814,3032627,text,16381,application/pdf,Draft,https://legiscan.com/TN/text/HB0024/id/3032627,https://www.capitol.tn.gov/Bills/114/Bill/HB0024.pdf
1894814,3237653,text,65078,application/pdf,Chaptered,https://legiscan.com/TN/text/HB0024/id/3237653,https://publications.tnsosfiles.com/acts/114/pub/pc0407.pdf
1894932,3030784,text,15575,application/pdf,Draft,https://legiscan.com/TN/text/HB0025/id/3030784,https://www.capitol.tn.gov/Bills/114/Bill/HB0025.pdf
1894932,3033894,text,15578,application/pdf,Draft,https://legiscan.com/TN/text/HB0025/id/3033894,https://www.capitol.tn.gov/Bills/114/Bill/HB0025.pdf
1894932,3054698,text,15580,application/pdf,Draft,https://legiscan.com/TN/text/HB0025/id/3054698,https://www.capitol.tn.gov/Bills/114/Bill/HB0025.pdf
1894966,3031114,text,65011,application/pdf,Draft,https://legiscan.com/TN/text/HB0026/id/3031114,https://www.capitol.tn.gov/Bills/114/Bill/HB0026.pdf
1894966,3057979,text,65585,application/pdf,Draft,https://legiscan.com/TN/text/HB0026/id/3057979,https://www.capitol.tn.gov/Bills/114/Bill/HB0026.pdf
1895058,3031181,text,21667,application/pdf,Draft,https://legiscan.com/TN/text/HB0027/id/3031181,https://www.capitol.tn.gov/Bills/114/Bill/HB0027.pdf
1895058,3057997,text,21660,application/pdf,Draft,https://legiscan.com/TN/text/HB0027/id/3057997,https://www.capitol.tn.gov/Bills/114/Bill/HB0027.pdf
1895756,3031900,text,8523,application/pdf,Draft,https://legiscan.com/TN/text/HB0028/id/3031900,https://www.capitol.tn.gov/Bills/114/Bill/HB0028.pdf
1895756,3077465,text,8543,application/pdf,Draft,https://legiscan.com/TN/text/HB0028/id/3077465,https://www.capitol.tn.gov/Bills/114/Bill/HB0028.pdf
1895884,3032210,text,11546,application/pdf,Draft,https://legiscan.com/TN/text/HB0029/id/3032210,https://www.capitol.tn.gov/Bills/114/Bill/HB0029.pdf
1895884,3065705,text,11572,application/pdf,Draft,https://legiscan.com/TN/text/HB0029/id/3065705,https://www.capitol.tn.gov/Bills/114/Bill/HB0029.pdf
1895863,3032207,text,10039,application/pdf,Draft,https://legiscan.com/TN/text/HB0030/id/3032207,https://www.capitol.tn.gov/Bills/114/Bill/HB0030.pdf
1895863,3104844,text,10054,application/pdf,Draft,https://legiscan.com/TN/text/HB0030/id/3104844,https://www.capitol.tn.gov/Bills/114/Bill/HB0030.pdf
1895874,3032209,text,8136,application/pdf,Draft,https://legiscan.com/TN/text/HB0031/id/3032209,https://www.capitol.tn.gov/Bills/114/Bill/HB0031.pdf
1896010,3032345,text,14067,application/pdf,Draft,https://legiscan.com/TN/text/HB0032/id/3032345,https://www.capitol.tn.gov/Bills/114/Bill/HB0032.pdf
1895982,3032318,text,8685,application/pdf,Draft,https://legiscan.com/TN/text/HB0033/id/3032318,https://www.capitol.tn.gov/Bills/114/Bill/HB0033.pdf
1895982,3061720,text,8692,application/pdf,Draft,https://legiscan.com/TN/text/HB0033/id/3061720,https://www.capitol.tn.gov/Bills/114/Bill/HB0033.pdf
1895996,3032332,text,10397,application/pdf,Draft,https://legiscan.com/TN/text/HB0034/id/3032332,https://www.capitol.tn.gov/Bills/114/Bill/HB0034.pdf
1895996,3061594,text,10404,application/pdf,Draft,https://legiscan.com/TN/text/HB0034/id/3061594,https://www.capitol.tn.gov/Bills/114/Bill/HB0034.pdf
1895996,3238911,text,74017,application/pdf,Chaptered,https://legiscan.com/TN/text/HB0034/id/3238911,https://publications.tnsosfiles.com/acts/114/pub/pc0414.pdf
1896254,3032709,text,11703,application/pdf,Draft,https://legiscan.com/TN/text/HB0035/id/3032709,https://www.capitol.tn.gov/Bills/114/Bill/HB0035.pdf
1896254,3100186,text,11725,application/pdf,Draft,https://legiscan.com/TN/text/HB0035/id/3100186,https://www.capitol.tn.gov/Bills/114/Bill/HB0035.pdf
1896254,3233925,text,100478,application/pdf,Chaptered,https://legiscan.com/TN/text/HB0035/id/3233925,https://publications.tnsosfiles.com/acts/114/pub/pc0332.pdf
1897006,3033793,text,10522,application/pdf,Draft,https://legiscan.com/TN/text/HB0036/id/3033793,https://www.capitol.tn.gov/Bills/114/Bill/HB0036.pdf
1897006,3057981,text,10538,application/pdf,Draft,https://legiscan.com/TN/text/HB0036/id/3057981,https://www.capitol.tn.gov/Bills/114/Bill/HB0036.pdf
1896969,3033764,text,12611,application/pdf,Draft,https://legiscan.com/TN/text/HB0037/id/3033764,https://www.capitol.tn.gov/Bills/114/Bill/HB0037.pdf
1896969,3087044,text,12620,application/pdf,Draft,https://legiscan.com/TN/text/HB0037/id/3087044,https://www.capitol.tn.gov/Bills/114/Bill/HB0037.pdf
1896969,3223724,text,72153,application/pdf,Chaptered,https://legiscan.com/TN/text/HB0037/id/3223724,https://publications.tnsosfiles.com/acts/114/pub/pc0278.pdf
1897064,3033859,text,9052,application/pdf,Draft,https://legiscan.com/TN/text/HB0038/id/3033859,https://www.capitol.tn.gov/Bills/114/Bill/HB0038.pdf
1897064,3061611,text,9873,application/pdf,Draft,https://legiscan.com/TN/text/HB0038/id/3061611,https://www.capitol.tn.gov/Bills/114/Bill/HB0038.pdf
1897175,3033939,text,10425,application/pdf,Draft,https://legiscan.com/TN/text/HB0039/id/3033939,https://www.capitol.tn.gov/Bills/114/Bill/HB0039.pdf
1897175,3057113,text,10444,application/pdf,Draft,https://legiscan.com/TN/text/HB0039/id/3057113,https://www.capitol.tn.gov/Bills/114/Bill/HB0039.pdf
