bill_id,date,chamber,sequence,action
1890232,2024-11-06,House,1,"Filed for introduction"
1890232,2025-01-14,House,2,"Intro., P1C."
1890232,2025-01-15,House,3,"P2C held on desk, pending appointment of Standing Committees"
1890232,2025-01-16,House,4,"Ref. to Judiciary Committee"
1890232,2025-01-28,House,5,"Assigned to s/c Civil Justice Subcommittee"
1890232,2025-02-05,House,6,"Placed on s/c cal Civil Justice Subcommittee for 2/12/2025"
1890232,2025-02-12,House,7,"Action Def. in s/c Civil Justice Subcommittee to 2/26/2025"
1890232,2025-02-19,House,8,"Placed on s/c cal Civil Justice Subcommittee for 2/26/2025"
1890232,2025-02-26,House,9,"Action Def. in s/c Civil Justice Subcommittee to 3/5/2025"
1890232,2025-02-26,House,10,"Placed on s/c cal Civil Justice Subcommittee for 3/5/2025"
1890232,2025-03-05,House,11,"Rec for pass if am by s/c ref. to Judiciary Committee"
1890232,2025-03-05,House,12,"Placed on cal. Judiciary Committee for 3/12/2025"
1890232,2025-03-12,House,13,"Action def. in Judiciary Committee to 3/19/2025"
1890232,2025-03-12,House,14,"Placed on cal. Judiciary Committee for 3/19/2025"
1890232,2025-03-19,House,15,"Action def. in Judiciary Committee to 3/26/2025"
1890232,2025-03-19,House,16,"Placed on cal. Judiciary Committee for 3/26/2025"
1890232,2025-03-26,House,17,"Action def. in Judiciary Committee to 4/02/2025"
1890232,2025-03-26,House,18,"Placed on cal. Judiciary Committee for 4/2/2025"
1890232,2025-04-02,House,19,"Action def. in Judiciary Committee to 4/9/2025"
1890232,2025-04-02,House,20,"Placed on cal. Judiciary Committee for 4/9/2025"
1890232,2025-04-09,House,21,"No Action Taken"
1890340,2024-11-06,Senate,1,"Filed for introduction"
1890340,2024-11-08,Senate,2,"Sponsor(s) Added."
1890340,2024-11-18,Senate,3,"Sponsor(s) Added."
1890340,2024-11-19,Senate,4,"Sponsor(s) Added."
1890340,2024-11-21,Senate,5,"Sponsor(s) Added."
1890340,2024-12-02,Senate,6,"Sponsor(s) Added."
1890340,2024-12-16,Senate,7,"Sponsor(s) Added."
1890340,2025-01-14,Senate,8,"Introduced, Passed on First Consideration"
1890340,2025-01-15,Senate,9,"Passed on Second Consideration, refer to Senate Judiciary Committee"
1890340,2025-02-11,Senate,10,"Sponsor(s) Added."
1890340,2025-02-13,Senate,11,"Sponsor(s) Added."
1890340,2025-02-19,Senate,12,"Placed on Senate Judiciary Committee calendar for 2/25/2025"
1890340,2025-02-20,Senate,13,"Sponsor(s) Added."
1890340,2025-02-21,Senate,14,"Sponsor(s) Added."
1890340,2025-02-24,Senate,15,"Sponsor(s) Added."
1890340,2025-02-25,Senate,16,"Recommended for adoption by Senate Judiciary Committee, refer Senate Calendar Committee"
1890340,2025-02-27,Senate,17,"Sponsor(s) Added."
1890340,2025-03-05,Senate,18,"Recalled from Senate Calendar Committee"
1890340,2025-03-05,Senate,19,"Refer to Senate Finance, Ways & Means Committee"
