people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
7170,"G.A. Hardaway",G.A.,,Hardaway,Sr.,,1,D,1,Rep,HD-093,6494843,70007,,G.A._Hardaway,254536,0
7178,"Timothy Hill",Timothy,,Hill,,,2,R,1,Rep,HD-003,6689045,125373,,Timothy_Hill,251572,0
7186,"David Hawk",David,B.,Hawk,,,2,R,1,Rep,HD-005,6646041,49150,,David_Hawk,212527,0
7188,"Johnny Shaw",Johnny,W.,Shaw,,,1,D,1,Rep,HD-080,13006761,48857,,Johnny_Shaw,205569,0
7195,"Jon Lundberg",Jon,C.,Lundberg,,,2,R,2,Sen,SD-004,6144047,66051,,Jon_Lundberg,249269,0
7202,"Joseph Hensley",Joseph,,Hensley,,Joey,2,R,2,Sen,SD-028,6607468,48811,,Joey_Hensley,212528,0
7205,"Pat Marsh",Pat,,Marsh,,,2,R,1,Rep,HD-062,6689158,116508,,Pat_Marsh,281958,0
7214,"Susan Lynn",Susan,,Lynn,,,2,R,1,Rep,HD-057,6607561,48869,,Susan_Lynn,212508,0
7240,"Frank Niceley",Frank,S.,Niceley,,,2,R,2,Sen,SD-008,6658949,48702,,Frank_Niceley,227000,0
7242,"Karen Camper",Karen,D.,Camper,,,1,D,1,Rep,HD-087,6494807,104685,,Karen_Camper,263915,0
7259,"Larry Miller",Larry,J.,Miller,,,1,D,1,Rep,HD-088,6402789,24460,,Larry_Miller_(Tennessee_representative),199084,0
7265,"Joe Towns",Joe,E.,Towns,Jr.,,1,D,1,Rep,HD-084,6402945,24457,,Joe_Towns_Jr.,199080,0
7269,"Mark White",Mark,,White,,,2,R,1,Rep,HD-083,6658998,48823,,Mark_White_(Tennessee),283725,0
7270,"Bo Watson",Bo,,Watson,,,2,R,2,Sen,SD-011,13006679,48696,,Bo_Watson,227014,0
7271,"Ken Yager",Ken,,Yager,,,2,R,2,Sen,SD-012,6678128,104797,,Ken_Yager,268607,0
7273,"Randy McNally",Randy,,McNally,,,2,R,2,Sen,SD-005,6607616,24356,,Randy_McNally,198966,0
7282,"Rusty Crowe",Rusty,,Crowe,,,2,R,2,Sen,SD-003,6607266,24342,,Rusty_Crowe,198964,0
7292,"Steve Southerland",Steve,,Southerland,,,2,R,2,Sen,SD-009,6607751,48766,,Steve_Southerland_(Tennessee),212532,0
7298,"Jack Johnson",Jack,,Johnson,,,2,R,2,Sen,SD-027,6669848,67802,,Jack_Johnson,249316,0
10589,"Ferrell Haile",Ferrell,,Haile,,,2,R,2,Sen,SD-018,6646035,49009,,Ferrell_Haile,313072,0
10934,"Cameron Sexton",Cameron,,Sexton,,,2,R,1,Rep,HD-025,6689081,125418,,Cameron_Sexton,292798,0
12069,"Kelly Keisling",Kelly,,Keisling,,,2,R,1,Rep,HD-038,6689103,125428,,Kelly_Keisling,290527,0
12100,"Mike Sparks",Mike,,Sparks,,,2,R,1,Rep,HD-049,6689129,99698,,Mike_Sparks_(Tennessee),292816,0
12112,"Jeremy Faison",Jeremy,,Faison,,,2,R,1,Rep,HD-011,6689072,125397,,Jeremy_Faison,292794,0
12113,"Ryan Williams",Ryan,,Williams,,,2,R,1,Rep,HD-042,6689117,113713,,Ryan_Williams_(Tennessee),292813,0
12227,"Art Swann",Art,,Swann,,,2,R,2,Sen,SD-002,6689061,125390,,Art_Swann,292787,0
12238,"Mark Pody",Mark,,Pody,,,2,R,2,Sen,SD-017,13006712,125439,,Mark_Pody,290530,0
12246,"Dennis Powers",Dennis,,Powers,,,2,R,1,Rep,HD-036,6645850,12119,,Dennis_Powers_(Tennessee),292805,0
12345,"Antonio Parkinson",Antonio,,Parkinson,,"2 Shay",1,D,1,Rep,HD-098,6514389,128741,,Antonio_Parkinson,331599,0
12656,"Kerry Roberts",Kerry,,Roberts,,,2,R,2,Sen,SD-023,6698863,124647,,Kerry_Roberts,285147,0
13706,"Becky Massey",Becky,Duncan,Massey,,,2,R,2,Sen,SD-006,11030005,135260,,Becky_Duncan_Massey,376023,0
14455,"William Lamberth",William,G.,Lamberth,,,2,R,1,Rep,HD-044,11029833,138679,,William_Lamberth,409737,0
14457,"Ron Travis",Ron,,Travis,,,2,R,1,Rep,HD-031,11029816,138649,,Ron_Travis,409691,0
14460,"John Stevens",John,,Stevens,,,2,R,2,Sen,SD-024,9422162,139031,,John_Stevens_(Tennessee),399468,0
14809,"Gloria Johnson",Gloria,,Johnson,,,1,D,1,Rep,HD-090,11029794,138629,,Gloria_Johnson_(Tennessee),409641,0
15127,"Andrew Farmer",Andrew,E.,Farmer,,,2,R,1,Rep,HD-017,11029798,138632,,Andrew_Farmer,409646,0
15129,"Debra Moody",Debra,,Moody,,,2,R,1,Rep,HD-081,11029876,138810,,Debra_Moody,409823,0
15131,"Janince Bowling",Janince,,Bowling,,,2,R,2,Sen,SD-016,9394277,49078,,Janice_Bowling,399469,0
15132,"Todd Gardenhire",Todd,,Gardenhire,,,2,R,2,Sen,SD-010,11030008,138996,,Todd_Gardenhire,409854,0
15467,"Dawn White",Dawn,,White,,,2,R,2,Sen,SD-013,9385469,138657,,Dawn_White,409713,0
15501,"Mary Littleton",Mary,,Littleton,,,2,R,1,Rep,HD-078,17359594,138796,,Mary_Littleton,366234,0
15502,"Harold Love",Harold,M.,Love,,,1,D,1,Rep,HD-058,6451486,25301,,Harold_Love,409795,0
15503,"Bo Mitchell",Bo,,Mitchell,,,1,D,1,Rep,HD-050,6443135,80054,,Bo_Mitchell,409769,0
15504,"Jason Powell",Jason,,Powell,,,1,D,1,Rep,HD-053,2871265,65608,,Jason_Powell,409792,0
16126,"Raumesh Akbari",Raumesh,A.,Akbari,,,1,D,2,Sen,SD-029,23424804,145407,,Raumesh_Akbari,478138,0
16127,"Paul Bailey",Paul,E.,Bailey,,,2,R,2,Sen,SD-015,6607075,49079,,Paul_Bailey_(Tennessee),483071,0
16859,"Dan Howell",Dan,,Howell,,,2,R,1,Rep,HD-022,22216004,153254,,Dan_Howell,494306,0
