bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1890232,1506597,2025-03-05,House,"HOUSE CIVIL JUSTICE SUBCOMMITTEE: Rec for pass if am by s/c ref. to Judiciary Committee",5,2,1,0,8
1890340,1499827,2025-02-25,Senate,"SENATE JUDICIARY COMMITTEE: Recommended for adoption by Senate Judiciary Committee, refer Senate Calendar Committee",7,2,0,0,9
1890340,1512541,2025-03-11,Senate,"SENATE FINANCE, WAYS AND MEANS COMMITTEE: Recommended for adoption by Senate Finance, Ways, and Means Committee, refer Senate Calendar Committee",9,1,1,0,11
1890340,1527731,2025-03-26,Senate,"FLOOR VOTE: Motion to Adopt Third and Final Reading",26,5,1,0,32
1890340,1553209,2025-04-21,House,"FLOOR VOTE: REGULAR CALENDAR MOTION TO CONCUR",89,6,0,0,95
1890340,1553210,2025-04-21,House,"FLOOR VOTE: REGULAR CALENDAR PREVIOUS QUESTION MOTION TO CONCUR",59,32,0,0,91
1890558,1521857,2025-03-19,House,"HOUSE CITIES & COUNTIES SUBCOMMITTEE: Rec. for pass by s/c ref. to State & Local Government Committee",7,0,0,0,7
1890558,1528210,2025-03-26,House,"HOUSE STATE & LOCAL GOVERNMENT COMMITTEE: Rec. for pass; ref to Finance, Ways, and Means Committee",20,0,1,0,21
1890558,1541907,2025-04-09,House,"HOUSE FINANCE, WAYS, AND MEANS SUBCOMMITTEE: Rec. for pass by s/c ref. to Finance, Ways, and Means Committee",12,0,0,0,12
1890558,1547116,2025-04-14,House,"HOUSE FINANCE, WAYS, AND MEANS COMMITTEE: Rec. for pass; ref to Calendar & Rules Committee",26,0,0,0,26
1890667,1499872,2025-02-26,House,"HOUSE PUBLIC SERVICE SUBCOMMITTEE: Rec. for pass by s/c ref. to State & Local Government Committee",5,0,0,0,5
1890667,1516452,2025-03-12,House,"HOUSE STATE & LOCAL GOVERNMENT COMMITTEE: Rec. for pass; ref to Finance, Ways, and Means Committee",23,0,0,0,23
