bill_id,people_id,position
1890232,23880,1
1890340,7202,8
1890340,7270,27
1890340,7271,16
1890340,7273,26
1890340,7282,21
1890340,7292,22
1890340,7298,5
1890340,10589,1
1890340,12238,9
1890340,12656,12
1890340,13706,11
1890340,14460,10
1890340,15131,19
1890340,15132,17
1890340,15467,7
1890340,16127,4
1890340,17140,6
1890340,17913,25
1890340,19609,20
1890340,21328,13
1890340,21356,18
1890340,21777,3
1890340,23362,23
1890340,24390,2
1890340,25247,14
1890340,25248,24
1890340,25249,15
1890449,23880,1
1890558,7186,24
1890558,7269,2
1890558,12246,7
1890558,15129,19
1890558,15501,22
1890558,16862,15
1890558,16865,23
1890558,18642,26
1890558,19504,13
1890558,20336,8
1890558,20340,20
1890558,20343,3
1890558,20346,25
1890558,20352,21
1890558,20353,11
1890558,20594,18
1890558,21697,1
1890558,22856,12
1890558,23124,5
1890558,23187,16
1890558,23378,10
1890558,23881,17
1890558,24116,6
1890558,24117,4
1890558,24119,14
1890558,25241,9
1890667,14455,3
1890667,18647,2
1890667,23881,1
1890776,7269,2
1890776,14455,1
1890776,20161,8
1890776,23187,5
1890776,23616,3
1890776,23880,7
1890776,25241,4
1890776,25242,6
1890885,7178,6
1890885,14809,4
1890885,20346,2
1890885,22242,5
1890885,23881,1
1890885,24997,3
1890994,22266,2
1890994,24391,1
1891103,12100,10
1891103,15129,3
1891103,16862,1
1891103,18647,6
1891103,20353,2
1891103,22960,5
1891103,23185,8
1891103,23186,11
1891103,23187,9
1891103,24997,4
1891103,25241,7
1891212,14809,4
1891212,16867,5
1891212,24997,1
1891212,25239,3
1891212,25244,2
1891321,12069,13
1891321,16862,12
1891321,18644,11
1891321,18647,4
1891321,20340,6
1891321,20345,2
1891321,20348,3
1891321,21500,15
1891321,21697,9
1891321,23185,5
1891321,23378,7
1891321,23881,1
1891321,24115,10
1891321,24186,8
1891321,25238,14
1891430,7298,1
1891539,23881,1
1891648,12069,5
1891648,14455,2
1891648,15501,3
1891648,20340,7
1891648,20354,4
1891648,20594,6
1891648,22856,8
1891648,23880,1
1891648,24117,9
1891770,16126,1
1891793,12069,3
1891793,21716,1
1891793,23186,2
1891793,25243,4
1891968,20161,1
1892082,16867,1
1892111,16867,1
1892404,20161,1
1892422,21328,1
1892426,12345,2
1892426,15502,1
1892426,20341,3
1892437,7202,1
1892449,15502,1
1892449,25239,2
1892449,25244,3
1892458,7202,1
1892496,7202,7
1892496,7270,15
1892496,7292,12
1892496,7298,8
1892496,12238,1
1892496,14460,13
1892496,15131,3
1892496,15132,4
1892496,15467,16
1892496,16127,2
1892496,19609,10
1892496,21328,11
1892496,23362,14
1892496,24390,9
1892496,25247,5
1892496,25248,6
1892538,16862,1
1892816,16867,1
1893062,20335,1
1893071,20335,1
1893265,24997,1
1893303,20335,1
1893328,24390,1
1893336,24390,1
1894311,16127,1
1894322,16862,1
1894322,20594,2
1894322,23186,3
1894528,7202,1
1894732,14455,2
1894732,16861,7
1894732,20161,4
1894732,20353,6
1894732,21716,9
1894732,22960,8
1894732,23186,3
1894732,24115,5
1894732,24117,1
