bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
2041878,2223,HB1,4,Passed,2025-09-05,"Relating to youth camp emergency plans and preparedness; authorizing penalties.","Relating to youth camp emergency plans and preparedness; authorizing penalties.",0,,2025-09-05,"Effective immediately",https://legiscan.com/TX/bill/HB1/2025/X2,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=892&Bill=HB1
2042074,2223,HB2,1,Introduced,2025-08-15,"Relating to disaster preparedness, response, and recovery, including required training for justices of the peace and responding to mass fatality events; requiring a license; authorizing fees.","Relating to disaster preparedness, response, and recovery, including required training for justices of the peace and responding to mass fatality events; requiring a license; authorizing fees.",0,,2025-08-21,"Laid on the table subject to call",https://legiscan.com/TX/bill/HB2/2025/X2,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=892&Bill=HB2
2042089,2223,HB3,2,Engrossed,2025-08-21,"Relating to the interoperability of emergency communication equipment and infrastructure in this state, including the creation and operation of the Texas Interoperability Council, a grant program administered by the council, and the purchase of certain public safety radio communication systems.","Relating to the interoperability of emergency communication equipment and infrastructure in this state, including the creation and operation of the Texas Interoperability Council, a grant program administered by the council, and the purchase of certain public safety radio communication systems.",5222,"Senate Disaster Preparedness & Flooding, Select",2025-08-27,"Meeting cancelled",https://legiscan.com/TX/bill/HB3/2025/X2,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=892&Bill=HB3
2041876,2223,HB4,4,Passed,2025-08-29,"Relating to the composition of the districts for the election of members of the United States House of Representatives from the State of Texas.","Relating to the composition of the districts for the election of members of the United States House of Representatives from the State of Texas.",0,,2025-08-29,"Signed by the Governor",https://legiscan.com/TX/bill/HB4/2025/X2,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=892&Bill=HB4
2042101,2223,HB5,1,Introduced,2025-08-16,"Relating to making supplemental appropriations for disaster relief and giving direction and adjustment authority regarding those appropriations.","Relating to making supplemental appropriations for disaster relief and giving direction and adjustment authority regarding those appropriations.",0,,2025-08-21,"Laid on the table subject to call",https://legiscan.com/TX/bill/HB5/2025/X2,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=892&Bill=HB5
2042001,2223,HB6,1,Introduced,2025-08-15,"Relating to the regulation of certain products derived from hemp, including consumable hemp products and the hemp-derived cannabinoids contained in those products; requiring occupational licenses and registrations; imposing fees; creating criminal offenses; authorizing an administrative penalty.","Relating to the regulation of certain products derived from hemp, including consumable hemp products and the hemp-derived cannabinoids contained in those products; requiring occupational licenses and registrations; imposing fees; creating criminal offenses; authorizing an administrative penalty.",1892,"House Public Health",2025-08-18,"Referred to Public Health",https://legiscan.com/TX/bill/HB6/2025/X2,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=892&Bill=HB6
2042430,2223,HB7,3,Enrolled,2025-09-03,"Relating to prohibitions on the manufacture and provision of abortion-inducing drugs, including the jurisdiction of and effect of certain judgments by courts within and outside this state with respect to the manufacture and provision of those drugs, and to protections from certain counteractions under the laws of other states and jurisdictions; authorizing qui tam actions.","Relating to prohibitions on the manufacture and provision of abortion-inducing drugs, including the jurisdiction of and effect of certain judgments by courts within and outside this state with respect to the manufacture and provision of those drugs, and to protections from certain counteractions under the laws of other states and jurisdictions; authorizing qui tam actions.",0,,2025-09-04,"Sent to the Governor",https://legiscan.com/TX/bill/HB7/2025/X2,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=892&Bill=HB7
2041871,2223,HB8,2,Engrossed,2025-08-26,"Relating to public school accountability and transparency, including the implementation of an instructionally supportive assessment program and the adoption and administration of assessment instruments in public schools, indicators of achievement, public school performance ratings, and interventions and sanctions under the public school accountability system, a grant program for school district local accountability plans, and actions challenging Texas Education Agency decisions related to public school accountability.","Relating to public school accountability and transparency, including the implementation of an instructionally supportive assessment program and the adoption and administration of assessment instruments in public schools, indicators of achievement, public school performance ratings, and interventions and sanctions under the public school accountability system, a grant program for school district local accountability plans, and actions challenging Texas Education Agency decisions related to public school accountability.",0,,2025-08-28,"Senate Amendments Analysis distributed",https://legiscan.com/TX/bill/HB8/2025/X2,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=892&Bill=HB8
2041864,2223,HB9,1,Introduced,2025-08-15,"Relating to the calculation of the voter-approval tax rate for certain taxing units.","Relating to the calculation of the voter-approval tax rate for certain taxing units.",1901,"House Ways & Means",2025-08-18,"Referred to Ways & Means",https://legiscan.com/TX/bill/HB9/2025/X2,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=892&Bill=HB9
2041859,2223,HB10,1,Introduced,2025-08-15,"Relating to an affirmative defense to prosecution for certain victims of trafficking of persons or compelling prostitution.","Relating to an affirmative defense to prosecution for certain victims of trafficking of persons or compelling prostitution.",1870,"House Criminal Jurisprudence",2025-08-18,"Referred to Criminal Jurisprudence",https://legiscan.com/TX/bill/HB10/2025/X2,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=892&Bill=HB10
