bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
2041878,3265128,text,37948,text/html,Introduced,https://legiscan.com/TX/text/HB1/id/3265128,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00001I.htm
2041878,3265515,text,37983,text/html,"Comm Sub",https://legiscan.com/TX/text/HB1/id/3265515,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00001H.htm
2041878,3267060,text,85323,text/html,"Comm Sub",https://legiscan.com/TX/text/HB1/id/3267060,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00001S.htm
2041878,3265999,text,115127,text/html,Engrossed,https://legiscan.com/TX/text/HB1/id/3265999,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00001E.htm
2041878,3267455,text,88206,text/html,Enrolled,https://legiscan.com/TX/text/HB1/id/3267455,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00001F.htm
2042074,3265231,text,119287,text/html,Introduced,https://legiscan.com/TX/text/HB2/id/3265231,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00002I.htm
2042074,3265517,text,119287,text/html,"Comm Sub",https://legiscan.com/TX/text/HB2/id/3265517,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00002H.htm
2042089,3265245,text,107058,text/html,Introduced,https://legiscan.com/TX/text/HB3/id/3265245,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00003I.htm
2042089,3265514,text,107058,text/html,"Comm Sub",https://legiscan.com/TX/text/HB3/id/3265514,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00003H.htm
2042089,3265998,text,110337,text/html,Engrossed,https://legiscan.com/TX/text/HB3/id/3265998,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00003E.htm
2041876,3265127,text,13517,text/html,Introduced,https://legiscan.com/TX/text/HB4/id/3265127,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00004I.htm
2041876,3265519,text,14395,text/html,"Comm Sub",https://legiscan.com/TX/text/HB4/id/3265519,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00004H.htm
2041876,3265994,text,1635,text/html,"Comm Sub",https://legiscan.com/TX/text/HB4/id/3265994,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00004S.htm
2041876,3265849,text,1257215,text/html,Engrossed,https://legiscan.com/TX/text/HB4/id/3265849,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00004E.htm
2041876,3266202,text,1261849,text/html,Enrolled,https://legiscan.com/TX/text/HB4/id/3266202,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00004F.htm
2042101,3265362,text,23955,text/html,Introduced,https://legiscan.com/TX/text/HB5/id/3265362,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00005I.htm
2042101,3265553,text,23963,text/html,"Comm Sub",https://legiscan.com/TX/text/HB5/id/3265553,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00005H.htm
2042001,3265183,text,176007,text/html,Introduced,https://legiscan.com/TX/text/HB6/id/3265183,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00006I.htm
2042430,3265995,text,134247,text/html,Introduced,https://legiscan.com/TX/text/HB7/id/3265995,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00007I.htm
2042430,3266512,text,142651,text/html,"Comm Sub",https://legiscan.com/TX/text/HB7/id/3266512,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00007H.htm
2042430,3266758,text,141601,text/html,Engrossed,https://legiscan.com/TX/text/HB7/id/3266758,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00007E.htm
2042430,3267366,text,146447,text/html,Enrolled,https://legiscan.com/TX/text/HB7/id/3267366,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00007F.htm
2041871,3265122,text,448400,text/html,Introduced,https://legiscan.com/TX/text/HB8/id/3265122,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00008I.htm
2041871,3266150,text,448427,text/html,"Comm Sub",https://legiscan.com/TX/text/HB8/id/3266150,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00008H.htm
2041871,3266391,text,491005,text/html,Engrossed,https://legiscan.com/TX/text/HB8/id/3266391,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00008E.htm
2041864,3265119,text,41974,text/html,Introduced,https://legiscan.com/TX/text/HB9/id/3265119,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00009I.htm
2041859,3265116,text,14710,text/html,Introduced,https://legiscan.com/TX/text/HB10/id/3265116,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00010I.htm
2041968,3265173,text,14660,text/html,Introduced,https://legiscan.com/TX/text/HB12/id/3265173,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00012I.htm
2041968,3266156,text,14660,text/html,"Comm Sub",https://legiscan.com/TX/text/HB12/id/3266156,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00012H.htm
2041852,3265112,text,10503,text/html,Introduced,https://legiscan.com/TX/text/HB13/id/3265112,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00013I.htm
2042008,3265185,text,13774,text/html,Introduced,https://legiscan.com/TX/text/HB15/id/3265185,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00015I.htm
2042008,3266380,text,13924,text/html,"Comm Sub",https://legiscan.com/TX/text/HB15/id/3266380,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00015H.htm
2042008,3267018,text,15712,text/html,"Comm Sub",https://legiscan.com/TX/text/HB15/id/3267018,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00015S.htm
2042008,3266760,text,18915,text/html,Engrossed,https://legiscan.com/TX/text/HB15/id/3266760,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00015E.htm
2041875,3265126,text,852332,text/html,Introduced,https://legiscan.com/TX/text/HB16/id/3265126,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00016I.htm
2041875,3266149,text,901298,text/html,"Comm Sub",https://legiscan.com/TX/text/HB16/id/3266149,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00016H.htm
2041875,3266292,text,926833,text/html,Engrossed,https://legiscan.com/TX/text/HB16/id/3266292,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00016E.htm
2041875,3266526,text,931459,text/html,Enrolled,https://legiscan.com/TX/text/HB16/id/3266526,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00016F.htm
2041873,3265124,text,120618,text/html,Introduced,https://legiscan.com/TX/text/HB17/id/3265124,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00017I.htm
2041873,3266090,text,120618,text/html,"Comm Sub",https://legiscan.com/TX/text/HB17/id/3266090,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00017H.htm
2041873,3266286,text,120626,text/html,Engrossed,https://legiscan.com/TX/text/HB17/id/3266286,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00017E.htm
2042521,3265966,text,31939,text/html,Introduced,https://legiscan.com/TX/text/HB18/id/3265966,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00018I.htm
2042521,3266660,text,31955,text/html,"Comm Sub",https://legiscan.com/TX/text/HB18/id/3266660,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00018H.htm
2042521,3267434,text,40258,text/html,"Comm Sub",https://legiscan.com/TX/text/HB18/id/3267434,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00018S.htm
2042521,3267062,text,37918,text/html,Engrossed,https://legiscan.com/TX/text/HB18/id/3267062,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00018E.htm
2042521,3267500,text,42683,text/html,Enrolled,https://legiscan.com/TX/text/HB18/id/3267500,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00018F.htm
2042288,3265610,text,129223,text/html,Introduced,https://legiscan.com/TX/text/HB19/id/3265610,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00019I.htm
2041869,3265121,text,81836,text/html,Introduced,https://legiscan.com/TX/text/HB20/id/3265121,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00020I.htm
2041869,3265569,text,81863,text/html,"Comm Sub",https://legiscan.com/TX/text/HB20/id/3265569,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00020H.htm
2041869,3267352,text,75368,text/html,"Comm Sub",https://legiscan.com/TX/text/HB20/id/3267352,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00020S.htm
2041869,3266033,text,105118,text/html,Engrossed,https://legiscan.com/TX/text/HB20/id/3266033,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00020E.htm
2041869,3267445,text,78212,text/html,Enrolled,https://legiscan.com/TX/text/HB20/id/3267445,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00020F.htm
2042199,3265439,text,14340,text/html,Introduced,https://legiscan.com/TX/text/HB21/id/3265439,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00021I.htm
2042094,3265250,text,22298,text/html,Introduced,https://legiscan.com/TX/text/HB22/id/3265250,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00022I.htm
2042094,3265516,text,22306,text/html,"Comm Sub",https://legiscan.com/TX/text/HB22/id/3265516,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00022H.htm
2042094,3265990,text,22306,text/html,Engrossed,https://legiscan.com/TX/text/HB22/id/3265990,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00022E.htm
2041909,3265146,text,7644,text/html,Introduced,https://legiscan.com/TX/text/HB23/id/3265146,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00023I.htm
2041909,3266089,text,7864,text/html,"Comm Sub",https://legiscan.com/TX/text/HB23/id/3266089,https://capitol.texas.gov/tlodocs/892/billtext/html/HB00023H.htm
