bill_id,date,chamber,sequence,action
2041850,2025-08-15,Senate,1,"Received by the Secretary of the Senate"
2041850,2025-08-15,Senate,2,Filed
2041851,2025-08-15,Senate,1,"Received by the Secretary of the Senate"
2041851,2025-08-15,Senate,2,Filed
2041851,2025-08-15,Senate,3,"Read first time"
2041851,2025-08-15,Senate,4,"Referred to State Affairs"
2041851,2025-08-15,Senate,5,"Posting rule suspended"
2041851,2025-08-15,Senate,6,"Record vote"
2041851,2025-08-15,Senate,7,"Scheduled for public hearing on . . ."
2041851,2025-08-15,Senate,8,"Considered in public hearing"
2041851,2025-08-15,Senate,9,"Vote taken in committee"
2041851,2025-08-15,Senate,10,"Reported favorably w/o amendments"
2041851,2025-08-15,Senate,11,"Committee report printed and distributed"
2041851,2025-08-18,Senate,12,"Co-author authorized"
2041851,2025-08-22,Senate,13,"Co-author authorized"
2041851,2025-08-26,Senate,14,"Co-author authorized"
2041852,2025-08-15,House,1,Filed
2041852,2025-08-18,House,2,"Read first time"
2041852,2025-08-18,House,3,"Referred to Intergovernmental Affairs"
2041853,2025-08-15,Senate,1,"Received by the Secretary of the Senate"
2041853,2025-08-15,Senate,2,Filed
2041853,2025-08-15,Senate,3,"Read first time"
2041853,2025-08-15,Senate,4,"Referred to State Affairs"
2041853,2025-08-15,Senate,5,"Posting rule suspended"
2041853,2025-08-15,Senate,6,"Record vote"
2041853,2025-08-15,Senate,7,"Scheduled for public hearing on . . ."
2041853,2025-08-15,Senate,8,"Considered in public hearing"
2041853,2025-08-15,Senate,9,"Testimony taken in committee"
2041853,2025-08-15,Senate,10,"Vote taken in committee"
2041853,2025-08-15,Senate,11,"Reported favorably w/o amendments"
2041853,2025-08-15,Senate,12,"Committee report printed and distributed"
2041853,2025-08-18,Senate,13,"Rules suspended-Regular order of business"
2041853,2025-08-18,Senate,14,"Read 2nd time & passed to engrossment"
2041853,2025-08-18,Senate,15,"Vote recorded in Journal"
2041853,2025-08-18,Senate,16,"Three day rule suspended"
2041853,2025-08-18,Senate,17,"Record vote"
2041853,2025-08-18,Senate,18,"Read 3rd time"
2041853,2025-08-18,Senate,19,Passed
2041853,2025-08-18,Senate,20,"Record vote"
2041853,2025-08-18,Senate,21,"Reported engrossed"
2041853,2025-08-20,House,22,"Received from the Senate"
2041853,2025-08-20,House,23,"Read first time"
2041853,2025-08-20,House,24,"Referred to Criminal Jurisprudence"
2041853,2025-08-21,House,25,"Scheduled for formal meeting on . . ."
2041853,2025-08-21,House,26,"Considered in formal meeting"
2041853,2025-08-21,House,27,"Reported favorably w/o amendment(s)"
2041853,2025-08-22,House,28,"Comte report filed with Committee Coordinator"
2041853,2025-08-22,House,29,"Committee report distributed"
2041853,2025-08-24,House,30,"Committee report sent to Calendars"
2041853,2025-08-24,House,31,"Corrected com rept filed w/ Comte Coordinator"
2041853,2025-08-24,House,32,"Corrected comm. report distributed"
2041853,2025-08-25,House,33,"Corrected committee report sent to Calendars"
2041853,2025-08-25,House,34,"Considered in Calendars"
2041853,2025-08-26,House,35,"Placed on General State Calendar"
2041853,2025-08-26,House,36,"Read 2nd time"
2041853,2025-08-26,House,37,"Passed to 3rd reading"
2041853,2025-08-26,House,38,"Record vote RV#71"
2041853,2025-08-26,House,39,"Statement(s) of vote recorded in Journal"
2041853,2025-08-26,House,40,"Rules suspended"
2041853,2025-08-26,House,41,"Additional sponsor(s) authorized"
2041853,2025-08-26,House,42,"Read 3rd time"
2041853,2025-08-26,House,43,Passed
2041853,2025-08-26,House,44,"Record vote RV#83"
2041853,2025-08-26,House,45,"Statement(s) of vote recorded in Journal"
2041853,2025-08-26,House,46,"Reason for vote recorded in Journal"
2041853,2025-08-26,Senate,47,"House passage reported"
2041853,2025-08-26,Senate,48,"Reported enrolled"
2041853,2025-08-27,Senate,49,"Signed in the Senate"
2041853,2025-08-28,House,50,"Signed in the House"
2041853,2025-08-28,,51,"Sent to the Governor"
2041854,2025-08-15,Senate,1,"Received by the Secretary of the Senate"
2041854,2025-08-15,Senate,2,Filed
2041855,2025-08-15,Senate,1,"Received by the Secretary of the Senate"
2041855,2025-08-15,Senate,2,Filed
2041855,2025-08-15,Senate,3,"Read first time"
2041855,2025-08-15,Senate,4,"Referred to Finance"
2041855,2025-08-15,Senate,5,"Posting rule suspended"
2041855,2025-08-15,Senate,6,"Record vote"
2041855,2025-08-15,Senate,7,"Scheduled for public hearing on . . ."
2041855,2025-08-15,Senate,8,"Considered in public hearing"
2041855,2025-08-15,Senate,9,"Vote taken in committee"
2041855,2025-08-15,Senate,10,"Reported favorably w/o amendments"
2041855,2025-08-15,Senate,11,"Committee report printed and distributed"
2041855,2025-08-18,Senate,12,"Co-author authorized"
2041855,2025-08-18,Senate,13,"Rules suspended-Regular order of business"
2041855,2025-08-18,Senate,14,"Read 2nd time & passed to engrossment"
2041855,2025-08-18,Senate,15,"Vote recorded in Journal"
2041855,2025-08-18,Senate,16,"Three day rule suspended"
2041855,2025-08-18,Senate,17,"Record vote"
2041855,2025-08-18,Senate,18,"Read 3rd time"
2041855,2025-08-18,Senate,19,Passed
2041855,2025-08-18,Senate,20,"Record vote"
2041855,2025-08-18,Senate,21,"Reported engrossed"
2041855,2025-08-20,House,22,"Received from the Senate"
2041855,2025-08-20,House,23,"Read first time"
2041855,2025-08-20,House,24,"Referred to Criminal Jurisprudence"
2041855,2025-08-21,House,25,"Scheduled for formal meeting on . . ."
2041855,2025-08-21,House,26,"Considered in formal meeting"
2041855,2025-08-21,House,27,"Reported favorably w/o amendment(s)"
2041855,2025-08-22,House,28,"Comte report filed with Committee Coordinator"
2041855,2025-08-22,House,29,"Committee report distributed"
2041855,2025-08-24,House,30,"Committee report sent to Calendars"
2041855,2025-08-24,House,31,"Corrected com rept filed w/ Comte Coordinator"
2041855,2025-08-24,House,32,"Corrected comm. report distributed"
2041855,2025-08-25,House,33,"Corrected committee report sent to Calendars"
2041855,2025-08-25,House,34,"Considered in Calendars"
2041855,2025-08-26,House,35,"Placed on General State Calendar"
2041855,2025-08-26,House,36,"Read 2nd time"
2041855,2025-08-26,House,37,"Amended 1-Harless"
2041855,2025-08-26,House,38,"Passed to 3rd reading as amended"
2041855,2025-08-26,House,39,"Record vote RV#72"
2041855,2025-08-26,House,40,"Statement(s) of vote recorded in Journal"
2041855,2025-08-26,House,41,"Rules suspended"
2041855,2025-08-26,House,42,"Additional sponsor(s) authorized"
2041855,2025-08-26,House,43,"Read 3rd time"
2041855,2025-08-26,House,44,Passed
2041855,2025-08-26,House,45,"Record vote RV#84"
2041855,2025-08-26,House,46,"Statement(s) of vote recorded in Journal"
2041855,2025-08-26,House,47,"Reason for vote recorded in Journal"
2041855,2025-08-26,Senate,48,"House passage as amended reported"
2041855,2025-08-27,Senate,49,"House amendment(s) laid before the Senate"
2041855,2025-08-27,Senate,50,Read
2041855,2025-08-27,Senate,51,"Senate concurs in House amendment(s)"
2041855,2025-08-27,Senate,52,"Record vote"
2041855,2025-08-27,Senate,53,"Reported enrolled"
2041855,2025-08-28,House,54,"Senate concurs in House amendment(s)-reported"
2041855,2025-08-28,Senate,55,"Signed in the Senate"
2041855,2025-08-28,House,56,"Signed in the House"
2041855,2025-08-28,,57,"Sent to the Governor"
2041856,2025-08-15,Senate,1,"Received by the Secretary of the Senate"
2041856,2025-08-15,Senate,2,Filed
2041856,2025-08-15,Senate,3,"Read first time"
2041856,2025-08-15,Senate,4,"Referred to Congressional Redistricting, Special"
2041856,2025-08-17,Senate,5,"Scheduled for public hearing on . . ."
2041856,2025-08-17,Senate,6,"Considered in public hearing"
2041856,2025-08-17,Senate,7,"Testimony taken in committee"
2041856,2025-08-17,Senate,8,"Vote taken in committee"
2041856,2025-08-17,Senate,9,"Reported favorably w/o amendments"
2041856,2025-08-18,Senate,10,"Co-author authorized"
2041856,2025-08-18,Senate,11,"Printing rule suspended"
2041856,2025-08-18,Senate,12,"Ordered not printed"
2041857,2025-08-15,Senate,1,"Received by the Secretary of the Senate"
2041857,2025-08-15,Senate,2,Filed
2041858,2025-08-15,Senate,1,"Received by the Secretary of the Senate"
