bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
2041851,1599354,2025-08-15,Senate,"Posting rule suspended",23,4,0,3,30
2041853,1599359,2025-08-15,Senate,"Posting rule suspended",23,4,0,3,30
2041853,1599686,2025-08-18,Senate,"Three day rule suspended",31,0,0,0,31
2041853,1599687,2025-08-18,Senate,"Read 3rd time",31,0,0,0,31
2041853,1600081,2025-08-26,House,"Read 2nd time RV#71",136,0,1,13,150
2041853,1600082,2025-08-26,House,"Read 3rd time RV#83",137,1,1,11,150
2041855,1599344,2025-08-15,Senate,"Posting rule suspended",23,4,0,3,30
2041855,1599668,2025-08-18,Senate,"Three day rule suspended",31,0,0,0,31
2041855,1599669,2025-08-18,Senate,"Read 3rd time",31,0,0,0,31
2041855,1600072,2025-08-26,House,"Amended RV#72",138,0,1,11,150
2041855,1600079,2025-08-26,House,"Read 3rd time RV#84",138,0,1,11,150
2041855,1600134,2025-08-27,Senate,"Senate concurs in House amendment(s)",31,0,0,0,31
2041855,1601064,2025-08-27,Senate,"Senate concurs in House amendment(s)",31,0,0,0,31
2041855,1602004,2025-08-27,Senate,"Senate concurs in House amendment(s)",31,0,0,0,31
2041860,1599347,2025-08-15,Senate,"Posting rule suspended",23,4,0,3,30
2041860,1599672,2025-08-18,Senate,"Rules suspended-Regular order of business",22,8,0,0,30
2041860,1599673,2025-08-18,Senate,"Read 2nd time & passed to engrossment",22,8,0,0,30
2041860,1599834,2025-08-19,Senate,"Read 3rd time",31,0,0,0,31
2041865,1599349,2025-08-15,Senate,"Posting rule suspended",23,4,0,3,30
2041868,1599353,2025-08-15,Senate,"Posting rule suspended",23,4,0,3,30
2041868,1599688,2025-08-18,Senate,"Rules suspended-Regular order of business",18,11,1,0,30
2041868,1599689,2025-08-18,Senate,"Amendment fails of adoption",12,18,0,0,30
2041868,1599690,2025-08-18,Senate,"Amendment fails of adoption",11,19,0,0,30
2041868,1599691,2025-08-18,Senate,"Amendment fails of adoption",11,19,0,0,30
2041868,1599692,2025-08-18,Senate,"Amendment fails of adoption",11,19,0,0,30
2041868,1599693,2025-08-18,Senate,"Amendment fails of adoption",11,19,0,0,30
2041868,1599694,2025-08-18,Senate,"Amendment fails of adoption",11,19,0,0,30
2041868,1599695,2025-08-18,Senate,"Record vote",18,11,1,0,30
2041868,1599879,2025-08-19,Senate,"Read 3rd time",18,11,1,0,30
2041869,1599787,2025-08-21,House,"Amended RV#40",136,0,2,12,150
2041869,1599788,2025-08-21,House,"Read 3rd time RV#47",135,0,1,14,150
2041869,1601018,2025-09-03,House,"House concurs in Senate amendment(s) RV#165",129,0,1,20,150
