bill_id,people_id,position
2041850,6032,1
2041851,5875,4
2041851,5921,1
2041851,5929,9
2041851,5933,20
2041851,5962,11
2041851,6014,19
2041851,6015,8
2041851,6029,16
2041851,6032,17
2041851,11013,13
2041851,11015,14
2041851,11020,18
2041851,15077,3
2041851,16267,2
2041851,17365,6
2041851,19730,12
2041851,20015,10
2041851,24827,15
2041851,26344,5
2041851,26345,7
2041852,14783,1
2041852,16842,2
2041853,5850,2
2041853,5875,6
2041853,5921,13
2041853,5929,14
2041853,5933,15
2041853,5949,16
2041853,5962,1
2041853,6014,11
2041853,6015,12
2041853,6029,22
2041853,6032,23
2041853,11013,19
2041853,11015,20
2041853,15077,5
2041853,15409,50
2041853,16267,3
2041853,16834,4
2041853,17365,9
2041853,17984,43
2041853,18680,49
2041853,19319,27
2041853,19686,7
2041853,19730,18
2041853,20015,17
2041853,21776,24
2041853,23179,36
2041853,23184,45
2041853,23190,47
2041853,24077,26
2041853,24083,29
2041853,24084,30
2041853,24085,31
2041853,24090,37
2041853,24827,21
2041853,25229,48
2041853,25230,44
2041853,25231,33
2041853,25362,38
2041853,25434,25
2041853,25511,34
2041853,25512,28
2041853,26331,32
2041853,26332,35
2041853,26334,39
2041853,26335,40
2041853,26336,41
2041853,26338,42
2041853,26340,46
2041853,26341,51
2041853,26344,8
2041853,26345,10
2041854,6032,1
2041855,5850,2
2041855,5851,29
2041855,5875,6
2041855,5904,9
2041855,5921,15
2041855,5929,17
2041855,5933,27
2041855,5949,18
2041855,5962,22
2041855,6014,13
2041855,6015,14
2041855,6019,21
2041855,6029,1
2041855,11013,24
2041855,11015,25
2041855,11599,20
2041855,15077,5
2041855,15351,30
2041855,16267,3
2041855,16834,4
2041855,17365,11
2041855,19319,31
2041855,19686,8
2041855,19730,23
2041855,20015,19
2041855,20805,16
2041855,21679,7
2041855,24078,32
2041855,24827,26
2041855,25512,28
2041855,26344,10
2041855,26345,12
2041856,5875,2
2041856,5921,3
2041856,5929,1
2041856,5962,5
2041856,19730,6
2041856,20015,4
2041856,24827,7
2041856,26344,8
2041857,6032,1
2041858,6032,1
2041859,14046,1
2041860,5875,6
2041860,5921,13
2041860,5929,14
2041860,5933,15
2041860,5962,18
2041860,6014,11
2041860,6015,12
2041860,6019,17
2041860,11013,1
2041860,11015,20
2041860,11020,3
2041860,15077,5
2041860,16267,2
2041860,16834,4
2041860,17365,9
2041860,19686,7
2041860,19730,19
2041860,20015,16
2041860,24827,21
2041860,26344,8
2041860,26345,10
2041861,6019,1
2041862,6032,1
2041863,5875,5
2041863,5921,10
2041863,5929,11
2041863,5933,12
2041863,5962,14
2041863,6015,9
2041863,11013,16
2041863,11015,17
2041863,15077,4
2041863,16267,2
2041863,16834,3
2041863,17365,1
2041863,19686,6
2041863,19730,15
2041863,20015,13
2041863,24827,18
2041863,26344,7
2041863,26345,8
2041864,5903,3
2041864,16840,1
2041864,16842,5
2041864,20228,2
2041864,23179,4
2041865,5875,4
2041865,5921,10
2041865,5929,11
2041865,5933,12
2041865,5962,15
2041865,6015,9
2041865,6019,14
2041865,11013,17
2041865,11015,18
2041865,11020,2
2041865,15077,3
2041865,16267,1
2041865,17365,7
2041865,19686,5
2041865,19730,16
2041865,20015,13
2041865,24827,19
2041865,26344,6
2041865,26345,8
2041866,5850,2
2041866,5904,6
2041866,5949,8
2041866,6014,7
2041866,6029,10
2041866,11599,9
2041866,16834,3
2041866,20805,1
2041866,21679,5
2041866,25224,4
2041867,5904,5
2041867,5949,7
2041867,6014,6
2041867,6029,9
2041867,11599,8
2041867,16834,2
2041867,20805,1
2041867,21679,4
2041867,25224,3
2041868,5875,5
2041868,5929,10
2041868,5933,11
2041868,5962,12
2041868,6015,16
2041868,11015,14
2041868,11020,3
2041868,15077,4
2041868,16267,2
2041868,17365,8
2041868,19686,6
2041868,19730,13
2041868,20015,1
2041868,24827,15
2041868,26344,7
2041868,26345,9
2041869,5848,7
2041869,5851,8
2041869,5862,16
2041869,5874,21
2041869,5877,1
2041869,5903,30
2041869,5920,36
2041869,5922,38
2041869,5929,90
2041869,5933,91
2041869,5945,3
2041869,5949,92
2041869,5971,64
2041869,5979,71
2041869,6014,88
2041869,6032,94
2041869,11013,83
2041869,11349,57
2041869,11598,65
2041869,14046,74
2041869,14047,46
2041869,14236,18
2041869,14783,10
