roll_call_id,people_id,vote,vote_desc
1599354,5850,2,Nay
1599354,5875,1,Yea
1599354,5904,2,Nay
1599354,5921,1,Yea
1599354,5929,1,Yea
1599354,5933,1,Yea
1599354,5949,2,Nay
1599354,5962,1,Yea
1599354,6014,1,Yea
1599354,6015,1,Yea
1599354,6019,1,Yea
1599354,6029,1,Yea
1599354,6032,1,Yea
1599354,11013,1,Yea
1599354,11015,1,Yea
1599354,11020,1,Yea
1599354,11599,4,Absent
1599354,15077,1,Yea
1599354,16267,1,Yea
1599354,16834,1,Yea
1599354,17365,1,Yea
1599354,19686,1,Yea
1599354,19730,1,Yea
1599354,20015,1,Yea
1599354,20805,4,Absent
1599354,21679,2,Nay
1599354,24827,1,Yea
1599354,25224,4,Absent
1599354,26344,1,Yea
1599354,26345,1,Yea
1599359,5850,2,Nay
1599359,5875,1,Yea
1599359,5904,2,Nay
1599359,5921,1,Yea
1599359,5929,1,Yea
1599359,5933,1,Yea
1599359,5949,2,Nay
1599359,5962,1,Yea
1599359,6014,1,Yea
1599359,6015,1,Yea
1599359,6019,1,Yea
1599359,6029,1,Yea
1599359,6032,1,Yea
1599359,11013,1,Yea
1599359,11015,1,Yea
1599359,11020,1,Yea
1599359,11599,4,Absent
1599359,15077,1,Yea
1599359,16267,1,Yea
1599359,16834,1,Yea
1599359,17365,1,Yea
1599359,19686,1,Yea
1599359,19730,1,Yea
1599359,20015,1,Yea
1599359,20805,4,Absent
1599359,21679,2,Nay
1599359,24827,1,Yea
1599359,25224,4,Absent
1599359,26344,1,Yea
1599359,26345,1,Yea
1600081,5848,1,Yea
1600081,5851,1,Yea
1600081,5862,1,Yea
1600081,5874,1,Yea
1600081,5877,1,Yea
1600081,5879,1,Yea
1600081,5884,1,Yea
1600081,5899,4,Absent
1600081,5903,1,Yea
1600081,5912,1,Yea
1600081,5920,1,Yea
1600081,5922,1,Yea
1600081,5944,4,Absent
1600081,5945,1,Yea
1600081,5954,1,Yea
1600081,5971,1,Yea
1600081,5979,1,Yea
1600081,5996,4,Absent
1600081,5997,1,Yea
1600081,11346,1,Yea
1600081,11349,1,Yea
1600081,11598,4,Absent
1600081,14046,1,Yea
1600081,14047,1,Yea
1600081,14236,1,Yea
1600081,14568,1,Yea
1600081,14783,1,Yea
1600081,14784,1,Yea
1600081,14785,1,Yea
1600081,14786,1,Yea
1600081,14990,1,Yea
1600081,15351,1,Yea
1600081,15352,1,Yea
1600081,15409,1,Yea
1600081,15425,1,Yea
1600081,15628,1,Yea
1600081,15629,1,Yea
1600081,15631,1,Yea
1600081,15686,1,Yea
1600081,16346,1,Yea
1600081,16526,1,Yea
1600081,16836,3,NV
1600081,16840,1,Yea
1600081,16842,1,Yea
1600081,16843,1,Yea
1600081,16845,1,Yea
1600081,16846,1,Yea
1600081,16847,1,Yea
1600081,16848,1,Yea
1600081,16851,1,Yea
1600081,17574,1,Yea
1600081,17576,1,Yea
1600081,17631,1,Yea
1600081,17984,1,Yea
1600081,18029,1,Yea
1600081,18672,1,Yea
1600081,18673,1,Yea
1600081,18674,1,Yea
1600081,18675,4,Absent
1600081,18680,1,Yea
1600081,18682,1,Yea
1600081,19319,1,Yea
1600081,19959,1,Yea
1600081,20016,1,Yea
1600081,20173,1,Yea
1600081,20228,1,Yea
1600081,20229,1,Yea
1600081,20230,1,Yea
1600081,20232,1,Yea
1600081,20234,1,Yea
1600081,20235,1,Yea
1600081,20236,1,Yea
1600081,20237,1,Yea
1600081,20240,1,Yea
1600081,20241,4,Absent
1600081,20243,4,Absent
1600081,20246,1,Yea
1600081,20248,1,Yea
1600081,21335,4,Absent
1600081,21336,4,Absent
1600081,21636,1,Yea
1600081,21683,1,Yea
1600081,21776,1,Yea
1600081,22136,1,Yea
1600081,22376,1,Yea
1600081,22427,4,Absent
1600081,22431,1,Yea
1600081,22433,1,Yea
1600081,22435,1,Yea
1600081,22437,4,Absent
1600081,22896,1,Yea
1600081,22955,1,Yea
1600081,23106,1,Yea
1600081,23120,1,Yea
1600081,23145,1,Yea
1600081,23179,1,Yea
1600081,23180,1,Yea
1600081,23184,1,Yea
1600081,23190,1,Yea
1600081,23342,1,Yea
1600081,23384,1,Yea
1600081,24075,1,Yea
1600081,24076,1,Yea
1600081,24077,1,Yea
1600081,24078,1,Yea
1600081,24079,1,Yea
1600081,24080,1,Yea
1600081,24082,4,Absent
1600081,24083,1,Yea
1600081,24084,1,Yea
1600081,24085,1,Yea
1600081,24086,1,Yea
1600081,24087,1,Yea
1600081,24088,1,Yea
1600081,24089,1,Yea
1600081,24090,1,Yea
1600081,24091,1,Yea
1600081,24094,1,Yea
1600081,25225,1,Yea
1600081,25226,1,Yea
1600081,25227,1,Yea
1600081,25228,1,Yea
1600081,25229,1,Yea
1600081,25230,1,Yea
1600081,25231,1,Yea
1600081,25235,1,Yea
1600081,25236,1,Yea
1600081,25237,1,Yea
1600081,25361,1,Yea
1600081,25362,1,Yea
1600081,25434,1,Yea
1600081,25510,1,Yea
1600081,25511,1,Yea
1600081,25512,1,Yea
1600081,25519,1,Yea
1600081,26329,4,Absent
1600081,26330,1,Yea
1600081,26331,1,Yea
1600081,26332,1,Yea
1600081,26333,1,Yea
1600081,26334,1,Yea
1600081,26335,1,Yea
1600081,26336,1,Yea
1600081,26337,1,Yea
1600081,26338,1,Yea
1600081,26339,1,Yea
1600081,26340,1,Yea
1600081,26341,1,Yea
1600081,26342,1,Yea
1600081,26343,1,Yea
1600082,5848,1,Yea
1600082,5851,1,Yea
1600082,5862,1,Yea
1600082,5874,1,Yea
1600082,5877,1,Yea
1600082,5879,1,Yea
1600082,5884,1,Yea
1600082,5899,4,Absent
1600082,5903,1,Yea
1600082,5912,1,Yea
1600082,5920,1,Yea
1600082,5922,1,Yea
1600082,5944,1,Yea
1600082,5945,1,Yea
1600082,5954,1,Yea
1600082,5971,1,Yea
1600082,5979,1,Yea
1600082,5996,4,Absent
1600082,5997,1,Yea
1600082,11346,1,Yea
1600082,11349,1,Yea
1600082,11598,4,Absent
1600082,14046,1,Yea
1600082,14047,1,Yea
1600082,14236,1,Yea
1600082,14568,1,Yea
1600082,14783,1,Yea
1600082,14784,1,Yea
1600082,14785,1,Yea
1600082,14786,1,Yea
1600082,14990,1,Yea
1600082,15351,1,Yea
1600082,15352,1,Yea
1600082,15409,1,Yea
1600082,15425,1,Yea
1600082,15628,1,Yea
1600082,15629,1,Yea
1600082,15631,1,Yea
1600082,15686,1,Yea
1600082,16346,1,Yea
1600082,16526,1,Yea
1600082,16836,3,NV
1600082,16840,1,Yea
1600082,16842,1,Yea
1600082,16843,4,Absent
1600082,16845,1,Yea
1600082,16846,1,Yea
1600082,16847,1,Yea
1600082,16848,1,Yea
1600082,16851,1,Yea
1600082,17574,1,Yea
1600082,17576,1,Yea
1600082,17631,1,Yea
1600082,17984,1,Yea
1600082,18029,1,Yea
1600082,18672,1,Yea
1600082,18673,1,Yea
1600082,18674,1,Yea
1600082,18675,1,Yea
1600082,18680,1,Yea
1600082,18682,1,Yea
1600082,19319,1,Yea
1600082,19959,1,Yea
1600082,20016,1,Yea
1600082,20173,1,Yea
1600082,20228,1,Yea
1600082,20229,1,Yea
1600082,20230,1,Yea
1600082,20232,1,Yea
1600082,20234,1,Yea
1600082,20235,1,Yea
1600082,20236,1,Yea
1600082,20237,1,Yea
1600082,20240,1,Yea
1600082,20241,4,Absent
1600082,20243,4,Absent
1600082,20246,1,Yea
1600082,20248,1,Yea
1600082,21335,4,Absent
1600082,21336,1,Yea
1600082,21636,1,Yea
1600082,21683,1,Yea
1600082,21776,1,Yea
1600082,22136,1,Yea
1600082,22376,1,Yea
1600082,22427,4,Absent
1600082,22431,1,Yea
1600082,22433,1,Yea
1600082,22435,1,Yea
1600082,22437,4,Absent
1600082,22896,1,Yea
1600082,22955,1,Yea
1600082,23106,1,Yea
1600082,23120,1,Yea
1600082,23145,1,Yea
1600082,23179,1,Yea
1600082,23180,1,Yea
1600082,23184,1,Yea
1600082,23190,1,Yea
1600082,23342,1,Yea
1600082,23384,1,Yea
1600082,24075,1,Yea
1600082,24076,1,Yea
1600082,24077,1,Yea
1600082,24078,1,Yea
1600082,24079,1,Yea
1600082,24080,1,Yea
1600082,24082,4,Absent
1600082,24083,1,Yea
1600082,24084,1,Yea
1600082,24085,1,Yea
1600082,24086,1,Yea
1600082,24087,1,Yea
1600082,24088,1,Yea
1600082,24089,1,Yea
1600082,24090,1,Yea
1600082,24091,1,Yea
1600082,24094,1,Yea
1600082,25225,1,Yea
1600082,25226,4,Absent
1600082,25227,1,Yea
1600082,25228,1,Yea
1600082,25229,1,Yea
1600082,25230,1,Yea
1600082,25231,1,Yea
