bill_id,date,chamber,sequence,action
1897822,2024-12-19,,1,"Bill Numbered but not Distributed in Legislative Research and General Counsel"
1897822,2024-12-19,,2,"Numbered Bill Publicly Distributed in Legislative Research and General Counsel"
1897822,2025-01-15,House,3,"House/ received bill from Legislative Research in Clerk of the House"
1897822,2025-01-15,House,4,"House/ received fiscal note from Fiscal Analyst in Clerk of the House"
1897822,2025-01-21,House,5,"House/ 1st reading (Introduced) in House Rules Committee"
1897822,2025-01-21,House,6,"House/ to standing committee in House Natural Resources, Agriculture, and Environment Committee"
1897822,2025-01-24,House,7,"House Comm - Favorable Recommendation in House Natural Resources, Agriculture, and Environment Committee"
1897822,2025-01-27,House,8,"House/ committee report favorable in House Natural Resources, Agriculture, and Environment Committee"
1897822,2025-01-27,House,9,"House/ 2nd reading in House 3rd Reading Calendar for House bills"
1897822,2025-02-04,House,10,"House/ 3rd reading in House 3rd Reading Calendar for House bills"
1897822,2025-02-04,Senate,11,"House/ passed 3rd reading in Senate Secretary"
1897822,2025-02-04,Senate,12,"House/ to Senate in Senate Secretary"
1897822,2025-02-04,Senate,13,"Senate/ received from House in Waiting for Introduction in the Senate"
1897822,2025-02-05,Senate,14,"Senate/ 1st reading (Introduced) in Senate Rules Committee"
1897822,2025-02-06,Senate,15,"Senate/ to standing committee in Senate Natural Resources, Agriculture, and Environment Committee"
1897822,2025-02-10,Senate,16,"Senate Comm - Favorable Recommendation in Senate Natural Resources, Agriculture, and Environment Committee"
1897822,2025-02-11,Senate,17,"Senate/ committee report favorable in Senate Natural Resources, Agriculture, and Environment Committee"
1897822,2025-02-11,Senate,18,"Senate/ placed on 2nd Reading Calendar in Senate 2nd Reading Calendar"
1897822,2025-02-13,Senate,19,"Senate/ 2nd reading in Senate 2nd Reading Calendar"
1897822,2025-02-13,Senate,20,"Senate/ circled in Senate 2nd Reading Calendar"
1897822,2025-02-19,Senate,21,"Senate/ uncircled in Senate 2nd Reading Calendar"
1897822,2025-02-19,Senate,22,"Senate/ passed 2nd reading in Senate 3rd Reading Calendar"
1897822,2025-02-20,Senate,23,"Senate/ 3rd reading in Senate 3rd Reading Calendar"
1897822,2025-02-20,Senate,24,"Senate/ passed 3rd reading in Senate President"
1897822,2025-02-20,House,25,"Senate/ signed by President/ returned to House in House Speaker"
1897822,2025-02-20,House,26,"Senate/ to House in House Speaker"
1897822,2025-02-20,House,27,"House/ received from Senate in House Speaker"
1897822,2025-02-20,,28,"House/ signed by Speaker/ sent for enrolling in Legislative Research and General Counsel / Enrolling"
1897822,2025-02-24,,29,"Bill Received from House for Enrolling in Legislative Research and General Counsel / Enrolling"
1897822,2025-02-24,,30,"Draft of Enrolled Bill Prepared in Legislative Research and General Counsel / Enrolling"
1897822,2025-02-27,House,31,"Enrolled Bill Returned to House or Senate in Clerk of the House"
1897822,2025-02-27,House,32,"House/ enrolled bill to Printing in Clerk of the House"
1897822,2025-02-28,House,33,"House/ received enrolled bill from Printing in Clerk of the House"
1897822,2025-02-28,,34,"House/ to Governor in Executive Branch - Governor"
1897822,2025-03-19,,35,"Governor Signed in Lieutenant Governor's office for filing"
1897826,2024-12-18,,1,"Bill Numbered but not Distributed in Legislative Research and General Counsel"
1897826,2024-12-18,,2,"Numbered Bill Publicly Distributed in Legislative Research and General Counsel"
1897826,2025-01-02,Senate,3,"Senate/ received bill from Legislative Research in Waiting for Introduction in the Senate"
1897826,2025-01-16,Senate,4,"Senate/ received fiscal note from Fiscal Analyst in Waiting for Introduction in the Senate"
1897826,2025-01-21,Senate,5,"Senate/ 1st reading (Introduced) in Senate Rules Committee"
1897826,2025-01-21,Senate,6,"Senate/ placed on 2nd Reading Calendar in Senate 2nd Reading Calendar"
1897826,2025-01-21,Senate,7,"Senate/ 2nd & 3rd readings/ suspension in Senate 2nd Reading Calendar"
1897826,2025-01-21,House,8,"Senate/ passed 2nd & 3rd readings/ suspension in Clerk of the House"
1897826,2025-01-21,House,9,"Senate/ to House in Clerk of the House"
1897826,2025-01-22,House,10,"House/ received from Senate in Clerk of the House"
1897826,2025-01-22,House,11,"House/ 1st reading (Introduced) in House Rules Committee"
1897826,2025-01-28,House,12,"House/ to standing committee in House Political Subdivisions Committee"
1897826,2025-01-30,House,13,"House Comm - Substitute Recommendation in House Political Subdivisions Committee"
1897826,2025-01-30,House,14,"House Comm - Favorable Recommendation in House Political Subdivisions Committee"
1897826,2025-01-31,House,15,"House/ comm rpt/ substituted in House Political Subdivisions Committee"
1897826,2025-01-31,House,16,"House/ 2nd reading in House 3rd Reading Calendar for Senate bills"
1897826,2025-02-05,House,17,"House/ 3rd reading in House 3rd Reading Calendar for Senate bills"
1897826,2025-02-05,Senate,18,"House/ passed 3rd reading in Senate Secretary"
1897826,2025-02-05,Senate,19,"House/ to Senate in Senate Secretary"
1897826,2025-02-06,Senate,20,"Senate/ received from House in Senate Secretary"
1897826,2025-02-06,Senate,21,"Senate/ placed on Concurrence Calendar in Senate Concurrence Calendar"
1897826,2025-02-07,Senate,22,"Senate/ circled in Senate Concurrence Calendar"
1897826,2025-02-10,Senate,23,"Senate/ uncircled in Senate Concurrence Calendar"
