bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1897822,1509774,2025-01-24,House,"House Comm - Favorable Recommendation",10,0,0,4,14
1897822,1509775,2025-02-04,House,"House/ passed 3rd reading",71,0,0,4,75
1897822,1509776,2025-02-10,Senate,"Senate Comm - Favorable Recommendation",3,0,0,4,7
1897822,1509777,2025-02-19,Senate,"Senate/ passed 2nd reading",23,0,0,6,29
1897822,1509778,2025-02-20,Senate,"Senate/ passed 3rd reading",23,0,0,6,29
1897826,1509779,2025-01-21,Senate,"Senate/ passed 2nd & 3rd readings/ suspension",23,2,0,4,29
1897826,1509780,2025-01-30,House,"House Comm - Substitute Recommendation",7,0,0,3,10
1897826,1509781,2025-01-30,House,"House Comm - Favorable Recommendation",8,0,0,2,10
1897826,1509782,2025-02-05,House,"House/ passed 3rd reading",68,0,0,7,75
1897826,1509783,2025-02-10,Senate,"Senate/ concurs with House amendment",22,4,0,3,29
1897830,1509784,2025-01-21,Senate,"Senate/ passed 2nd & 3rd readings/ suspension",24,0,0,5,29
1897830,1509785,2025-02-10,House,"House Comm - Favorable Recommendation",10,0,0,6,16
1897830,1509786,2025-02-19,House,"House/ passed 3rd reading",67,0,0,8,75
1897830,1509787,2025-02-20,Senate,"Senate/ concurs with House amendment",24,0,0,5,29
1897834,1511432,2025-01-29,Senate,"Senate Comm - Substitute Recommendation",5,0,0,2,7
1897834,1511433,2025-01-29,Senate,"Senate Comm - Favorable Recommendation",5,0,0,2,7
1897834,1511434,2025-02-04,Senate,"Senate/ passed 2nd reading",24,0,0,5,29
1897834,1511435,2025-02-05,Senate,"Senate/ passed 3rd reading",28,0,0,1,29
1897834,1511436,2025-02-14,House,"House Comm - Amendment Recommendation",10,0,0,1,11
1897834,1511437,2025-02-14,House,"House Comm - Favorable Recommendation",10,0,0,1,11
1897834,1511438,2025-02-26,House,"House/ passed 3rd reading",66,0,0,9,75
1897834,1511439,2025-02-27,Senate,"Senate/ concurs with House amendment",26,0,0,3,29
1897838,1509788,2025-01-21,Senate,"Senate/ passed 2nd & 3rd readings/ suspension",25,0,0,4,29
1897838,1509789,2025-01-27,House,"House Comm - Favorable Recommendation",11,0,0,2,13
1897838,1509790,2025-01-31,House,"House/ passed 3rd reading",73,0,0,2,75
1897847,1512302,2025-02-18,House,"House Comm - Amendment Recommendation",7,0,0,4,11
1897847,1512303,2025-02-18,House,"House Comm - Favorable Recommendation",7,0,0,4,11
1897847,1512304,2025-02-25,House,"House/ passed 3rd reading",61,0,0,14,75
1897847,1512305,2025-03-04,Senate,"Senate Comm - Favorable Recommendation",4,1,0,2,7
1897852,1509791,2025-01-28,House,"House Comm - Substitute Recommendation",12,0,0,4,16
1897852,1509792,2025-01-28,House,"House Comm - Favorable Recommendation",12,0,0,4,16
1897852,1509793,2025-02-06,House,"House/ passed 3rd reading",71,0,0,4,75
1897852,1509794,2025-02-13,Senate,"Senate Comm - Favorable Recommendation",4,0,0,3,7
1897852,1509795,2025-02-19,Senate,"Senate/ passed 2nd reading",23,0,0,6,29
1897852,1509796,2025-03-04,Senate,"Senate/ passed 2nd & 3rd readings/ suspension",27,0,0,2,29
1897856,1509797,2025-01-23,House,"House/ passed 3rd reading",72,0,0,3,75
1897856,1509798,2025-01-28,Senate,"Senate Comm - Substitute Recommendation",7,0,0,1,8
1897856,1509799,2025-01-28,Senate,"Senate Comm - Favorable Recommendation",7,0,0,1,8
