bill_id,people_id,position
1897822,17719,2
1897822,18110,1
1897826,8150,1
1897826,22968,2
1897830,17849,1
1897830,23791,2
1897834,8150,1
1897834,15452,2
1897838,11900,2
1897838,17396,1
1897844,14564,1
1897847,8165,2
1897847,14564,1
1897852,21414,1
1897852,25016,2
1897856,8150,2
1897856,21104,1
1897860,8150,1
1897860,19415,2
1897865,13830,1
1897865,24492,2
1897868,8123,1
1897868,17849,2
1897874,21104,1
1897874,25016,2
1897879,8150,1
1897879,19415,2
1897883,8186,2
1897883,18777,1
1897887,11900,2
1897887,25016,1
1897890,8123,2
1897890,21108,1
1897895,17719,1
1897895,25730,2
1897901,8156,2
1897901,22073,1
1897905,17849,1
1897905,21414,2
1897910,8151,1
1897910,20381,2
1897913,8123,1
1897913,8196,2
1897915,17396,1
1897915,23169,2
1897921,8186,1
1897921,12088,2
1897925,13830,2
1897925,22523,1
1897929,8186,1
1897929,21046,2
1897934,12088,2
1897934,17849,1
1897940,11900,1
1897940,15458,2
1897944,17448,1
1897944,17849,2
1897948,16439,1
1897948,16714,2
1897952,16439,2
1897952,24496,1
1897956,8150,1
1897956,22073,2
1897962,8173,1
1897962,19010,2
1897966,8150,2
1897966,23044,1
1897970,17719,2
1897970,21104,1
1897974,8150,1
1897974,19415,2
1897976,8123,1
1897976,8150,2
1897982,8165,2
1897982,18110,1
1897986,8123,2
1897986,8150,1
1897990,15458,2
1897990,19707,1
1897995,16439,2
1897995,18110,1
1898000,8151,2
1898000,8196,1
1898004,8193,1
1898004,22074,2
1898009,8150,2
1898009,17448,1
1898011,8156,2
1898011,22073,1
1898015,21046,1
1898021,8151,2
1898021,8156,1
1898025,12088,1
1898025,16439,2
1898025,21104,3
1898029,8156,2
1898029,20383,1
1898033,11713,1
1898037,17719,1
1898037,24964,2
1898043,8151,1
1898043,17396,2
1898048,12088,1
1898048,16439,2
1898052,8150,2
1898052,19415,1
1898057,11900,2
1898057,17849,1
1898061,13816,1
1898061,23789,2
1898066,8173,2
1898066,23751,1
1898070,13816,2
1898070,22454,1
1898074,21100,2
1898074,21104,1
1898079,8123,1
1898079,8186,2
1898084,8173,1
1898084,13816,2
1898088,14564,1
1898088,15458,2
1898092,20381,2
1898092,23791,1
1898096,8165,2
1898096,12088,1
1898100,15461,2
1898100,22519,1
1898106,8151,1
1898106,20380,2
1898106,20383,11
1898106,21031,12
1898106,21104,3
1898106,21414,10
1898106,22072,4
1898106,22073,6
1898106,23787,7
1898106,23788,9
1898106,23809,8
1898106,24493,5
1898110,8186,2
1898110,22525,1
1898114,17849,1
1898114,24494,2
1898117,17849,2
1898117,23044,1
1898246,22074,1
1898246,26358,2
1898316,21414,2
1898316,22074,1
1898320,12088,2
1898320,13830,1
1898322,8156,1
1898322,22073,2
1898326,8156,2
1898326,23044,1
1898327,21414,1
1898331,8123,1
