bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1904940,2195,H0001,4,Passed,2025-06-05,"An act relating to accepting and referring complaints by the State Ethics Commission","An act relating to accepting and referring complaints by the State Ethics Commission",0,,2025-06-09,"House message: Governor allowed to become law without signature on June 5, 2025",https://legiscan.com/VT/bill/H0001/2025,https://legislature.vermont.gov/bill/status/2026/H.1
1905031,2195,H0002,4,Passed,2025-04-01,"An act relating to increasing the minimum age for delinquency proceedings","An act relating to increasing the minimum age for delinquency proceedings",0,,2025-04-02,"House message: Governor approved bill on March 31, 2025",https://legiscan.com/VT/bill/H0002/2025,https://legislature.vermont.gov/bill/status/2026/H.2
1905076,2195,H0003,1,Introduced,2025-01-09,"An act relating to the minimum qualifications required for State employment","An act relating to the minimum qualifications required for State employment",4658,"House Government Operations and Military Affairs",2025-01-09,"Read first time and referred to the Committee on Government Operations and Military Affairs",https://legiscan.com/VT/bill/H0003/2025,https://legislature.vermont.gov/bill/status/2026/H.3
1905008,2195,H0004,1,Introduced,2025-01-09,"An act relating to standards for the care of egg-laying hens","An act relating to standards for the care of egg-laying hens",4753,"House Agriculture, Food Resiliency, and Forestry",2025-01-09,"Read first time and referred to the Committee on Agriculture, Food Resiliency, and Forestry",https://legiscan.com/VT/bill/H0004/2025,https://legislature.vermont.gov/bill/status/2026/H.4
1905211,2195,H0005,1,Introduced,2025-01-09,"An act relating to a hearsay exception for a child under 16 years of age","An act relating to a hearsay exception for a child under 16 years of age",790,"House Judiciary",2025-01-09,"Read first time and referred to the Committee on Judiciary",https://legiscan.com/VT/bill/H0005/2025,https://legislature.vermont.gov/bill/status/2026/H.5
1904896,2195,H0006,1,Introduced,2025-01-09,"An act relating to marriage license fees","An act relating to marriage license fees",793,"House Ways and Means",2025-01-09,"Read first time and referred to the Committee on Ways and Means",https://legiscan.com/VT/bill/H0006/2025,https://legislature.vermont.gov/bill/status/2026/H.6
1905144,2195,H0007,1,Introduced,2025-01-09,"An act relating to termination of parental rights in an adoption proceeding","An act relating to termination of parental rights in an adoption proceeding",790,"House Judiciary",2025-01-09,"Read first time and referred to the Committee on Judiciary",https://legiscan.com/VT/bill/H0007/2025,https://legislature.vermont.gov/bill/status/2026/H.7
1904873,2195,H0008,1,Introduced,2025-01-09,"An act relating to a tax credit for home modifications for safety and livability","An act relating to a tax credit for home modifications for safety and livability",793,"House Ways and Means",2025-01-09,"Read first time and referred to the Committee on Ways and Means",https://legiscan.com/VT/bill/H0008/2025,https://legislature.vermont.gov/bill/status/2026/H.8
1905278,2195,H0009,1,Introduced,2025-01-09,"An act relating to the Vermont State and Judiciary Employees’ Cost-Savings Incentive Program","An act relating to the Vermont State and Judiciary Employees’ Cost-Savings Incentive Program",4658,"House Government Operations and Military Affairs",2025-01-09,"Read first time and referred to the Committee on Government Operations and Military Affairs",https://legiscan.com/VT/bill/H0009/2025,https://legislature.vermont.gov/bill/status/2026/H.9
1904827,2195,H0010,4,Passed,2025-05-01,"An act relating to approval of amendments to the charter of the City of Barre","An act relating to approval of amendments to the charter of the City of Barre",0,,2025-05-02,"House message: Governor approved bill on May 1, 2025",https://legiscan.com/VT/bill/H0010/2025,https://legislature.vermont.gov/bill/status/2026/H.10
1905166,2195,H0011,1,Introduced,2025-01-09,"An act relating to consumer protections applicable to broadband and VoIP services","An act relating to consumer protections applicable to broadband and VoIP services",4988,"House Energy and Digital Infrastructure",2025-01-09,"Read first time and referred to the Committee on Energy and Digital Infrastructure",https://legiscan.com/VT/bill/H0011/2025,https://legislature.vermont.gov/bill/status/2026/H.11
1904986,2195,H0012,1,Introduced,2025-01-09,"An act relating to addressing barriers to blenderized tube feeding","An act relating to addressing barriers to blenderized tube feeding",788,"House Health Care",2025-01-09,"Read first time and referred to the Committee on Health Care",https://legiscan.com/VT/bill/H0012/2025,https://legislature.vermont.gov/bill/status/2026/H.12
1905257,2195,H0013,4,Passed,2025-05-13,"An act relating to Medicaid payment rates for community-based service providers","An act relating to Medicaid payment rates for community-based service providers",0,,2025-05-14,"House message: Governor approved bill on May 13, 2025",https://legiscan.com/VT/bill/H0013/2025,https://legislature.vermont.gov/bill/status/2026/H.13
1905053,2195,H0014,1,Introduced,2025-01-09,"An act relating to prohibiting the use of animals in product testing","An act relating to prohibiting the use of animals in product testing",4753,"House Agriculture, Food Resiliency, and Forestry",2025-01-09,"Read first time and referred to the Committee on Agriculture, Food Resiliency, and Forestry",https://legiscan.com/VT/bill/H0014/2025,https://legislature.vermont.gov/bill/status/2026/H.14
