bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1904940,3041856,text,71476,application/pdf,Introduced,https://legiscan.com/VT/text/H0001/id/3041856,https://legislature.vermont.gov/Documents/2026/Docs/BILLS/H-0001/H-0001%20As%20Introduced.pdf
1904940,3180454,text,192248,application/pdf,Engrossed,https://legiscan.com/VT/text/H0001/id/3180454,https://legislature.vermont.gov/Documents/2026/Docs/BILLS/H-0001/H-0001%20As%20passed%20by%20the%20House%20Official.pdf
1904940,3135720,text,141749,application/pdf,Enrolled,https://legiscan.com/VT/text/H0001/id/3135720,https://legislature.vermont.gov/Documents/2026/Docs/BILLS/H-0001/H-0001%20As%20adopted%20by%20the%20House%20Official.pdf
1904940,3248792,text,327782,application/pdf,Enrolled,https://legiscan.com/VT/text/H0001/id/3248792,https://legislature.vermont.gov/Documents/2026/Docs/BILLS/H-0001/H-0001%20As%20Passed%20by%20Both%20House%20and%20Senate%20Official.pdf
1904940,3255925,text,81154,application/pdf,Chaptered,https://legiscan.com/VT/text/H0001/id/3255925,https://legislature.vermont.gov/Documents/2026/Docs/ACTS/ACT044/ACT044%20As%20Enacted.pdf
1905031,3041948,text,70335,application/pdf,Introduced,https://legiscan.com/VT/text/H0002/id/3041948,https://legislature.vermont.gov/Documents/2026/Docs/BILLS/H-0002/H-0002%20As%20Introduced.pdf
1905031,3180886,text,170961,application/pdf,Engrossed,https://legiscan.com/VT/text/H0002/id/3180886,https://legislature.vermont.gov/Documents/2026/Docs/BILLS/H-0002/H-0002%20As%20passed%20by%20the%20House%20Official.pdf
1905031,3192373,text,171219,application/pdf,Enrolled,https://legiscan.com/VT/text/H0002/id/3192373,https://legislature.vermont.gov/Documents/2026/Docs/BILLS/H-0002/H-0002%20As%20Passed%20by%20Both%20House%20and%20Senate%20Official.pdf
1905031,3203341,text,87142,application/pdf,Chaptered,https://legiscan.com/VT/text/H0002/id/3203341,https://legislature.vermont.gov/Documents/2026/Docs/ACTS/ACT004/ACT004%20As%20Enacted.pdf
1905076,3041993,text,8392,application/pdf,Introduced,https://legiscan.com/VT/text/H0003/id/3041993,https://legislature.vermont.gov/Documents/2026/Docs/BILLS/H-0003/H-0003%20As%20Introduced.pdf
1905008,3041925,text,99359,application/pdf,Introduced,https://legiscan.com/VT/text/H0004/id/3041925,https://legislature.vermont.gov/Documents/2026/Docs/BILLS/H-0004/H-0004%20As%20Introduced.pdf
1905211,3042128,text,73929,application/pdf,Introduced,https://legiscan.com/VT/text/H0005/id/3042128,https://legislature.vermont.gov/Documents/2026/Docs/BILLS/H-0005/H-0005%20As%20Introduced.pdf
1904896,3041812,text,10326,application/pdf,Introduced,https://legiscan.com/VT/text/H0006/id/3041812,https://legislature.vermont.gov/Documents/2026/Docs/BILLS/H-0006/H-0006%20As%20Introduced.pdf
1905144,3042061,text,68816,application/pdf,Introduced,https://legiscan.com/VT/text/H0007/id/3042061,https://legislature.vermont.gov/Documents/2026/Docs/BILLS/H-0007/H-0007%20As%20Introduced.pdf
1904873,3041789,text,73553,application/pdf,Introduced,https://legiscan.com/VT/text/H0008/id/3041789,https://legislature.vermont.gov/Documents/2026/Docs/BILLS/H-0008/H-0008%20As%20Introduced.pdf
1905278,3042195,text,88811,application/pdf,Introduced,https://legiscan.com/VT/text/H0009/id/3042195,https://legislature.vermont.gov/Documents/2026/Docs/BILLS/H-0009/H-0009%20As%20Introduced.pdf
1904827,3041743,text,23218,application/pdf,Introduced,https://legiscan.com/VT/text/H0010/id/3041743,https://legislature.vermont.gov/Documents/2026/Docs/BILLS/H-0010/H-0010%20As%20Introduced.pdf
1904827,3192837,text,102408,application/pdf,Engrossed,https://legiscan.com/VT/text/H0010/id/3192837,https://legislature.vermont.gov/Documents/2026/Docs/BILLS/H-0010/H-0010%20As%20passed%20by%20the%20House%20Official.pdf
1904827,3221659,text,104321,application/pdf,Enrolled,https://legiscan.com/VT/text/H0010/id/3221659,https://legislature.vermont.gov/Documents/2026/Docs/BILLS/H-0010/H-0010%20As%20Passed%20by%20Both%20House%20and%20Senate%20Official.pdf
1904827,3233992,text,81650,application/pdf,Chaptered,https://legiscan.com/VT/text/H0010/id/3233992,https://legislature.vermont.gov/Documents/2026/Docs/ACTS/ACTM001/ACTM001%20As%20Enacted.pdf
1905166,3042083,text,121592,application/pdf,Introduced,https://legiscan.com/VT/text/H0011/id/3042083,https://legislature.vermont.gov/Documents/2026/Docs/BILLS/H-0011/H-0011%20As%20Introduced.pdf
1904986,3041903,text,78615,application/pdf,Introduced,https://legiscan.com/VT/text/H0012/id/3041903,https://legislature.vermont.gov/Documents/2026/Docs/BILLS/H-0012/H-0012%20As%20Introduced.pdf
1905257,3042174,text,87933,application/pdf,Introduced,https://legiscan.com/VT/text/H0013/id/3042174,https://legislature.vermont.gov/Documents/2026/Docs/BILLS/H-0013/H-0013%20As%20Introduced.pdf
1905257,3136359,text,235348,application/pdf,Engrossed,https://legiscan.com/VT/text/H0013/id/3136359,https://legislature.vermont.gov/Documents/2026/Docs/BILLS/H-0013/H-0013%20As%20passed%20by%20the%20House%20Official.pdf
1905257,3228705,text,434583,application/pdf,Enrolled,https://legiscan.com/VT/text/H0013/id/3228705,https://legislature.vermont.gov/Documents/2026/Docs/BILLS/H-0013/H-0013%20As%20Passed%20by%20Both%20House%20and%20Senate%20Official.pdf
1905257,3240443,text,81146,application/pdf,Chaptered,https://legiscan.com/VT/text/H0013/id/3240443,https://legislature.vermont.gov/Documents/2026/Docs/ACTS/ACT014/ACT014%20As%20Enacted.pdf
1905053,3041970,text,78527,application/pdf,Introduced,https://legiscan.com/VT/text/H0014/id/3041970,https://legislature.vermont.gov/Documents/2026/Docs/BILLS/H-0014/H-0014%20As%20Introduced.pdf
