bill_id,date,chamber,sequence,action
1904827,2025-01-09,House,1,"Read first time and referred to the Committee on Government Operations and Military Affairs"
1904827,2025-03-20,House,2,"Notice Calendar: Favorable with Amendment"
1904827,2025-03-21,House,3,"Action Calendar: Favorable with Amendment"
1904827,2025-03-21,House,4,"Read second time"
1904827,2025-03-21,House,5,"Rep. Coffin of Cavendish reported for the Committee on Government Operations and Military Affairs"
1904827,2025-03-21,House,6,"Report of Committee on Government Operations and Military Affairs agreed to"
1904827,2025-03-21,House,7,"Third Reading ordered"
1904827,2025-03-25,House,8,"Action Calendar: Third Reading"
1904827,2025-03-25,House,9,"Read third time and passed"
1904827,2025-03-27,Senate,10,"Read 1st time"
1904827,2025-03-27,Senate,11,"Referred to Committee on Government Operations per Temporary Senate Rule 44A"
1904827,2025-04-11,Senate,12,"Second Reading"
1904827,2025-04-11,Senate,13,"Favorable report with proposal of amendment by Committee on Government Operations"
1904827,2025-04-11,Senate,14,"Entered on Notice Calendar"
1904827,2025-04-15,Senate,15,"New Business/Second Reading"
1904827,2025-04-15,Senate,16,"Favorable report with proposal of amendment by Committee on Government Operations"
1904827,2025-04-15,Senate,17,"Read 2nd time, reported favorably with proposal of amendment by Senator Vyhovsky for Committee on Government Operations"
1904827,2025-04-15,Senate,18,"Proposal of amendment by Committee on Government Operations agreed to"
1904827,2025-04-15,Senate,19,"3rd reading ordered"
1904827,2025-04-16,Senate,20,"New Business/Third Reading"
1904827,2025-04-16,Senate,21,"Read 3rd time & passed in concurrence with proposal of amendment"
1904827,2025-04-17,House,22,"Senate Message: Passed in concurrence with proposal of amendment"
1904827,2025-04-18,House,23,"Notice Calendar: Senate Proposal of Amendment"
1904827,2025-04-22,House,24,"Action Calendar: Senate Proposal of Amendment"
1904827,2025-04-22,House,25,"Rep. Coffin of Cavendish moved to postpone action until 4/23/2025, which was agreed to"
1904827,2025-04-23,House,26,"Action Calendar: Action postponed until 4/23/2025"
1904827,2025-04-23,House,27,"Senate proposal of amendment concurred in"
1904827,2025-04-24,Senate,28,"House message: House concurred in Senate proposal of amendment"
1904827,2025-04-25,House,29,"Delivered to the Governor on April 25, 2025"
1904827,2025-05-01,House,30,"Signed by Governor on May 1, 2025"
1904827,2025-05-02,Senate,31,"House message: Governor approved bill on May 1, 2025"
1904850,2025-01-09,House,1,"Read first time and referred to the Committee on Judiciary"
1904873,2025-01-09,House,1,"Read first time and referred to the Committee on Ways and Means"
1904896,2025-01-09,House,1,"Read first time and referred to the Committee on Ways and Means"
1904918,2025-01-09,House,1,"Read first time and referred to the Committee on Judiciary"
1904918,2025-03-11,House,2,"Notice Calendar: Favorable with Amendment"
1904918,2025-03-12,House,3,"Action Calendar: Favorable with Amendment"
1904918,2025-03-12,House,4,"Read second time"
1904918,2025-03-12,House,5,"Rep. Malay of Pittsford reported for the Committee on Judiciary"
1904918,2025-03-12,House,6,"Report of Committee on Judiciary agreed to"
1904918,2025-03-12,House,7,"Third Reading ordered"
1904918,2025-03-13,House,8,"Action Calendar: Third Reading"
1904918,2025-03-13,House,9,"Read third time and passed"
1904918,2025-03-18,Senate,10,"Read 1st time & referred to Committee on Judiciary"
1904918,2025-04-18,Senate,11,"Entered on Notice Calendar"
