bill_id,people_id,position
1904827,25989,1
1904827,26026,2
1904850,2624,1
1904850,11241,2
1904850,20413,3
1904873,24570,1
1904896,17129,1
1904918,22155,1
1904940,17126,4
1904940,17129,1
1904940,18615,3
1904940,18915,2
1904963,18407,1
1904986,22160,2
1904986,22166,1
1905008,16005,1
1905008,24522,2
1905031,16005,4
1905031,17129,1
1905031,22155,3
1905031,24551,2
1905053,24560,1
1905076,23982,1
1905099,18407,1
1905099,24563,2
1905121,2602,6
1905121,2607,9
1905121,2622,14
1905121,2642,22
1905121,2673,31
1905121,2681,33
1905121,2690,37
1905121,11241,7
1905121,15995,17
1905121,17130,32
1905121,19365,1
1905121,20413,19
1905121,20560,52
1905121,20562,42
1905121,20940,20
1905121,20944,35
1905121,21260,21
1905121,22535,36
1905121,22729,43
1905121,23007,26
1905121,23080,53
1905121,23098,27
1905121,23112,24
1905121,24571,51
1905121,24576,3
1905121,24577,13
1905121,24578,18
1905121,24580,29
1905121,24581,41
1905121,25175,47
1905121,25986,2
1905121,25988,4
1905121,25989,5
1905121,25992,8
1905121,25994,10
1905121,25995,11
1905121,25996,12
1905121,25999,15
1905121,26000,16
1905121,26005,23
1905121,26007,25
1905121,26009,28
1905121,26010,30
1905121,26011,34
1905121,26013,38
1905121,26014,39
1905121,26015,40
1905121,26018,44
1905121,26019,45
1905121,26020,46
1905121,26021,48
1905121,26022,49
1905121,26024,50
1905121,26027,54
1905121,26029,55
1905144,17129,1
1905166,17126,1
1905189,2624,1
1905211,17129,2
1905211,24551,1
1905234,16005,3
1905234,22155,2
1905234,24551,1
1905257,17787,1
1905257,18917,2
1905278,23982,1
1905375,11260,1
1905434,11260,1
1905492,17129,1
1905550,11260,1
1905608,11260,1
1905668,2624,1
1905722,11260,1
1905782,2606,3
1905782,2677,8
1905782,18915,5
1905782,19365,6
1905782,23982,4
1905782,23983,9
1905782,24526,7
1905782,24527,10
1905782,24552,2
1905782,24558,1
1905782,26026,11
1905837,2709,1
1905895,11260,1
1905954,11260,1
1906007,11260,1
1907536,16005,3
1907536,22155,2
1907536,24551,1
1908318,11260,1
1908400,17129,1
1908400,24568,2
1908485,17130,2
1908485,18922,1
1908485,24526,3
1908562,2624,1
1908562,18924,2
1908635,17130,2
1908635,18922,1
1908635,24526,3
1908714,17130,2
1908714,18922,1
1908714,24526,3
1908724,17129,2
1908724,24554,1
1910242,20402,1
1910307,2756,1
1910377,2610,1
1910377,20415,3
1910377,26033,2
1910448,20415,4
1910448,22120,1
1910448,23752,2
1910448,23753,3
1910523,24584,1
1910598,2610,1
1910598,20415,7
1910598,20744,4
1910598,20746,3
1910598,23752,2
1910598,23753,5
1910598,24583,6
1914826,24552,1
1914937,2691,5
1914937,22166,1
1914937,23051,3
1914937,24521,4
1914937,24570,2
1915053,22146,1
1915896,2606,5
1915896,2624,11
1915896,2690,27
1915896,16005,31
1915896,17130,23
1915896,18917,28
1915896,18924,16
1915896,19365,15
1915896,20560,34
1915896,20822,8
1915896,20940,14
1915896,20944,25
1915896,22148,7
1915896,22152,32
1915896,22535,26
1915896,22729,29
1915896,23007,19
1915896,23983,22
1915896,24521,13
1915896,24522,9
1915896,24525,24
1915896,24551,3
1915896,24556,10
1915896,24558,1
1915896,24560,18
1915896,24576,4
1915896,24578,12
1915896,24580,2
1915896,25991,6
1915896,26007,17
1915896,26009,20
1915896,26010,21
1915896,26019,30
1915896,26025,33
1915896,26026,35
1917162,11260,1
1917329,20415,4
1917329,22120,1
1917329,23752,2
1917329,23753,3
1917487,17130,2
1917487,18922,1
1917487,24526,3
1917640,20402,1
1919062,2721,11
1919062,22148,2
1919062,22158,14
1919062,23983,8
1919062,24525,9
1919062,24526,7
1919062,24527,10
1919062,24554,3
1919062,24558,1
1919062,24560,5
1919062,24563,6
1919062,26003,4
1919062,26025,12
1919062,26026,13
1919338,17129,2
1919338,26002,1
1919482,19365,1
1919629,2673,1
1919629,22158,10
1919629,24521,6
1919629,24527,9
1919629,25200,5
1919629,25988,2
1919629,25989,3
1919629,25997,4
1919629,26011,7
1919629,26016,8
1919781,18922,1
1920376,20744,1
1920775,20415,6
1920775,20746,1
1920775,22120,5
1920775,22673,3
1920775,23752,2
1920775,26034,4
1920846,2677,11
1920846,2691,13
1920846,2721,2
1920846,11244,1
1920846,16005,15
1920846,18915,6
1920846,18924,9
1920846,22148,4
1920846,22162,3
1920846,24522,7
1920846,24525,12
1920846,24527,14
1920846,24554,5
1920846,24558,8
1920846,24560,10
1921499,2607,3
1921499,2622,4
1921499,2624,5
1921499,2642,10
1921499,2681,18
1921499,2690,21
1921499,11241,2
1921499,17130,17
1921499,19365,9
1921499,20560,29
1921499,20940,7
1921499,20944,19
1921499,21260,8
1921499,22535,20
1921499,22729,24
1921499,23007,13
1921499,24565,14
1921499,24571,28
1921499,24578,6
1921499,24580,1
1921499,26005,11
1921499,26007,12
1921499,26009,15
1921499,26010,16
1921499,26013,22
1921499,26014,23
1921499,26018,25
1921499,26019,26
1921499,26021,27
1923781,2606,3
1923781,2691,11
1923781,20414,4
1923781,22160,7
1923781,23983,10
1923781,24521,8
1923781,24526,9
1923781,24527,13
1923781,24529,12
1923781,24551,2
1923781,24554,1
1923781,24577,6
1923781,25998,5
1924338,2756,2
1924338,20746,1
1924824,2721,1
1924824,22162,2
1924824,23983,5
1924824,24522,3
1924824,24527,7
1924824,24529,6
1924824,24563,4
1925308,2602,12
1925308,2607,1
1925308,2616,19
1925308,2622,21
1925308,2624,24
1925308,2642,31
1925308,2673,46
1925308,2681,47
1925308,2690,4
1925308,11241,13
1925308,11244,16
1925308,17126,65
1925308,18615,56
1925308,18915,17
1925308,18917,55
1925308,18920,32
1925308,18924,34
1925308,19365,29
1925308,20413,26
1925308,20416,5
