bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1894460,2166,HB1000,1,Introduced,2025-01-13,"Expanding the circumstances that may constitute a major violation of the uniform controlled substances act.","Expanding the circumstances that may constitute a major violation of the uniform controlled substances act.",4994,"House Community Safety",2025-01-13,"First reading, referred to Community Safety.",https://legiscan.com/WA/bill/HB1000/2025,https://app.leg.wa.gov/billsummary?BillNumber=1000&Year=2025&Initiative=false
1894457,2166,HB1001,1,Introduced,2025-01-13,"Concerning capital projects for the provision of fire protection services.","Concerning capital projects for the provision of fire protection services.",925,"House Capital Budget",2025-01-30,"Public hearing in the House Committee on Capital Budget at 1:30 PM.",https://legiscan.com/WA/bill/HB1001/2025,https://app.leg.wa.gov/billsummary?BillNumber=1001&Year=2025&Initiative=false
1894521,2166,HB1002,1,Introduced,2025-01-13,"Recognizing posttraumatic stress disorder as an occupational disease for county coroners, examiners, and investigative personnel.","Recognizing posttraumatic stress disorder as an occupational disease for county coroners, examiners, and investigative personnel.",0,,2025-03-19,"Returned to Rules Committee for second reading.",https://legiscan.com/WA/bill/HB1002/2025,https://app.leg.wa.gov/billsummary?BillNumber=1002&Year=2025&Initiative=false
1894519,2166,HB1003,4,Passed,2025-04-11,"Addressing service of notice by mail in cases involving forcible entry and forcible and unlawful detainer.","Addressing service of notice by mail in cases involving forcible entry and forcible and unlawful detainer.",0,,2025-04-11,"Effective date 7/27/2025.",https://legiscan.com/WA/bill/HB1003/2025,https://app.leg.wa.gov/billsummary?BillNumber=1003&Year=2025&Initiative=false
1894467,2166,HB1004,1,Introduced,2025-01-13,"Increasing the personal property tax exemption.","Increasing the personal property tax exemption.",943,"House Rules",2025-01-27,"Referred to Rules 2 Review.",https://legiscan.com/WA/bill/HB1004/2025,https://app.leg.wa.gov/billsummary?BillNumber=1004&Year=2025&Initiative=false
1894498,2166,HB1005,1,Introduced,2025-01-13,"Concerning prearrangement funeral services.","Concerning prearrangement funeral services.",943,"House Rules",2025-01-23,"Referred to Rules 2 Review.",https://legiscan.com/WA/bill/HB1005/2025,https://app.leg.wa.gov/billsummary?BillNumber=1005&Year=2025&Initiative=false
1894501,2166,HB1006,4,Passed,2025-04-16,"Regulating service contracts and protection product guarantees.","Regulating service contracts and protection product guarantees.",0,,2025-04-16,"Effective date 7/27/2025.",https://legiscan.com/WA/bill/HB1006/2025,https://app.leg.wa.gov/billsummary?BillNumber=1006&Year=2025&Initiative=false
1894525,2166,HB1007,4,Passed,2025-04-11,"Concerning requisites of notice in small claims actions.","Concerning requisites of notice in small claims actions.",0,,2025-04-11,"Effective date 7/27/2025.",https://legiscan.com/WA/bill/HB1007/2025,https://app.leg.wa.gov/billsummary?BillNumber=1007&Year=2025&Initiative=false
1894505,2166,HB1008,1,Introduced,2025-01-13,"Concerning county local roads.","Concerning county local roads.",1714,"House Local Government",2025-01-13,"First reading, referred to Local Government.",https://legiscan.com/WA/bill/HB1008/2025,https://app.leg.wa.gov/billsummary?BillNumber=1008&Year=2025&Initiative=false
1894549,2166,HB1009,4,Passed,2025-05-12,"Adjusting the membership of the pharmacy quality assurance commission.","Adjusting the membership of the pharmacy quality assurance commission.",0,,2025-05-12,"Effective date 7/27/2025.",https://legiscan.com/WA/bill/HB1009/2025,https://app.leg.wa.gov/billsummary?BillNumber=1009&Year=2025&Initiative=false
1894567,2166,HB1010,1,Introduced,2025-01-13,"Authorizing accessory dwelling units in rural areas.","Authorizing accessory dwelling units in rural areas.",4673,"House Housing",2025-01-13,"First reading, referred to Housing.",https://legiscan.com/WA/bill/HB1010/2025,https://app.leg.wa.gov/billsummary?BillNumber=1010&Year=2025&Initiative=false
1894581,2166,HB1011,1,Introduced,2025-01-13,"Creating a school safety capital grant program.","Creating a school safety capital grant program.",925,"House Capital Budget",2025-01-30,"Public hearing in the House Committee on Capital Budget at 1:30 PM.",https://legiscan.com/WA/bill/HB1011/2025,https://app.leg.wa.gov/billsummary?BillNumber=1011&Year=2025&Initiative=false
1894807,2166,HB1012,4,Passed,2025-04-29,"Authorizing the women's commission to solicit gifts, grants, and endowments from public or private sources.","Authorizing the women's commission to solicit gifts, grants, and endowments from public or private sources.",0,,2025-04-29,"Effective date 7/27/2025.",https://legiscan.com/WA/bill/HB1012/2025,https://app.leg.wa.gov/billsummary?BillNumber=1012&Year=2025&Initiative=false
1894805,2166,HB1013,4,Passed,2025-04-21,"Concerning exemption of certain personnel of the department of social and health services from civil service.","Concerning exemption of certain personnel of the department of social and health services from civil service.",0,,2025-04-21,"Effective date 7/27/2025.",https://legiscan.com/WA/bill/HB1013/2025,https://app.leg.wa.gov/billsummary?BillNumber=1013&Year=2025&Initiative=false
1894789,2166,HB1014,4,Passed,2025-05-13,"Implementing recommendations of the 2023 child support schedule work group.","Implementing recommendations of the 2023 child support schedule work group.",0,,2025-05-13,"Effective date 7/27/2025*.",https://legiscan.com/WA/bill/HB1014/2025,https://app.leg.wa.gov/billsummary?BillNumber=1014&Year=2025&Initiative=false
1894811,2166,HB1015,1,Introduced,2025-01-13,"Concerning energy labeling of residential buildings.","Concerning energy labeling of residential buildings.",0,,2025-03-19,"Returned to Rules Committee for second reading.",https://legiscan.com/WA/bill/HB1015/2025,https://app.leg.wa.gov/billsummary?BillNumber=1015&Year=2025&Initiative=false
1894791,2166,HB1016,1,Introduced,2025-01-13,"Providing employer tax incentives for the support of veterans and military families.","Providing employer tax incentives for the support of veterans and military families.",933,"House Finance",2025-02-04,"Public hearing in the House Committee on Finance at 8:00 AM.",https://legiscan.com/WA/bill/HB1016/2025,https://app.leg.wa.gov/billsummary?BillNumber=1016&Year=2025&Initiative=false
1895051,2166,HB1017,1,Introduced,2025-01-13,"Designating kimchi day.","Designating kimchi day.",943,"House Rules",2025-01-20,"Referred to Rules 2 Review.",https://legiscan.com/WA/bill/HB1017/2025,https://app.leg.wa.gov/billsummary?BillNumber=1017&Year=2025&Initiative=false
1895034,2166,HB1018,4,Passed,2025-05-13,"Adding fusion energy to facilities that may obtain site certification for the purposes of chapter 80.50 RCW.","Adding fusion energy to facilities that may obtain site certification for the purposes of chapter 80.50 RCW.",0,,2025-05-13,"Effective date 7/27/2025.",https://legiscan.com/WA/bill/HB1018/2025,https://app.leg.wa.gov/billsummary?BillNumber=1018&Year=2025&Initiative=false
1895056,2166,HB1019,1,Introduced,2025-01-13,"Concerning tax incentives for farmers.","Concerning tax incentives for farmers.",933,"House Finance",2025-02-06,"Public hearing in the House Committee on Finance at 1:30 PM.",https://legiscan.com/WA/bill/HB1019/2025,https://app.leg.wa.gov/billsummary?BillNumber=1019&Year=2025&Initiative=false
1895018,2166,HB1020,1,Introduced,2025-01-13,"Increasing the accessibility of academic reengagement opportunities for eligible students.","Increasing the accessibility of academic reengagement opportunities for eligible students.",930,"House Education",2025-01-13,"First reading, referred to Education.",https://legiscan.com/WA/bill/HB1020/2025,https://app.leg.wa.gov/billsummary?BillNumber=1020&Year=2025&Initiative=false
1895012,2166,HB1021,1,Introduced,2025-01-13,"Promoting educational stability for children of military families.","Promoting educational stability for children of military families.",930,"House Education",2025-01-13,"First reading, referred to Education.",https://legiscan.com/WA/bill/HB1021/2025,https://app.leg.wa.gov/billsummary?BillNumber=1021&Year=2025&Initiative=false
1895042,2166,HB1022,1,Introduced,2025-01-13,"Creating a homes for heroes program.","Creating a homes for heroes program.",925,"House Capital Budget",2025-02-20,"Public hearing in the House Committee on Capital Budget at 1:30 PM.",https://legiscan.com/WA/bill/HB1022/2025,https://app.leg.wa.gov/billsummary?BillNumber=1022&Year=2025&Initiative=false
1895027,2166,HB1023,4,Passed,2025-05-12,"Adopting the cosmetology licensure compact.","Adopting the cosmetology licensure compact.",0,,2025-05-12,"Effective date 6/1/2028.",https://legiscan.com/WA/bill/HB1023/2025,https://app.leg.wa.gov/billsummary?BillNumber=1023&Year=2025&Initiative=false
1895004,2166,HB1024,4,Passed,2025-04-07,"Concerning the leasing authority of the state parks and recreation commission at St. Edward State Park.","Concerning the leasing authority of the state parks and recreation commission at St. Edward State Park.",0,,2025-04-07,"Effective date 7/27/2025.",https://legiscan.com/WA/bill/HB1024/2025,https://app.leg.wa.gov/billsummary?BillNumber=1024&Year=2025&Initiative=false
