bill_id,date,chamber,sequence,action
1894455,2024-12-02,Senate,1,"Prefiled for introduction."
1894455,2025-01-13,Senate,2,"First reading, referred to State Government, Tribal Affairs & Elections."
1894457,2024-12-02,House,1,"Prefiled for introduction."
1894457,2025-01-13,House,2,"First reading, referred to Capital Budget."
1894457,2025-01-30,House,3,"Public hearing in the House Committee on Capital Budget at 1:30 PM."
1894460,2024-12-02,House,1,"Prefiled for introduction."
1894460,2025-01-13,House,2,"First reading, referred to Community Safety."
1894462,2024-12-02,Senate,1,"Prefiled for introduction."
1894462,2025-01-13,Senate,2,"First reading, referred to Early Learning & K-12 Education."
1894462,2025-01-15,Senate,3,"Public hearing in the Senate Committee on Early Learning & K-12 Education at 1:30 PM."
1894467,2024-12-03,House,1,"Prefiled for introduction."
1894467,2025-01-13,House,2,"First reading, referred to Finance."
1894467,2025-01-16,House,3,"Public hearing in the House Committee on Finance at 1:30 PM."
1894467,2025-01-23,House,4,"Executive action taken in the House Committee on Finance at 1:30 PM."
1894467,2025-01-23,House,5,"FIN - Majority; do pass."
1894467,2025-01-23,House,6,"Minority; do not pass."
1894467,2025-01-27,House,7,"Referred to Rules 2 Review."
1894469,2024-12-02,Senate,1,"Prefiled for introduction."
1894469,2025-01-13,Senate,2,"First reading, referred to State Government, Tribal Affairs & Elections."
1894469,2025-01-14,Senate,3,"Public hearing in the Senate Committee on State Government, Tribal Affairs & Elections at 1:30 PM."
1894469,2025-01-17,Senate,4,"Executive action taken in the Senate Committee on State Government, Tribal Affairs & Elections at 10:30 AM."
1894469,2025-01-17,Senate,5,"SGTE - Majority; do pass."
1894469,2025-01-21,Senate,6,"Passed to Rules Committee for second reading."
1894469,2025-01-29,Senate,7,"Placed on second reading by Rules Committee."
1894469,2025-02-05,Senate,8,"Rules suspended. Placed on Third Reading."
1894469,2025-02-05,Senate,9,"Third reading, passed; yeas, 49; nays, 0; absent, 0; excused, 0."
1894469,2025-02-07,House,10,"First reading, referred to State Government & Tribal Relations."
1894469,2025-03-14,House,11,"Public hearing in the House Committee on State Government & Tribal Relations at 8:15 AM."
1894469,2025-04-27,Senate,12,"By resolution, returned to Senate Rules Committee for third reading."
1894473,2024-12-03,Senate,1,"Prefiled for introduction."
1894473,2025-01-13,Senate,2,"First reading, referred to State Government, Tribal Affairs & Elections."
1894473,2025-01-17,Senate,3,"Public hearing in the Senate Committee on State Government, Tribal Affairs & Elections at 10:30 AM."
1894473,2025-01-24,Senate,4,"Executive action taken in the Senate Committee on State Government, Tribal Affairs & Elections at 10:30 AM."
1894473,2025-01-24,Senate,5,"SGTE - Majority; do pass."
1894473,2025-01-24,Senate,6,"And refer to Ways & Means."
1894473,2025-01-28,Senate,7,"Referred to Ways & Means."
1894473,2025-02-03,Senate,8,"Public hearing in the Senate Committee on Ways & Means at 4:00 PM."
1894477,2024-12-02,Senate,1,"Prefiled for introduction."
1894477,2025-01-13,Senate,2,"First reading, referred to Human Services."
1894477,2025-01-21,Senate,3,"Public hearing in the Senate Committee on Human Services at 1:30 PM."
1894477,2025-01-29,Senate,4,"Executive action taken in the Senate Committee on Human Services at 8:00 AM."
1894477,2025-01-29,Senate,5,"HS - Majority; 1st substitute bill be substituted, do pass."
1894477,2025-01-29,Senate,6,"And refer to Ways & Means."
1894477,2025-01-29,Senate,7,"Minority; do not pass."
1894477,2025-01-30,Senate,8,"Referred to Ways & Means."
1894482,2024-12-03,Senate,1,"Prefiled for introduction."
1894482,2025-01-13,Senate,2,"First reading, referred to Early Learning & K-12 Education."
1894485,2024-12-03,Senate,1,"Prefiled for introduction."
1894485,2025-01-13,Senate,2,"First reading, referred to Law & Justice."
1894485,2025-01-14,Senate,3,"Public hearing in the Senate Committee on Law & Justice at 8:00 AM."
1894485,2025-01-16,Senate,4,"Executive action taken in the Senate Committee on Law & Justice at 10:30 AM."
1894485,2025-01-16,Senate,5,"LAW - Majority; do pass."
1894485,2025-01-17,Senate,6,"Passed to Rules Committee for second reading."
1894485,2025-01-29,Senate,7,"Placed on second reading consent calendar."
1894485,2025-02-05,Senate,8,"Rules suspended. Placed on Third Reading."
1894485,2025-02-05,Senate,9,"Third reading, passed; yeas, 49; nays, 0; absent, 0; excused, 0."
1894485,2025-02-07,House,10,"First reading, referred to Civil Rights & Judiciary."
1894485,2025-03-14,House,11,"Public hearing in the House Committee on Civil Rights & Judiciary at 10:30 AM."
1894485,2025-03-19,House,12,"Executive action taken in the House Committee on Civil Rights & Judiciary at 8:00 AM."
1894485,2025-03-19,House,13,"CRJ - Majority; do pass."
1894485,2025-03-19,House,14,"Minority; without recommendation."
1894485,2025-03-21,House,15,"Referred to Rules 2 Review."
1894485,2025-03-25,House,16,"Rules Committee relieved of further consideration. Placed on second reading."
1894485,2025-03-26,House,17,"Rules suspended. Placed on Third Reading."
1894485,2025-03-26,House,18,"Third reading, passed; yeas, 92; nays, 6; absent, 0; excused, 0."
1894485,2025-03-28,Senate,19,"President signed."
1894485,2025-03-31,House,20,"Speaker signed."
1894485,2025-04-01,Senate,21,"Delivered to Governor."
1894485,2025-04-04,Senate,22,"Governor signed."
1894485,2025-04-04,Senate,23,"Chapter 4, 2025 Laws."
1894485,2025-04-04,Senate,24,"Effective date 7/27/2025."
1894487,2024-12-02,Senate,1,"Prefiled for introduction."
1894487,2025-01-13,Senate,2,"First reading, referred to Law & Justice."
1894492,2024-12-03,Senate,1,"Prefiled for introduction."
1894492,2025-01-13,Senate,2,"First reading, referred to Early Learning & K-12 Education."
1894492,2025-01-23,Senate,3,"Public hearing in the Senate Committee on Early Learning & K-12 Education at 10:30 AM."
