bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1894467,1474386,2025-01-23,House,"House Committee on Finance: do pass",14,1,0,0,15
1894469,1472479,2025-01-17,Senate,"Senate Committee on State Government, Tribal Affairs & Elections: do pass",7,0,0,0,7
1894469,1482680,2025-02-05,Senate,"Senate 3rd Reading & Final Passage",49,0,0,0,49
1894473,1474913,2025-01-24,Senate,"Senate Committee on State Government, Tribal Affairs & Elections: do pass",9,0,0,0,9
1894477,1477296,2025-01-29,Senate,"Senate Committee on Human Services: 1st substitute bill be substituted, do pass",2,2,0,0,4
1894485,1471953,2025-01-16,Senate,"Senate Committee on Law & Justice: do pass",9,0,0,0,9
1894485,1482531,2025-02-05,Senate,"Senate 3rd Reading & Final Passage",49,0,0,0,49
1894485,1522830,2025-03-19,House,"House Committee on Civil Rights & Judiciary: do pass",10,0,3,0,13
1894485,1528191,2025-03-26,House,"House 3rd Reading & Final Passage",92,6,0,0,98
1894492,1482621,2025-02-05,Senate,"Senate Committee on Early Learning & K-12 Education: 1st substitute bill be substituted, do pass",9,0,0,0,9
1894492,1502204,2025-02-27,Senate,"Senate Committee on Ways & Means: do pass 1st substitute bill proposed by Early Learning &amp; K-12 Education",24,0,0,0,24
1894492,1508781,2025-03-07,Senate,"Senate 3rd Reading & Final Passage",49,0,0,0,49
1894492,1540771,2025-04-08,House,"House Committee on Appropriations: do pass with amendment(s)",31,0,0,0,31
1894492,1548028,2025-04-14,House,"House Final Passage as Amended by the House",96,0,0,2,98
1894492,1551923,2025-04-17,Senate,"Senate Final Passage as Amended by the House",49,0,0,0,49
1894495,1492412,2025-02-18,Senate,"Senate Committee on Early Learning & K-12 Education: do pass",8,0,1,0,9
1894498,1473011,2025-01-21,House,"House Committee on Consumer Protection & Business: do pass",15,0,0,0,15
1894501,1473301,2025-01-21,House,"House Committee on Consumer Protection & Business: do pass",15,0,0,0,15
1894501,1477883,2025-01-30,House,"House 3rd Reading & Final Passage",96,0,0,2,98
1894501,1528439,2025-03-26,Senate,"Senate Committee on Business, Financial Services & Trade: do pass",9,0,0,0,9
1894501,1537734,2025-04-05,Senate,"Senate 3rd Reading & Final Passage",48,0,0,1,49
1894509,1477933,2025-01-30,Senate,"Senate Committee on Early Learning & K-12 Education: 1st substitute bill be substituted, do pass",9,0,0,0,9
1894509,1488534,2025-02-12,Senate,"Senate 3rd Reading & Final Passage",49,0,0,0,49
1894509,1523635,2025-03-20,House,"House Committee on Education: do pass with amendment(s)",18,0,0,0,18
1894509,1527433,2025-03-26,House,"House Final Passage as Amended by the House",98,0,0,0,98
1894509,1551887,2025-04-17,Senate,"Senate Final Passage as Amended by the House",49,0,0,0,49
1894519,1472110,2025-01-16,House,"House Committee on Housing: do pass",14,1,1,0,16
1894519,1483281,2025-02-06,House,"House 3rd Reading & Final Passage",91,5,0,2,98
1894519,1523138,2025-03-19,Senate,"Senate Committee on Housing: do pass",7,0,0,0,7
1894519,1536213,2025-04-03,Senate,"Senate 3rd Reading & Final Passage",48,0,0,1,49
1894521,1478976,2025-01-31,House,"House Committee on Labor & Workplace Standards: do pass",7,0,2,0,9
1894525,1482286,2025-02-04,House,"House Committee on Civil Rights & Judiciary: do pass",11,0,0,0,11
1894525,1489228,2025-02-13,House,"House 3rd Reading & Final Passage",93,0,0,5,98
1894525,1524173,2025-03-20,Senate,"Senate Committee on Law & Justice: do pass",9,0,0,0,9
1894525,1535180,2025-04-02,Senate,"Senate 3rd Reading & Final Passage",49,0,0,0,49
1894549,1472192,2025-01-17,House,"House Committee on Health Care & Wellness: do pass",17,0,0,0,17
1894549,1477884,2025-01-30,House,"House 3rd Reading & Final Passage",96,0,0,2,98
1894549,1518463,2025-03-14,Senate,"Senate Committee on Health & Long-Term Care: do pass with amendment(s)",11,0,0,0,11
1894549,1527992,2025-03-26,Senate,"Senate 3rd Reading & Final Passage as Amended by the Senate",49,0,0,0,49
1894549,1552382,2025-04-19,House,"House Final Passage as Amended by the Senate",95,0,0,3,98
1894789,1473335,2025-01-22,House,"House Committee on Civil Rights & Judiciary: do pass",11,0,2,0,13
1894789,1515428,2025-03-11,House,"House 3rd Reading & Final Passage",93,3,0,2,98
1894789,1533480,2025-04-01,Senate,"Senate Committee on Law & Justice: do pass",9,0,0,0,9
1894789,1549643,2025-04-16,Senate,"Senate 3rd Reading & Final Passage",48,1,0,0,49
1894795,1486085,2025-02-07,Senate,"Senate Committee on State Government, Tribal Affairs & Elections: 1st substitute bill be substituted, do pass",9,0,0,0,9
1894795,1499008,2025-02-25,Senate,"Senate 3rd Reading & Final Passage",49,0,0,0,49
1894795,1535371,2025-04-01,House,"House Committee on State Government & Tribal Relations: do pass with amendment(s)",7,0,0,0,7
1894795,1550616,2025-04-16,House,"House Final Passage as Amended by the House",97,0,0,1,98
1894795,1552536,2025-04-21,Senate,"Senate Final Passage as Amended by the House",48,0,0,0,48
1894801,1474470,2025-01-23,House,"House Committee on Finance: do pass",14,0,1,0,15
1894805,1472256,2025-01-17,House,"House Committee on State Government & Tribal Relations: do pass",6,0,0,0,6
1894805,1477886,2025-01-30,House,"House 3rd Reading & Final Passage",96,0,0,2,98
1894805,1525046,2025-03-21,Senate,"Senate Committee on State Government, Tribal Affairs & Elections: do pass",7,0,1,0,8
1894805,1542649,2025-04-09,Senate,"Senate 3rd Reading & Final Passage",49,0,0,0,49
1894807,1472484,2025-01-17,House,"House Committee on State Government & Tribal Relations: do pass",6,0,0,0,6
1894807,1477885,2025-01-30,House,"House 3rd Reading & Final Passage",77,19,0,2,98
1894807,1525326,2025-03-21,Senate,"Senate Committee on State Government, Tribal Affairs & Elections: do pass",5,1,2,0,8
1894807,1550720,2025-04-16,Senate,"Senate 3rd Reading & Final Passage",32,16,0,1,49
1894811,1474715,2025-01-24,House,"House Committee on Local Government: 1st substitute bill be substituted, do pass",4,3,0,0,7
1894933,1474014,2025-01-22,Senate,"Senate Committee on Business, Financial Services & Trade: do pass",9,0,0,0,9
1894933,1482668,2025-02-05,Senate,"Senate 3rd Reading & Final Passage",49,0,0,0,49
1895004,1477235,2025-01-27,House,"House Committee on Environment & Energy: 1st substitute bill be substituted, do pass",20,0,0,0,20
1895004,1496773,2025-02-20,House,"House Committee on Capital Budget: 2nd substitute bill be substituted, do pass",19,0,0,0,19
1895004,1503676,2025-03-03,House,"House 3rd Reading & Final Passage",97,0,0,1,98
1895004,1517880,2025-03-13,Senate,"Senate Committee on Local Government: do pass",5,0,0,0,5
1895004,1528053,2025-03-26,Senate,"Senate 3rd Reading & Final Passage",49,0,0,0,49
1895027,1473330,2025-01-21,House,"House Committee on Postsecondary Education & Workforce: do pass",17,0,0,0,17
1895027,1486566,2025-02-05,House,"House Committee on Appropriations: 1st substitute bill be substituted, do pass",31,0,0,0,31
1895027,1508961,2025-03-07,House,"House 3rd Reading & Final Passage",96,1,0,1,98
1895027,1508962,2025-03-07,House,"House Final Passage on Reconsideration",97,0,0,1,98
1895027,1533992,2025-04-01,Senate,"Senate Committee on Labor & Commerce: do pass with amendment(s)",7,0,2,0,9
1895027,1549928,2025-04-16,Senate,"Senate 3rd Reading & Final Passage as Amended by the Senate",49,0,0,0,49
1895027,1552366,2025-04-19,House,"House Final Passage as Amended by the Senate",95,0,0,3,98
1895034,1475712,2025-01-27,House,"House Committee on Environment & Energy: do pass",20,0,0,0,20
1895034,1483193,2025-02-06,House,"House 3rd Reading & Final Passage",95,1,0,2,98
1895034,1519055,2025-03-14,Senate,"Senate Committee on Environment, Energy & Technology: do pass with amendment(s)",9,0,0,0,9
1895034,1527563,2025-03-26,Senate,"Senate 3rd Reading & Final Passage as Amended by the Senate",49,0,0,0,49
1895034,1552358,2025-04-19,House,"House Final Passage as Amended by the Senate",94,1,0,3,98
1895042,1472137,2025-01-16,House,"House Committee on Housing: 1st substitute bill be substituted, do pass",15,0,1,0,16
1895051,1472214,2025-01-17,House,"House Committee on State Government & Tribal Relations: do pass",6,0,0,0,6
1895077,1483549,2025-02-06,Senate,"Senate Committee on Health & Long-Term Care: 1st substitute bill be substituted, do pass",11,0,0,0,11
1895099,1472399,2025-01-17,Senate,"Senate Committee on State Government, Tribal Affairs & Elections: 1st substitute bill be substituted, do pass",6,0,1,0,7
1895099,1488415,2025-02-12,Senate,"Senate 3rd Reading & Final Passage",39,10,0,0,49
1895099,1535437,2025-04-01,House,"House Committee on State Government & Tribal Relations: do pass with amendment(s)",4,3,0,0,7
1895727,1472227,2025-01-17,House,"House Committee on State Government & Tribal Relations: do pass",5,1,0,0,6
