bill_id,people_id,position
1894455,3500,6
1894455,3509,4
1894455,3523,9
1894455,18499,5
1894455,18524,3
1894455,18538,8
1894455,19455,2
1894455,22323,7
1894455,22324,1
1894457,3534,4
1894457,16740,6
1894457,22283,1
1894457,22370,5
1894457,23812,3
1894457,23823,2
1894460,16740,7
1894460,18045,1
1894460,22208,3
1894460,23812,8
1894460,23814,4
1894460,23817,5
1894460,26291,6
1894460,26294,2
1894462,3500,9
1894462,3523,13
1894462,3525,7
1894462,3617,11
1894462,10551,6
1894462,16130,2
1894462,18499,4
1894462,19513,12
1894462,20599,10
1894462,20687,5
1894462,22255,3
1894462,22324,14
1894462,23822,1
1894462,25509,8
1894467,3570,10
1894467,10939,3
1894467,13684,12
1894467,14812,13
1894467,18500,2
1894467,18514,14
1894467,20603,1
1894467,20629,5
1894467,20639,9
1894467,22382,11
1894467,23820,6
1894467,23830,7
1894467,26296,4
1894467,26298,8
1894469,3500,10
1894469,3523,15
1894469,14829,4
1894469,16130,3
1894469,17795,7
1894469,18499,6
1894469,18524,2
1894469,18538,12
1894469,19399,13
1894469,19513,14
1894469,20687,8
1894469,22255,5
1894469,22323,11
1894469,22324,1
1894469,25509,9
1894473,18499,3
1894473,19399,5
1894473,22255,2
1894473,22324,1
1894473,25509,4
1894477,3516,7
1894477,3525,3
1894477,3531,4
1894477,17795,2
1894477,18501,10
1894477,18538,1
1894477,19399,9
1894477,20599,8
1894477,20600,11
1894477,21251,5
1894477,22323,6
1894482,3500,3
1894482,16130,2
1894482,18499,1
1894485,3577,1
1894485,14815,2
1894485,18501,4
1894485,22323,3
1894487,3500,2
1894487,18499,1
1894492,3509,5
1894492,3523,19
1894492,3553,16
1894492,3605,10
1894492,3617,14
1894492,10551,9
1894492,14828,1
1894492,16130,4
1894492,18501,2
1894492,18534,17
1894492,19513,18
1894492,20614,15
1894492,20687,8
1894492,21251,12
1894492,22255,7
1894492,22256,3
1894492,22323,13
1894492,22324,20
1894492,25509,11
1894492,26301,6
1894495,3523,12
1894495,3605,7
1894495,10551,6
1894495,14822,9
1894495,14828,1
1894495,18501,2
1894495,19455,4
1894495,19513,11
1894495,20600,13
1894495,22255,5
1894495,22323,8
1894495,22324,14
1894495,23004,10
1894495,26301,3
1894498,10939,1
1894498,18514,3
1894498,20870,2
1894501,10939,1
1894501,18514,3
1894501,23817,2
1894505,17893,2
1894505,19463,3
1894505,23816,1
1894509,3500,6
1894509,3617,8
1894509,10551,4
1894509,16130,2
1894509,20599,7
1894509,22255,3
1894509,22324,9
1894509,23822,1
1894509,25509,5
1894512,3523,9
1894512,3605,5
1894512,10551,4
1894512,14822,7
1894512,14828,1
1894512,18501,2
1894512,19513,8
1894512,22255,3
1894512,22323,6
1894512,22324,10
1894514,18499,3
1894514,19513,5
1894514,22255,2
1894514,22324,1
1894514,25509,4
1894519,16715,5
1894519,17893,2
1894519,22208,3
1894519,22283,1
1894519,23813,4
1894519,26289,6
1894521,3570,7
1894521,13684,8
1894521,18498,5
1894521,20601,4
1894521,20619,2
1894521,20620,9
1894521,22283,1
1894521,23750,6
1894521,26294,3
1894521,26299,10
1894525,3570,5
1894525,19463,4
1894525,20629,3
1894525,22379,2
1894525,23816,1
1894549,19463,3
1894549,21492,2
1894549,23816,1
1894567,3566,10
1894567,13047,9
1894567,17893,3
1894567,20603,2
1894567,20639,7
1894567,22208,5
1894567,23750,8
1894567,23813,4
1894567,23814,6
1894567,23816,1
1894567,25363,11
1894567,26289,12
1894581,13684,6
1894581,16740,5
1894581,17893,2
1894581,19463,3
1894581,22208,1
1894581,23817,4
1894789,3566,5
1894789,14812,4
1894789,20629,2
1894789,23750,3
1894789,23820,1
1894789,26289,6
1894791,3534,9
1894791,16740,10
1894791,19463,6
1894791,20601,8
1894791,20603,3
1894791,22208,5
1894791,22283,1
1894791,23817,7
1894791,23830,2
1894791,26294,4
1894795,3525,5
1894795,3531,6
1894795,14822,8
1894795,18501,10
1894795,18524,3
1894795,19399,9
1894795,20686,1
1894795,22255,4
1894795,22256,2
1894795,22323,7
1894799,3553,7
1894799,10551,6
1894799,16130,3
1894799,18499,5
1894799,18524,2
1894799,19513,8
1894799,20686,1
1894799,22255,4
1894799,22324,9
1894801,10939,3
1894801,20603,2
1894801,20629,6
1894801,23820,1
1894801,23830,5
1894801,26296,4
1894805,18514,4
1894805,22252,3
1894805,23820,1
1894805,23829,2
1894807,3566,16
1894807,10939,3
1894807,13684,12
1894807,14812,13
1894807,16131,8
1894807,16164,9
1894807,18498,7
1894807,18514,19
1894807,18531,5
1894807,20604,17
1894807,21439,14
1894807,22257,10
1894807,22284,15
1894807,22379,1
1894807,23385,2
1894807,23818,4
1894807,23821,11
1894807,23898,6
1894807,26289,20
1894807,26296,18
1894811,10543,6
1894811,10939,3
1894811,13684,11
1894811,16715,10
1894811,18498,8
1894811,18529,12
1894811,18531,7
1894811,21439,1
1894811,21492,2
1894811,22252,4
1894811,22257,9
1894811,23818,5
1894811,26296,13
1894822,22283,1
1894850,18501,4
1894850,19399,2
1894850,22323,3
1894850,22324,1
1894933,18283,1
1895004,10939,3
1895004,13684,5
1895004,18529,1
1895004,20620,6
1895004,21439,2
1895004,22252,4
1895012,10939,2
1895012,16715,7
1895012,18514,8
1895012,20601,4
1895012,20603,3
1895012,22257,6
1895012,23003,9
1895012,23750,5
1895012,23830,1
1895018,13684,4
1895018,20620,5
1895018,23818,2
1895018,23829,3
1895018,23830,1
1895027,10939,1
1895027,18498,7
1895027,18514,10
1895027,19463,6
1895027,20603,2
1895027,22208,4
1895027,22257,8
1895027,22284,9
1895027,23003,11
1895027,23818,5
1895027,23820,3
1895034,10543,5
1895034,10552,8
1895034,10939,2
1895034,13047,11
1895034,16131,9
1895034,16715,10
1895034,20603,6
1895034,22370,7
1895034,23812,3
1895034,23818,4
1895034,23830,1
1895042,16715,16
1895042,17893,4
1895042,18514,17
1895042,19463,13
1895042,22253,9
1895042,22257,15
1895042,22379,7
1895042,23811,11
1895042,23812,8
1895042,23813,1
1895042,23816,3
1895042,23817,2
1895042,23818,10
1895042,23820,5
1895042,23829,14
1895042,23830,12
1895042,26294,6
1895051,3566,15
1895051,10552,8
1895051,10939,1
1895051,16131,13
1895051,16164,9
1895051,16715,11
1895051,18514,17
1895051,20603,3
1895051,20872,5
1895051,21439,12
1895051,22252,4
1895051,22257,10
1895051,22284,14
1895051,23003,18
1895051,23385,2
1895051,23818,6
1895051,23898,7
1895051,26289,19
1895051,26299,16
1895056,13047,2
1895056,18514,5
1895056,18529,3
1895056,23829,4
1895056,23830,1
1895061,22324,1
1895077,10551,5
1895077,14822,6
1895077,16130,3
1895077,18501,9
1895077,18524,1
1895077,18534,8
1895077,18538,7
1895077,19455,4
1895077,22256,2
1895099,3531,3
1895099,3577,4
1895099,18501,7
1895099,18538,5
1895099,19455,2
1895099,22323,1
1895099,23004,6
1895716,3500,5
1895716,3525,3
1895716,14815,4
1895716,16130,2
1895716,18499,1
1895716,22324,6
1895727,18514,4
1895727,19463,3
1895727,23385,2
1895727,23816,1
1895727,26289,5
1895739,3507,2
1895739,19463,5
1895739,22208,4
1895739,22283,1
1895739,23817,6
1895739,26287,3
1895748,22208,1
1895748,23814,4
1895748,26287,3
1895748,26294,2
1895759,19455,2
1895759,19513,1
1895759,22255,3
1895759,22324,4
1895771,3507,2
1895771,3534,8
