bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1950234,2197,AB1,5,Vetoed,2025-03-28,"Changes to the educational assessment program and the school and school district accountability report. (FE)","An Act to renumber and amend 115.385 (1) (b); to amend 115.385 (1) (c); to create 115.385 (1) (b) 2m. and 118.30 (1j) of the statutes; Relating to: changes to the educational assessment program and the school and school district accountability report. (FE)",0,,2025-03-28,"Report vetoed by the Governor on 3-28-2025",https://legiscan.com/WI/bill/AB1/2025,https://docs.legis.wisconsin.gov/2025/proposals/reg/asm/bill/ab1
1952554,2197,AB2,2,Engrossed,2025-02-19,"Requiring school boards to adopt policies to prohibit the use of wireless communication devices during instructional time.","An Act to amend 119.04 (1); to create 120.12 (29) of the statutes; Relating to: requiring school boards to adopt policies to prohibit the use of wireless communication devices during instructional time.",0,,2025-04-11,"Available for scheduling",https://legiscan.com/WI/bill/AB2/2025,https://docs.legis.wisconsin.gov/2025/proposals/reg/asm/bill/ab2
1952847,2197,AB3,2,Engrossed,2025-02-19,"Incorporating cursive writing into the state model English language arts standards and requiring cursive writing in elementary grades. (FE)","An Act to create 115.28 (55p), 118.40 (2r) (b) 2. m., 118.40 (2x) (b) 2. m., 118.60 (2) (a) 10., 119.23 (2) (a) 10. and 121.02 (1) (k) 4. of the statutes; Relating to: incorporating cursive writing into the state model English language arts standards and requiring cursive writing in elementary grades. (FE)",1066,"Senate Education",2025-02-21,"Read first time and referred to committee on Education",https://legiscan.com/WI/bill/AB3/2025,https://docs.legis.wisconsin.gov/2025/proposals/reg/asm/bill/ab3
1952651,2197,AB4,2,Engrossed,2025-02-19,"Required instruction in civics in the elementary and high school grades, high school graduation requirements, and private school educational program criteria. (FE)","An Act to amend 118.165 (1) (d) and 118.33 (1) (a) 1. b.; to create 115.28 (55v), 118.40 (2r) (b) 2. m., 118.40 (2x) (b) 2. m., 118.60 (2) (a) 10., 119.23 (2) (a) 10. and 121.02 (1) (L) 9. of the statutes; Relating to: required instruction in civics in the elementary and high school grades, high school graduation requirements, and private school educational program criteria. (FE)",1066,"Senate Education",2025-02-21,"Read first time and referred to committee on Education",https://legiscan.com/WI/bill/AB4/2025,https://docs.legis.wisconsin.gov/2025/proposals/reg/asm/bill/ab4
1952454,2197,AB5,2,Engrossed,2025-02-19,"Requiring school boards to make textbooks, curricula, and instructional materials available for inspection by school district residents.","An Act to amend 118.03 (1) and 118.03 (4); to create 118.03 (1m) and 118.032 of the statutes; Relating to: requiring school boards to make textbooks, curricula, and instructional materials available for inspection by school district residents.",0,,2025-05-16,"Available for scheduling",https://legiscan.com/WI/bill/AB5/2025,https://docs.legis.wisconsin.gov/2025/proposals/reg/asm/bill/ab5
1953975,2197,AB6,2,Engrossed,2025-02-19,"Requiring a school board to spend at least 70 percent of its operating expenditures on direct classroom expenditures and annual pay increases for school administrators. (FE)","An Act to amend 118.24 (1), 119.44 (2) (c) and 121.085 (1); to create 120.18 (1) (h) and 121.10 of the statutes; Relating to: requiring a school board to spend at least 70 percent of its operating expenditures on direct classroom expenditures and annual pay increases for school administrators. (FE)",1066,"Senate Education",2025-02-21,"Read first time and referred to committee on Education",https://legiscan.com/WI/bill/AB6/2025,https://docs.legis.wisconsin.gov/2025/proposals/reg/asm/bill/ab6
1958669,2197,AB7,1,Introduced,2025-02-06,"Requiring local approval for certain wind and solar projects before Public Service Commission approval.","An Act to amend 66.0401 (1m) (intro.); to create 66.0401 (1r), 66.0401 (4) (h), 196.49 (4m) and 196.491 (3) (d) 9. of the statutes; Relating to: requiring local approval for certain wind and solar projects before Public Service Commission approval.",1032,"House Energy and Utilities",2025-02-11,"Representative Dallman added as a coauthor",https://legiscan.com/WI/bill/AB7/2025,https://docs.legis.wisconsin.gov/2025/proposals/reg/asm/bill/ab7
1959159,2197,AB8,1,Introduced,2025-02-06,"Agreements for direct primary care.","An Act to create 146.78 and 600.01 (1) (b) 13. of the statutes; Relating to: agreements for direct primary care.",0,,2025-05-13,"Laid on the table",https://legiscan.com/WI/bill/AB8/2025,https://docs.legis.wisconsin.gov/2025/proposals/reg/asm/bill/ab8
1959122,2197,AB9,1,Introduced,2025-02-06,"Allowing representatives of certain federally chartered youth membership organizations to provide information to pupils on public school property.","An Act to amend 119.04 (1); to create 118.065 of the statutes; Relating to: allowing representatives of certain federally chartered youth membership organizations to provide information to pupils on public school property.",1028,"House Education",2025-06-12,"Public hearing held",https://legiscan.com/WI/bill/AB9/2025,https://docs.legis.wisconsin.gov/2025/proposals/reg/asm/bill/ab9
1959218,2197,AB10,1,Introduced,2025-02-06,"A sales and use tax exemption for the sale of gun safes. (FE)","An Act to amend 77.52 (13) and 77.53 (10); to create 77.54 (75) of the statutes; Relating to: a sales and use tax exemption for the sale of gun safes. (FE)",1049,"House Rules",2025-06-12,"Senator Spreitzer added as a cosponsor",https://legiscan.com/WI/bill/AB10/2025,https://docs.legis.wisconsin.gov/2025/proposals/reg/asm/bill/ab10
