bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1950234,3093564,text,55077,application/pdf,Introduced,https://legiscan.com/WI/text/AB1/id/3093564,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB1.pdf
1950234,3181538,text,49957,application/pdf,Enrolled,https://legiscan.com/WI/text/AB1/id/3181538,https://docs.legis.wisconsin.gov/document/enrolledbills/2025/REG/AB1.pdf
1952554,3096543,text,52470,application/pdf,Introduced,https://legiscan.com/WI/text/AB2/id/3096543,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB2.pdf
1952847,3096833,text,52151,application/pdf,Introduced,https://legiscan.com/WI/text/AB3/id/3096833,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB3.pdf
1952651,3096639,text,59688,application/pdf,Introduced,https://legiscan.com/WI/text/AB4/id/3096639,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB4.pdf
1952454,3096443,text,56294,application/pdf,Introduced,https://legiscan.com/WI/text/AB5/id/3096443,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB5.pdf
1953975,3098131,text,60215,application/pdf,Introduced,https://legiscan.com/WI/text/AB6/id/3098131,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB6.pdf
1958669,3104256,text,61391,application/pdf,Introduced,https://legiscan.com/WI/text/AB7/id/3104256,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB7.pdf
1959159,3104743,text,67885,application/pdf,Introduced,https://legiscan.com/WI/text/AB8/id/3104743,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB8.pdf
1959122,3104708,text,55897,application/pdf,Introduced,https://legiscan.com/WI/text/AB9/id/3104708,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB9.pdf
1959218,3104804,text,54124,application/pdf,Introduced,https://legiscan.com/WI/text/AB10/id/3104804,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB10.pdf
1958843,3104433,text,51677,application/pdf,Introduced,https://legiscan.com/WI/text/AB11/id/3104433,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB11.pdf
1958951,3104537,text,57828,application/pdf,Introduced,https://legiscan.com/WI/text/AB12/id/3104537,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB12.pdf
1959015,3104599,text,48161,application/pdf,Introduced,https://legiscan.com/WI/text/AB13/id/3104599,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB13.pdf
1958879,3104467,text,50231,application/pdf,Introduced,https://legiscan.com/WI/text/AB14/id/3104467,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB14.pdf
1958808,3104399,text,50061,application/pdf,Introduced,https://legiscan.com/WI/text/AB15/id/3104399,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB15.pdf
1959192,3104777,text,47324,application/pdf,Introduced,https://legiscan.com/WI/text/AB16/id/3104777,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB16.pdf
1959051,3104636,text,91029,application/pdf,Introduced,https://legiscan.com/WI/text/AB17/id/3104636,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB17.pdf
1958913,3104501,text,54050,application/pdf,Introduced,https://legiscan.com/WI/text/AB18/id/3104501,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB18.pdf
1958737,3104325,text,75758,application/pdf,Introduced,https://legiscan.com/WI/text/AB19/id/3104325,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB19.pdf
1959087,3104672,text,52904,application/pdf,Introduced,https://legiscan.com/WI/text/AB20/id/3104672,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB20.pdf
1958703,3104291,text,50648,application/pdf,Introduced,https://legiscan.com/WI/text/AB21/id/3104291,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB21.pdf
1958772,3104361,text,54806,application/pdf,Introduced,https://legiscan.com/WI/text/AB22/id/3104361,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB22.pdf
1962311,3108553,text,64441,application/pdf,Introduced,https://legiscan.com/WI/text/AB23/id/3108553,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB23.pdf
1967971,3116734,text,58648,application/pdf,Introduced,https://legiscan.com/WI/text/AB24/id/3116734,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB24.pdf
1970309,3119853,text,66270,application/pdf,Introduced,https://legiscan.com/WI/text/AB25/id/3119853,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB25.pdf
1972724,3126853,text,81612,application/pdf,Introduced,https://legiscan.com/WI/text/AB26/id/3126853,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB26.pdf
1972872,3126996,text,53792,application/pdf,Introduced,https://legiscan.com/WI/text/AB27/id/3126996,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB27.pdf
1972637,3126771,text,57167,application/pdf,Introduced,https://legiscan.com/WI/text/AB28/id/3126771,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB28.pdf
1972957,3127074,text,57595,application/pdf,Introduced,https://legiscan.com/WI/text/AB29/id/3127074,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB29.pdf
1972911,3127033,text,62960,application/pdf,Introduced,https://legiscan.com/WI/text/AB30/id/3127033,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB30.pdf
1972736,3126865,text,66092,application/pdf,Introduced,https://legiscan.com/WI/text/AB31/id/3126865,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB31.pdf
1972823,3126948,text,53738,application/pdf,Introduced,https://legiscan.com/WI/text/AB32/id/3126948,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB32.pdf
1972649,3126783,text,53215,application/pdf,Introduced,https://legiscan.com/WI/text/AB33/id/3126783,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB33.pdf
1972700,3126830,text,50350,application/pdf,Introduced,https://legiscan.com/WI/text/AB34/id/3126830,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB34.pdf
1972772,3126899,text,54882,application/pdf,Introduced,https://legiscan.com/WI/text/AB35/id/3126899,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB35.pdf
1972885,3127008,text,58122,application/pdf,Introduced,https://legiscan.com/WI/text/AB36/id/3127008,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB36.pdf
1972835,3126960,text,52593,application/pdf,Introduced,https://legiscan.com/WI/text/AB37/id/3126960,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB37.pdf
1972859,3126984,text,71456,application/pdf,Introduced,https://legiscan.com/WI/text/AB38/id/3126984,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB38.pdf
1972947,3127066,text,52949,application/pdf,Introduced,https://legiscan.com/WI/text/AB39/id/3127066,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB39.pdf
1972748,3126876,text,61318,application/pdf,Introduced,https://legiscan.com/WI/text/AB40/id/3126876,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB40.pdf
1972686,3126817,text,51677,application/pdf,Introduced,https://legiscan.com/WI/text/AB41/id/3126817,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB41.pdf
1972799,3126925,text,52243,application/pdf,Introduced,https://legiscan.com/WI/text/AB42/id/3126925,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB42.pdf
1972787,3126914,text,67932,application/pdf,Introduced,https://legiscan.com/WI/text/AB43/id/3126914,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB43.pdf
1972935,3127055,text,51650,application/pdf,Introduced,https://legiscan.com/WI/text/AB44/id/3127055,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB44.pdf
1972712,3126842,text,188632,application/pdf,Introduced,https://legiscan.com/WI/text/AB45/id/3126842,https://docs.legis.wisconsin.gov/document/proposaltext/2025/REG/AB45.pdf
