bill_id,date,chamber,sequence,action
1902254,2025-01-06,Senate,1,Introduced
1902254,2025-01-06,Senate,2,"Considered as privileged and taken up"
1902254,2025-01-06,Senate,3,Read
1902254,2025-01-06,Senate,4,"Adopted, Ayes 21, Noes 12"
1903016,2025-01-06,House,1,Introduced
1903016,2025-01-06,House,2,"Privileged and read"
1903016,2025-01-06,House,3,"Adopted, Ayes 84, Noes 14"
1903093,2025-01-06,Senate,1,Introduced
1903093,2025-01-06,Senate,2,"Read first time and referred to Committee on Judiciary and Public Safety"
1903093,2025-01-07,Senate,3,"Public hearing held"
1903093,2025-01-07,Senate,4,"Executive action taken"
1903093,2025-01-07,Senate,5,"Report adoption recommended by Committee on Judiciary and Public Safety, Ayes 5, Noes 3"
1903093,2025-01-07,Senate,6,"Available for scheduling"
1903093,2025-01-07,Senate,7,"Placed on calendar 1-8-2025 pursuant to Senate Rule 18(1)"
1903093,2025-01-08,Senate,8,"Read a second time"
1903093,2025-01-08,Senate,9,"Ordered to a third reading"
1903093,2025-01-08,Senate,10,"Rules suspended to give joint resolution its third reading"
1903093,2025-01-08,Senate,11,"Read a third time and adopted, Ayes 17, Noes 15"
1903093,2025-01-08,Senate,12,"Ordered immediately messaged"
1903093,2025-01-08,House,13,"Received from Senate"
1903093,2025-01-08,House,14,"Read first time and referred to committee on Rules"
1903093,2025-01-09,House,15,"Representatives Franklin, Brill and Tranel added as cosponsors"
1903093,2025-01-09,House,16,"Placed on calendar 1-14-2025 by Committee on Rules"
1903093,2025-01-10,House,17,"Representative VanderMeer added as a cosponsor"
1903093,2025-01-14,House,18,"Rules suspended to withdraw from calendar and take up"
1903093,2025-01-14,House,19,"Read a second time"
1903093,2025-01-14,House,20,"Ordered to a third reading"
1903093,2025-01-14,House,21,"Rules suspended"
1903093,2025-01-14,House,22,"Read a third time and concurred in, Ayes 54, Noes 45"
1903093,2025-01-14,House,23,"Ordered immediately messaged"
1903093,2025-01-14,Senate,24,"Received from Assembly concurred in"
1903093,2025-01-14,Senate,25,"Report correctly enrolled"
1903093,2025-02-18,Senate,26,"Deposited in the office of the Secretary of State on 2-18-2025"
1903093,2025-05-20,Senate,27,"Published 5-20-2025. Enrolled Joint Resolution 1"
1903170,2025-01-06,Senate,1,Introduced
1903170,2025-01-06,Senate,2,"Considered as privileged and taken up"
1903170,2025-01-06,Senate,3,"Adopted, Ayes 19, Noes 14"
1903170,2025-01-06,Senate,4,"Ordered immediately messaged"
1903170,2025-01-06,House,5,Read
1903170,2025-01-06,House,6,"Received from Senate"
1903170,2025-01-06,House,7,"Rules suspended to withdraw from Senate message and take up"
1903170,2025-01-06,House,8,"Concurred in, Ayes 55, Noes 43"
1903170,2025-01-06,House,9,"Ordered immediately messaged"
