people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
3815,"Kelda Roys",Kelda,,Roys,,,1,D,2,Sen,SD-026,2945642,109053,,Kelda_Roys,271622,0
3819,"Christine Sinicki",Christine,,Sinicki,,,1,D,1,Rep,HD-020,2943905,26251,,Christine_Sinicki,199920,0
3820,"Jeff Smith",Jeff,,Smith,,,1,D,2,Sen,SD-031,2882398,51946,,Jeff_Smith_(Wisconsin),250976,0
3835,"Robert Wirch",Robert,W.,Wirch,,,1,D,2,Sen,SD-022,13013888,3557,,Robert_Wirch,199889,0
3846,"Jeffrey Mursau",Jeffrey,L.,Mursau,,,2,R,1,Rep,HD-036,6666495,51836,,Jeffrey_Mursau,228298,0
3847,"Dan Knodl",Dan,,Knodl,,,2,R,1,Rep,HD-024,2929308,108918,,Daniel_Knodl,271521,0
3876,"Dean Kaufert",Dean,R.,Kaufert,,,2,R,1,Rep,HD-053,13009602,3507,,Dean_Kaufert,199961,0
3916,"Timothy Carpenter",Timothy,W.,Carpenter,,,1,D,2,Sen,SD-003,2961948,3477,,Tim_Carpenter,199909,0
3933,"Robin Vos",Robin,,Vos,,,2,R,1,Rep,HD-033,3217195,51839,,Robin_Vos,228318,0
3942,"Kevin Petersen",Kevin,David,Petersen,,,2,R,1,Rep,HD-057,2931625,68668,,Kevin_Petersen,250959,0
3946,"Steve Nass",Steve,,Nass,,,2,R,2,Sen,SD-011,2929947,3522,,Stephen_Nass,199934,0
12262,"Van Wanggaard",Van,H.,Wanggaard,,,2,R,2,Sen,SD-021,3650225,68677,,Van_Wanggaard,297796,0
12267,"Scott Krug",Scott,,Krug,,,2,R,1,Rep,HD-072,4349896,51822,,Scott_Krug,310408,0
12269,"Travis Tranel",Travis,,Tranel,,,2,R,1,Rep,HD-049,2927947,108987,,Travis_Tranel,310242,0
12276,"Andre Jacque",Andre,,Jacque,,,2,R,2,Sen,SD-001,2928673,126971,,Andre_Jacque,309939,0
12277,"Chris Kapenga",Chris,,Kapenga,,,2,R,2,Sen,SD-033,3189607,127114,,Chris_Kapenga,297778,0
12291,"Tyler August",Tyler,,August,,,2,R,1,Rep,HD-031,3296309,127109,,Tyler_August,246768,0
12299,"Howard Marklein",Howard,,Marklein,,,2,R,2,Sen,SD-017,2928671,127136,,Howard_Marklein,297783,0
12304,"Christopher Larson",Christopher,,Larson,,,1,D,2,Sen,SD-007,2959578,109307,,Chris_Larson,309499,0
12926,Finance,,,,,,0,,3,Jnt,,0,0,,,0,1083
12927,"Legislative Organization",,,,,,0,,3,Jnt,,0,0,,,0,1087
13074,"committee for review of Administrative Rules",,,,,,0,,3,Jnt,,0,0,,,0,1079
13126,"Steve Doyle",Steve,,Doyle,,,1,D,1,Rep,HD-094,6513549,98453,,Steve_Doyle,340284,0
13347,"Robert Brooks",Robert,,Brooks,,,2,R,1,Rep,HD-059,3367096,24228,,Robert_Brooks_(Wisconsin),498663,0
13541,"Employment Relations",,,,,,0,,3,Jnt,,0,0,,,0,1082
13657,"Jill Billings",Jill,E.,Billings,,,1,D,1,Rep,HD-095,2919395,98417,,Jill_Billings,379646,0
13998,"Joint Legislative Council",,,,,,0,,3,Jnt,,0,0,,,0,1085
14585,"Rob Swearingen",Rob,,Swearingen,,,2,R,1,Rep,HD-034,3065787,140550,,Rob_Swearingen,417043,0
15091,"Mark Born",Mark,L.,Born,,,2,R,1,Rep,HD-037,13736030,140579,,Mark_Born,404149,0
15092,"Mary Felzkowski",Mary,,"Czaja Felzkowski",,,2,R,2,Sen,SD-012,13736017,140555,,Mary_Felzkowski,417050,0
15093,"Rob Hutton",Rob,,Hutton,,,2,R,2,Sen,SD-005,13735958,99011,,Rob_Hutton,404210,0
15094,"John Jagler",John,,Jagler,,,2,R,2,Sen,SD-013,13736023,140561,,John_Jagler,338385,0
15096,"David Murphy",David,J.,Murphy,,,2,R,1,Rep,HD-056,2856629,140646,,Dave_Murphy_(Wisconsin),417166,0
15099,"John Spiros",John,,Spiros,,,2,R,1,Rep,HD-086,13736134,127159,,John_Spiros,297787,0
15100,"Paul Tittl",Paul,R.,Tittl,,,2,R,1,Rep,HD-025,13735995,98754,,Paul_Tittl,416993,0
15362,"LaTonya Johnson",LaTonya,,Johnson,,,1,D,2,Sen,SD-006,13735967,140500,,LaTonya_Johnson,416959,0
15719,"Dianne Hesselbein",Dianne,Helen,Hesselbein,,,1,D,2,Sen,SD-027,13736118,108717,,Dianne_Hesselbein,297791,0
16023,"Adam Neylon",Adam,,Neylon,,,2,R,1,Rep,HD-015,16634046,144244,,Adam_Neylon,275690,0
16062,"Jessie Rodriguez",Yesenia,Edelmira,Rodriguez,,Jessie,2,R,1,Rep,HD-021,18912418,145420,,Jessie_Rodriguez,496150,0
16407,"Scott Allen",Scott,E.,Allen,,,2,R,1,Rep,HD-082,2941481,153681,,Scott_Allen_(Wisconsin),498675,0
16418,"Joel Kitchens",Joel,Coulombe,Kitchens,,,2,R,1,Rep,HD-001,3198575,153527,,Joel_Kitchens,495209,0
16422,"Todd Novak",Todd,,Novak,,,2,R,1,Rep,HD-051,3758634,153604,,Todd_Novak,495215,0
16423,"Romaine Quinn",Romaine,Robert,Quinn,,,2,R,2,Sen,SD-025,24811796,98313,,Romaine_Quinn,495228,0
16425,"Mark Spreitzer",Mark,,Spreitzer,,,1,D,2,Sen,SD-015,21069040,130725,,Mark_Spreitzer,487322,0
16426,"David Steffen",David,,Steffen,,,2,R,1,Rep,HD-004,2640722,51859,,David_Steffen,496146,0
16428,"Lisa Subeck",Lisa,,Subeck,,,1,D,1,Rep,HD-079,2974851,130751,,Lisa_Subeck,487335,0
16429,"Nancy VanderMeer",Nancy,Lynn,VanderMeer,,,2,R,1,Rep,HD-070,3168880,140661,,Nancy_VanderMeer,417261,0
17720,"Cindi Duchow",Cindi,,Duchow,,,2,R,1,Rep,HD-097,29002878,164472,,Cindi_Duchow,577203,0
18356,"Treig Pronschinske",Treig,E.,Pronschinske,,,2,R,1,Rep,HD-029,32197914,171913,,Treig_Pronschinske,584312,0
18357,"Patrick Snyder",Patrick,,Snyder,,,2,R,1,Rep,HD-085,3030079,140686,,Patrick_Snyder,404209,0
18358,"Rob Stafsholt",Rob,,Stafsholt,,,2,R,2,Sen,SD-010,3062383,68658,,Rob_Stafsholt,580143,0
18359,"Rob Summerfield",Rob,,Summerfield,,,2,R,1,Rep,HD-068,16073893,171822,,Rob_Summerfield,580279,0
18360,"Ron Tusler",Ron,,Tusler,,,2,R,1,Rep,HD-003,26246883,171944,,Ron_Tusler,582319,0
18361,"Chuck Wichgers",Chuck,,Wichgers,,,2,R,1,Rep,HD-084,40613030,171895,,Chuck_Wichgers,580320,0
18362,"Shannon Zimmerman",Shannon,,Zimmerman,,,2,R,1,Rep,HD-030,40609738,172035,,Shannon_Zimmerman_(Wisconsin),580156,0
18363,"Dan Feyen",Dan,,Feyen,,,2,R,2,Sen,SD-020,3238822,171917,,Dan_Feyen,580103,0
18364,"Patrick Testin",Patrick,,Testin,,,2,R,2,Sen,SD-024,13736108,140664,,Patrick_Testin,423816,0
19568,"Greta Neubauer",Greta,,Neubauer,,,1,D,1,Rep,HD-066,44074858,176963,,Greta_Neubauer,635067,0
19637,"Rick Gundrum",Rick,,Gundrum,,,2,R,1,Rep,HD-058,44074856,98970,,Rick_Gundrum,653846,0
20178,"Barbara Dittrich",Barbara,,Dittrich,,,2,R,1,Rep,HD-099,45364150,183944,,Barbara_Dittrich,667855,0
20179,"Jodi Emerson",Jodene,Kay,Emerson,,Jodi,1,D,1,Rep,HD-091,44265081,184006,,Jodi_Emerson,662366,0
