bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1902254,1471272,2025-01-06,Senate,"Senate: Adopted",21,12,0,0,33
1903016,1471270,2025-01-06,House,"Assembly: Adopted",84,14,1,0,99
1903093,1471206,2025-01-08,Senate,"Senate: Read a third time and adopted",17,15,1,0,33
1903093,1471408,2025-01-14,House,"Assembly: Read a third time and concurred in",54,45,0,0,99
1903170,1471205,2025-01-06,Senate,"Senate: Adopted",19,14,0,0,33
1903170,1471207,2025-01-06,House,"Assembly: Concurred in",55,43,1,0,99
1903249,1471271,2025-01-06,House,"Assembly: Adopted",98,0,1,0,99
1940443,1519839,2025-03-18,Senate,"Senate: Senate Amendment 1 rejected",18,14,1,0,33
1940443,1519840,2025-03-18,Senate,"Senate: Read a third time and passed",18,14,1,0,33
1940622,1519583,2025-03-18,Senate,"Senate: Read a third time and passed",28,4,1,0,33
1950234,1493267,2025-02-19,House,"Assembly: Read a third time and passed",54,44,1,0,99
1950234,1519793,2025-03-18,Senate,"Senate: Read a third time and concurred in",18,14,1,0,33
1952176,1592688,2025-06-18,Senate,"Senate: Senate Substitute Amendment 1 rejected",18,14,1,0,33
1952176,1592689,2025-06-18,Senate,"Senate: Read a third time and passed",18,14,1,0,33
1952454,1493715,2025-02-19,House,"Assembly: Read a third time and passed",54,43,2,0,99
1952554,1493536,2025-02-19,House,"Assembly: Read a third time and passed",53,45,1,0,99
1952651,1493522,2025-02-19,House,"Assembly: Decision of the Chair upheld",54,44,1,0,99
1952651,1493523,2025-02-19,House,"Assembly: Read a third time and passed",52,46,1,0,99
1952847,1494273,2025-02-19,House,"Assembly: Read a third time and passed",51,46,2,0,99
1953975,1493554,2025-02-19,House,"Assembly: Decision of the Chair upheld",54,43,2,0,99
1953975,1493555,2025-02-19,House,"Assembly: Read a third time and passed",53,44,2,0,99
1956325,1553523,2025-04-22,Senate,"Senate: Read a third time and passed",32,1,0,0,33
1956356,1554081,2025-04-22,Senate,"Senate: Read a third time and passed",32,1,0,0,33
1956356,1570316,2025-05-13,House,"Assembly: Read a third time and concurred in",97,0,2,0,99
1956389,1519897,2025-03-18,Senate,"Senate: Read a third time and passed",19,13,1,0,33
1956521,1519913,2025-03-18,Senate,"Senate: Adopted",27,5,1,0,33
1958808,1517672,2025-03-13,House,"Assembly: Referred to Campaigns and Elections",53,44,2,0,99
1958879,1516900,2025-03-13,House,"Assembly: Referred to Campaigns and Elections",53,44,2,0,99
1959015,1517416,2025-03-13,House,"Assembly: Referred to Campaigns and Elections",53,44,2,0,99
1959051,1594337,2025-06-24,House,"Assembly: Read a third time and passed",96,0,3,0,99
1959192,1517060,2025-03-13,House,"Assembly: Referred to Environment",53,44,2,0,99
1962311,1570629,2025-05-13,House,"Assembly: Read a third time and passed",96,1,2,0,99
1967641,1592620,2025-06-18,Senate,"Senate: Senate Substitute Amendment 1 rejected",17,15,1,0,33
1967641,1592621,2025-06-18,Senate,"Senate: Senate Amendment 1 adopted",18,14,1,0,33
1967641,1592622,2025-06-18,Senate,"Senate: Senate Amendment 2 rejected",17,15,1,0,33
1967641,1592623,2025-06-18,Senate,"Senate: Read a third time and passed",18,14,1,0,33
1967893,1571928,2025-05-15,Senate,"Senate: Read a third time and passed",33,0,0,0,33
1967971,1519709,2025-03-18,House,"Assembly: Read a third time and passed",51,43,3,0,97
1972787,1570692,2025-05-13,House,"Assembly: Read a third time and passed",87,10,2,0,99
1972947,1601820,2025-09-11,House,"Assembly: Decision of the Chair upheld",51,44,4,0,99
1972947,1601821,2025-09-11,House,"Assembly: Decision of the Chair upheld",51,44,4,0,99
1972947,1601822,2025-09-11,House,"Assembly: Read a third time and passed",51,44,2,0,97
1974122,1597339,2025-07-02,House,"Assembly: Assembly Amendment 1 to Assembly Substitute Amendment 2 laid on table",53,45,1,0,99
1974122,1597340,2025-07-02,House,"Assembly: Assembly Amendment 2 to Assembly Substitute Amendment 2 laid on table",53,45,1,0,99
1974122,1597341,2025-07-02,House,"Assembly: Assembly Amendment 3 to Assembly Substitute Amendment 2 laid on table",53,45,1,0,99
1974122,1597342,2025-07-02,House,"Assembly: Assembly Amendment 4 to Assembly Substitute Amendment 2 laid on table",53,45,1,0,99
1974122,1597343,2025-07-02,House,"Assembly: Assembly Amendment 5 to Assembly Substitute Amendment 2 laid on table",53,45,1,0,99
1974122,1597344,2025-07-02,House,"Assembly: Assembly Amendment 6 to Assembly Substitute Amendment 2 laid on table",53,45,1,0,99
1974122,1597345,2025-07-02,House,"Assembly: Assembly Amendment 7 to Assembly Substitute Amendment 2 laid on table",53,45,1,0,99
1974122,1597346,2025-07-02,House,"Assembly: Assembly Amendment 8 to Assembly Substitute Amendment 2 laid on table",53,45,1,0,99
1974122,1597347,2025-07-02,House,"Assembly: Assembly Amendment 9 to Assembly Substitute Amendment 2 laid on table",53,45,1,0,99
1974122,1597348,2025-07-02,House,"Assembly: Assembly Amendment 10 to Assembly Substitute Amendment 2 laid on table",53,45,1,0,99
