bill_id,people_id,position
1902254,15092,3
1902254,18363,2
1902254,20615,1
1903016,3933,1
1903016,12291,2
1903093,3846,45
1903093,3847,38
1903093,3876,65
1903093,3933,61
1903093,3942,51
1903093,3946,12
1903093,12262,1
1903093,12267,40
1903093,12276,7
1903093,12277,10
1903093,12291,23
1903093,12299,11
1903093,13347,26
1903093,14585,57
1903093,15091,25
1903093,15092,4
1903093,15093,6
1903093,15094,8
1903093,15096,44
1903093,15099,54
1903093,15100,58
1903093,16023,47
1903093,16062,66
1903093,16407,21
1903093,16418,37
1903093,16422,48
1903093,16423,13
1903093,16426,55
1903093,17720,30
1903093,18357,19
1903093,18358,14
1903093,18359,56
1903093,18360,60
1903093,18361,62
1903093,18362,64
1903093,18363,5
1903093,18364,15
1903093,19637,33
1903093,20178,29
1903093,20182,9
1903093,20183,67
1903093,20188,53
1903093,20191,63
1903093,20615,18
1903093,21984,2
1903093,21986,17
1903093,21988,22
1903093,21990,3
1903093,21991,27
1903093,21993,28
1903093,21997,43
1903093,22924,24
1903093,22945,50
1903093,23588,20
1903093,23589,31
1903093,23590,32
1903093,23591,34
1903093,23592,35
1903093,23595,41
1903093,23597,46
1903093,23598,49
1903093,23605,16
1903093,24954,42
1903093,26084,36
1903093,26087,39
1903093,26092,52
1903093,26101,59
1903170,12927,1
1903249,3933,1
1903249,12291,2
1903327,3846,25
1903327,3847,19
1903327,3876,47
1903327,3933,42
1903327,3942,32
1903327,3946,63
1903327,12262,52
1903327,12267,21
1903327,12276,58
1903327,12277,61
1903327,12291,5
1903327,12299,62
1903327,13347,8
1903327,14585,38
1903327,15091,7
1903327,15092,55
1903327,15093,57
1903327,15094,59
1903327,15096,24
1903327,15099,35
1903327,15100,39
1903327,16023,28
1903327,16407,3
1903327,16418,18
1903327,16422,29
1903327,16423,64
1903327,16426,36
1903327,16429,48
1903327,17720,12
1903327,18357,1
1903327,18358,68
1903327,18359,37
1903327,18360,41
1903327,18361,43
1903327,18362,45
1903327,18363,56
1903327,18364,65
1903327,19637,15
1903327,20178,11
1903327,20182,60
1903327,20183,51
1903327,20188,34
1903327,20191,44
1903327,20615,69
