roll_call_id,people_id,vote,vote_desc
1471272,3815,2,Nay
1471272,3820,2,Nay
1471272,3835,2,Nay
1471272,3916,2,Nay
1471272,3946,1,Yea
1471272,12262,1,Yea
1471272,12276,1,Yea
1471272,12277,1,Yea
1471272,12299,1,Yea
1471272,12304,2,Nay
1471272,15092,1,Yea
1471272,15093,1,Yea
1471272,15094,1,Yea
1471272,15362,2,Nay
1471272,15719,2,Nay
1471272,16423,1,Yea
1471272,16425,2,Nay
1471272,18358,1,Yea
1471272,18363,1,Yea
1471272,18364,1,Yea
1471272,20182,1,Yea
1471272,20615,1,Yea
1471272,21984,1,Yea
1471272,21985,2,Nay
1471272,21986,1,Yea
1471272,21990,1,Yea
1471272,21994,2,Nay
1471272,23600,1,Yea
1471272,23605,1,Yea
1471272,26103,2,Nay
1471272,26104,1,Yea
1471272,26105,2,Nay
1471272,26106,1,Yea
1471270,3819,2,Nay
1471270,3846,1,Yea
1471270,3847,1,Yea
1471270,3876,1,Yea
1471270,3933,1,Yea
1471270,3942,1,Yea
1471270,12267,1,Yea
1471270,12269,1,Yea
1471270,12291,1,Yea
1471270,13126,1,Yea
1471270,13347,1,Yea
1471270,13657,2,Nay
1471270,14585,1,Yea
1471270,15091,1,Yea
1471270,15096,1,Yea
1471270,15099,1,Yea
1471270,15100,1,Yea
1471270,16023,1,Yea
1471270,16062,1,Yea
1471270,16407,1,Yea
1471270,16418,1,Yea
1471270,16422,1,Yea
1471270,16426,1,Yea
1471270,16428,1,Yea
1471270,16429,1,Yea
1471270,17720,1,Yea
1471270,18356,1,Yea
1471270,18357,1,Yea
1471270,18359,1,Yea
1471270,18360,1,Yea
1471270,18361,1,Yea
1471270,18362,1,Yea
1471270,19568,1,Yea
1471270,19637,1,Yea
1471270,20178,1,Yea
1471270,20179,1,Yea
1471270,20181,1,Yea
1471270,20183,1,Yea
1471270,20188,1,Yea
1471270,20189,1,Yea
1471270,20190,2,Nay
1471270,20191,1,Yea
1471270,21362,1,Yea
1471270,21987,1,Yea
1471270,21988,1,Yea
1471270,21991,1,Yea
1471270,21993,1,Yea
1471270,21995,2,Nay
1471270,21996,2,Nay
1471270,21997,1,Yea
1471270,21998,1,Yea
1471270,22002,2,Nay
1471270,22924,1,Yea
1471270,22945,1,Yea
1471270,23583,1,Yea
1471270,23584,1,Yea
1471270,23587,2,Nay
1471270,23588,1,Yea
1471270,23589,1,Yea
1471270,23590,1,Yea
1471270,23591,1,Yea
1471270,23592,1,Yea
1471270,23593,2,Nay
1471270,23594,2,Nay
1471270,23595,1,Yea
1471270,23597,1,Yea
1471270,23598,1,Yea
1471270,23599,1,Yea
1471270,23606,2,Nay
1471270,24954,1,Yea
1471270,26074,1,Yea
1471270,26075,1,Yea
1471270,26076,1,Yea
1471270,26077,1,Yea
1471270,26078,1,Yea
1471270,26079,1,Yea
1471270,26080,1,Yea
1471270,26081,1,Yea
1471270,26082,1,Yea
1471270,26083,1,Yea
1471270,26084,1,Yea
1471270,26085,2,Nay
1471270,26086,3,NV
1471270,26087,1,Yea
1471270,26088,1,Yea
1471270,26089,1,Yea
1471270,26090,1,Yea
1471270,26091,2,Nay
1471270,26092,1,Yea
1471270,26093,1,Yea
1471270,26094,1,Yea
1471270,26095,1,Yea
1471270,26096,1,Yea
1471270,26097,1,Yea
1471270,26098,1,Yea
1471270,26099,2,Nay
1471270,26100,2,Nay
1471270,26101,1,Yea
1471270,26102,1,Yea
1471206,3815,2,Nay
1471206,3820,2,Nay
1471206,3835,2,Nay
1471206,3916,2,Nay
1471206,3946,1,Yea
1471206,12262,1,Yea
1471206,12276,1,Yea
1471206,12277,1,Yea
1471206,12299,1,Yea
1471206,12304,2,Nay
1471206,15092,1,Yea
1471206,15093,1,Yea
1471206,15094,1,Yea
1471206,15362,2,Nay
1471206,15719,2,Nay
1471206,16423,1,Yea
1471206,16425,2,Nay
1471206,18358,3,NV
1471206,18363,1,Yea
1471206,18364,1,Yea
1471206,20182,1,Yea
1471206,20615,1,Yea
1471206,21984,1,Yea
1471206,21985,2,Nay
1471206,21986,1,Yea
1471206,21990,1,Yea
1471206,21994,2,Nay
1471206,23600,2,Nay
