bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1973262,2196,HB2001,1,Introduced,2025-02-18,"Universal Professional and Occupational Licensing Act of 2025","The purpose of this bill is to universal professional and occupational licensing reciprocity in West Virginia and standards used by boards of examination and registration for accepting the professional and occupational licenses issued by other states.",7,"House Government Organization",2025-02-18,"To House Government Organization",https://legiscan.com/WV/bill/HB2001/2025,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2001&year=2025&sessiontype=RS&btype=bill
1973177,2196,HB2002,4,Passed,2025-04-12,"Establishing One Stop Shop Permitting Process","The purpose of this bill is to create the One-Stop-Shop Permit Program, to create a Permitting Dashboard to operate as a ""one-stop-shop"" for obtaining and renewing qualifying permits, and to create a refund requirement for late action by the regulatory agency in responding to permit requests.",0,,2025-04-12,"Approved by Governor 4/30/2025 - House Journal",https://legiscan.com/WV/bill/HB2002/2025,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2002&year=2025&sessiontype=RS&btype=bill
1973393,2196,HB2003,4,Passed,2025-04-12,"Prohibiting Cell phones in class","The purpose of this bill is to prohibit students from possessing cell phone in the classroom, and to require the state board of education to promulgate legislative rules to implement this prohibition.",0,,2025-04-12,"Approved by Governor 4/29/2025 - House Journal",https://legiscan.com/WV/bill/HB2003/2025,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2003&year=2025&sessiontype=RS&btype=bill
1973273,2196,HB2004,1,Introduced,2025-02-18,"Relating to Vaccine Requirements","The purpose of this bill is to modify the requirements for compulsory childhood immunizations to provide for exemptions based on religious and philosophical objections.",8,"House Health & Human Resources",2025-02-18,"To House Health and Human Resources",https://legiscan.com/WV/bill/HB2004/2025,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2004&year=2025&sessiontype=RS&btype=bill
1973119,2196,HB2005,1,Introduced,2025-02-18,"Ending DEI Programs","The purpose of this bill is to eliminate divisions, officers, programs, trainings, and policies related to diversity, equity, and inclusion from all departments, divisions, agencies, boards, public primary and secondary schools, and institutions of higher education.",7,"House Government Organization",2025-02-18,"To House Government Organization",https://legiscan.com/WV/bill/HB2005/2025,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2005&year=2025&sessiontype=RS&btype=bill
1973199,2196,HB2006,1,Introduced,2025-02-18,"Defining Men and Women","The purpose of this bill is to define and preserve single-sex spaces in this state.",0,,2025-03-03,"On 2nd reading, House Calendar",https://legiscan.com/WV/bill/HB2006/2025,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2006&year=2025&sessiontype=RS&btype=bill
1973252,2196,HB2007,1,Introduced,2025-02-18,"Repeal Certificate of Need Process","The purpose of this bill is to repeal the certificate of need program on January 1, 2026, terminate the West Virginia Health Care Authority, and transfer the assets, and records; abolition of the authority's employment positions and discretion of the secretary to hire employees of authority in classified-exempt system.",0,,2025-03-28,"Motion to discharge committee rejected (Roll No. 229)",https://legiscan.com/WV/bill/HB2007/2025,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2007&year=2025&sessiontype=RS&btype=bill
1973203,2196,HB2008,4,Passed,2025-04-25,"Executive Branch Reorganization","The purpose of this bill is to provide for the reorganization of several departments and divisions of state government as of July 1, 2025. The bill redesignates the department of economic development as a division under the department of commerce, the abolition of the department of arts, culture, and history and the transfer of its sections and commission under the department of tourism, and permits the governor to elect to appoint the Adjutant General as the secretary of the department of homeland security.",0,,2025-04-12,"Approved by Governor 4/25/2025 - Senate Journal",https://legiscan.com/WV/bill/HB2008/2025,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2008&year=2025&sessiontype=RS&btype=bill
1988410,2196,HB2009,4,Passed,2025-04-25,"Relating to the merging and reorganizing of the executive branch","Relating to the merging and reorganizing of the executive branch",0,,2025-04-12,"Approved by Governor 4/25/2025 - Senate Journal",https://legiscan.com/WV/bill/HB2009/2025,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2009&year=2025&sessiontype=RS&btype=bill
2002748,2196,HB2010,2,Engrossed,2025-03-31,"Real Estate Broker Office Requirement","The purpose of this bill is to create an exception to the requirement that a licensee maintain a definite place of business within this state for non-residents who maintain a definite place of business in their jurisdiction of residence.",35,"Senate Rules",2025-04-03,"To Rules",https://legiscan.com/WV/bill/HB2010/2025,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2010&year=2025&sessiontype=RS&btype=bill
1982233,2196,HB2011,4,Passed,2025-04-12,"To supplement, amend, and increase an existing item of appropriation in the aforesaid accounts for the designated spending unit for expenditure during the fiscal year 2025.","The purpose of this supplemental appropriation bill is to supplement, amend, and increase an existing item of appropriation in the aforesaid accounts for the designated spending unit for expenditure during the fiscal year 2025.",0,,2025-04-12,"Approved by Governor 4/17/2025 - House Journal",https://legiscan.com/WV/bill/HB2011/2025,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2011&year=2025&sessiontype=RS&btype=bill
1983961,2196,HB2012,1,Introduced,2025-02-26,"Eliminating accelerated tax payment requirements.","The purpose of this bill is to terminate accelerated payment requirements for consumers sales and use as well as withholding tax, while giving taxpayers sufficient notice.",6,"House Finance",2025-02-26,"To House Finance",https://legiscan.com/WV/bill/HB2012/2025,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2012&year=2025&sessiontype=RS&btype=bill
