bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1973262,3127641,text,12442,text/html,Introduced,https://legiscan.com/WV/text/HB2001/id/3127641,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2001%20intr.htm&yr=2025&sesstype=RS&i=2001
1973177,3127562,text,16589,text/html,Introduced,https://legiscan.com/WV/text/HB2002/id/3127562,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2002%20intr.htm&yr=2025&sesstype=RS&i=2002
1973177,3174616,text,16770,text/html,"Comm Sub",https://legiscan.com/WV/text/HB2002/id/3174616,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2002%20sub1.htm&yr=2025&sesstype=RS&i=2002
1973177,3190965,text,17506,text/html,"Comm Sub",https://legiscan.com/WV/text/HB2002/id/3190965,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2002%20sub2.htm&yr=2025&sesstype=RS&i=2002
1973177,3194030,text,17644,text/html,Engrossed,https://legiscan.com/WV/text/HB2002/id/3194030,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2002%20sub2%20eng.htm&yr=2025&sesstype=RS&i=2002
1973177,3208804,text,27436,text/html,Enrolled,https://legiscan.com/WV/text/HB2002/id/3208804,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2002%20sub2%20enr.htm&yr=2025&sesstype=RS&i=2002
1973393,3127764,text,7863,text/html,Introduced,https://legiscan.com/WV/text/HB2003/id/3127764,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2003%20intr.htm&yr=2025&sesstype=RS&i=2003
1973393,3173734,text,12134,text/html,"Comm Sub",https://legiscan.com/WV/text/HB2003/id/3173734,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2003%20sub1.htm&yr=2025&sesstype=RS&i=2003
1973393,3178554,text,12494,text/html,"Comm Sub",https://legiscan.com/WV/text/HB2003/id/3178554,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2003%20sub2.htm&yr=2025&sesstype=RS&i=2003
1973393,3183502,text,11988,text/html,Engrossed,https://legiscan.com/WV/text/HB2003/id/3183502,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2003%20sub2%20eng.htm&yr=2025&sesstype=RS&i=2003
1973393,3210904,text,22067,text/html,Enrolled,https://legiscan.com/WV/text/HB2003/id/3210904,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2003%20sub2%20enr.htm&yr=2025&sesstype=RS&i=2003
1973273,3127652,text,14337,text/html,Introduced,https://legiscan.com/WV/text/HB2004/id/3127652,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2004%20intr.htm&yr=2025&sesstype=RS&i=2004
1973119,3127504,text,42120,text/html,Introduced,https://legiscan.com/WV/text/HB2005/id/3127504,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2005%20intr.htm&yr=2025&sesstype=RS&i=2005
1973199,3127581,text,23794,text/html,Introduced,https://legiscan.com/WV/text/HB2006/id/3127581,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2006%20intr.htm&yr=2025&sesstype=RS&i=2006
1973199,3139778,text,26271,text/html,"Comm Sub",https://legiscan.com/WV/text/HB2006/id/3139778,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2006%20sub.htm&yr=2025&sesstype=RS&i=2006
1973252,3127631,text,104429,text/html,Introduced,https://legiscan.com/WV/text/HB2007/id/3127631,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2007%20intr.htm&yr=2025&sesstype=RS&i=2007
1973203,3127585,text,246595,text/html,Introduced,https://legiscan.com/WV/text/HB2008/id/3127585,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2008%20intr.htm&yr=2025&sesstype=RS&i=2008
1973203,3146572,text,129184,text/html,"Comm Sub",https://legiscan.com/WV/text/HB2008/id/3146572,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2008%20sub.htm&yr=2025&sesstype=RS&i=2008
1973203,3165955,text,133498,text/html,Engrossed,https://legiscan.com/WV/text/HB2008/id/3165955,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2008%20sub%20eng.htm&yr=2025&sesstype=RS&i=2008
1973203,3214072,text,117129,text/html,Enrolled,https://legiscan.com/WV/text/HB2008/id/3214072,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2008%20sub%20enr.htm&yr=2025&sesstype=RS&i=2008
1988410,3148450,text,146998,text/html,Introduced,https://legiscan.com/WV/text/HB2009/id/3148450,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2009%20org.htm&yr=2025&sesstype=RS&i=2009
1988410,3148451,text,146998,text/html,Introduced,https://legiscan.com/WV/text/HB2009/id/3148451,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2009%20intr.htm&yr=2025&sesstype=RS&i=2009
1988410,3166315,text,146471,text/html,Engrossed,https://legiscan.com/WV/text/HB2009/id/3166315,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2009%20eng.htm&yr=2025&sesstype=RS&i=2009
1988410,3214087,text,94934,text/html,Enrolled,https://legiscan.com/WV/text/HB2009/id/3214087,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2009%20enr.htm&yr=2025&sesstype=RS&i=2009
2002748,3168808,text,9428,text/html,Introduced,https://legiscan.com/WV/text/HB2010/id/3168808,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2010%20intr.htm&yr=2025&sesstype=RS&i=2010
2002748,3194018,text,8774,text/html,Engrossed,https://legiscan.com/WV/text/HB2010/id/3194018,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2010%20eng.htm&yr=2025&sesstype=RS&i=2010
1982233,3139748,text,7007,text/html,Introduced,https://legiscan.com/WV/text/HB2011/id/3139748,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2011%20intr.htm&yr=2025&sesstype=RS&i=2011
1982233,3192997,text,7054,text/html,"Comm Sub",https://legiscan.com/WV/text/HB2011/id/3192997,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2011%20sub1.htm&yr=2025&sesstype=RS&i=2011
1982233,3198037,text,6283,text/html,Engrossed,https://legiscan.com/WV/text/HB2011/id/3198037,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2011%20sub1%20eng.htm&yr=2025&sesstype=RS&i=2011
1982233,3211561,text,17355,text/html,Enrolled,https://legiscan.com/WV/text/HB2011/id/3211561,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2011%20sub1%20enr.htm&yr=2025&sesstype=RS&i=2011
1983961,3142008,text,24387,text/html,Introduced,https://legiscan.com/WV/text/HB2012/id/3142008,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2012%20intr.htm&yr=2025&sesstype=RS&i=2012
2008760,3177211,text,8098,text/html,Introduced,https://legiscan.com/WV/text/HB2013/id/3177211,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2013%20intr.htm&yr=2025&sesstype=RS&i=2013
2008760,3190449,text,9371,text/html,"Comm Sub",https://legiscan.com/WV/text/HB2013/id/3190449,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2013%20sub1.htm&yr=2025&sesstype=RS&i=2013
2008760,3193505,text,8548,text/html,Engrossed,https://legiscan.com/WV/text/HB2013/id/3193505,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2013%20sub1%20eng.htm&yr=2025&sesstype=RS&i=2013
2008760,3207442,text,18489,text/html,Enrolled,https://legiscan.com/WV/text/HB2013/id/3207442,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2013%20sub1%20enr.htm&yr=2025&sesstype=RS&i=2013
2009667,3179121,text,86973,text/html,Introduced,https://legiscan.com/WV/text/HB2014/id/3179121,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2014%20intr.htm&yr=2025&sesstype=RS&i=2014
2009667,3190321,text,98956,text/html,"Comm Sub",https://legiscan.com/WV/text/HB2014/id/3190321,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2014%20sub1.htm&yr=2025&sesstype=RS&i=2014
2009667,3195907,text,99098,text/html,Engrossed,https://legiscan.com/WV/text/HB2014/id/3195907,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2014%20sub1%20eng.htm&yr=2025&sesstype=RS&i=2014
2009667,3211090,text,93136,text/html,Enrolled,https://legiscan.com/WV/text/HB2014/id/3211090,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2014%20sub1%20enr.htm&yr=2025&sesstype=RS&i=2014
2009739,3179192,text,7266,text/html,Introduced,https://legiscan.com/WV/text/HB2015/id/3179192,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2015%20intr.htm&yr=2025&sesstype=RS&i=2015
2009739,3185871,text,7062,text/html,"Comm Sub",https://legiscan.com/WV/text/HB2015/id/3185871,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2015%20sub1.htm&yr=2025&sesstype=RS&i=2015
2009739,3195861,text,7217,text/html,Engrossed,https://legiscan.com/WV/text/HB2015/id/3195861,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2015%20sub1%20eng.htm&yr=2025&sesstype=RS&i=2015
2010715,3180954,text,44464,text/html,Introduced,https://legiscan.com/WV/text/HB2016/id/3180954,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2016%20intr.htm&yr=2025&sesstype=RS&i=2016
2009753,3179206,text,10850,text/html,Introduced,https://legiscan.com/WV/text/HB2017/id/3179206,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2017%20intr.htm&yr=2025&sesstype=RS&i=2017
2009682,3179136,text,17839,text/html,Introduced,https://legiscan.com/WV/text/HB2018/id/3179136,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2018%20intr.htm&yr=2025&sesstype=RS&i=2018
2009901,3179352,text,7199,text/html,Introduced,https://legiscan.com/WV/text/HB2019/id/3179352,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2019%20intr.htm&yr=2025&sesstype=RS&i=2019
2009887,3179339,text,12194,text/html,Introduced,https://legiscan.com/WV/text/HB2020/id/3179339,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2020%20intr.htm&yr=2025&sesstype=RS&i=2020
2009876,3179329,text,6542,text/html,Introduced,https://legiscan.com/WV/text/HB2021/id/3179329,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2021%20intr.htm&yr=2025&sesstype=RS&i=2021
2009912,3179363,text,13574,text/html,Introduced,https://legiscan.com/WV/text/HB2022/id/3179363,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2022%20intr.htm&yr=2025&sesstype=RS&i=2022
