bill_id,date,chamber,sequence,action
1906015,2025-01-08,Senate,1,"Introduced in Senate"
1906015,2025-01-08,Senate,2,"Immediate consideration"
1906015,2025-01-08,Senate,3,"Committee reference dispensed"
1906015,2025-01-08,Senate,4,"Adopted by Senate (Voice vote)"
1906015,2025-01-08,Senate,5,"Ordered to House"
1906015,2025-01-08,House,6,"House received Senate message"
1906015,2025-01-08,House,7,"Introduced in House"
1906015,2025-01-08,House,8,"Immediate consideration"
1906015,2025-01-08,House,9,"Adopted by House (Voice vote)"
1906015,2025-01-08,House,10,"Communicated to Senate"
1906015,2025-01-08,House,11,"Completed legislative action"
1906015,2025-01-08,Senate,12,"House Message received"
1906016,2025-01-08,House,1,"Introduced in House"
1906016,2025-01-08,House,2,"Reference dispensed"
1906016,2025-01-08,House,3,"Immediate consideration"
1906016,2025-01-08,House,4,"Adopted by House (Voice vote)"
1906016,2025-01-08,House,5,"Communicated to Senate"
1906016,2025-01-08,Senate,6,"Introduced in Senate"
1906016,2025-01-08,Senate,7,"Committee reference dispensed"
1906016,2025-01-08,Senate,8,"Immediate consideration"
1906016,2025-01-08,Senate,9,"Adopted by Senate (Voice vote)"
1906016,2025-01-08,Senate,10,"Communicated to House"
1906016,2025-01-08,Senate,11,"Completed legislative action"
1906018,2025-01-08,Senate,1,"Introduced in Senate"
1906018,2025-01-08,Senate,2,"Immediate consideration"
1906018,2025-01-08,Senate,3,"Adopted (Voice vote)"
1906018,2025-01-08,Senate,4,"Completed legislative action"
1906019,2025-01-08,Senate,1,"Introduced in Senate"
1906019,2025-01-08,Senate,2,"Immediate consideration"
1906019,2025-01-08,Senate,3,"Committee reference dispensed"
1906019,2025-01-08,Senate,4,"Adopted by Senate (Voice vote)"
1906019,2025-01-08,Senate,5,"Ordered to House"
1906019,2025-01-08,House,6,"House received Senate message"
1906019,2025-01-08,House,7,"Introduced in House"
1906019,2025-01-08,House,8,"Immediate consideration"
1906019,2025-01-08,House,9,"Adopted by House (Voice vote)"
1906019,2025-01-08,House,10,"Communicated to Senate"
1906019,2025-01-08,House,11,"Completed legislative action"
1906019,2025-01-08,Senate,12,"House Message received"
1906021,2025-01-08,Senate,1,"Introduced in Senate"
1906021,2025-01-08,Senate,2,"Immediate consideration"
1906021,2025-01-08,Senate,3,"Committee reference dispensed"
1906021,2025-01-08,Senate,4,"Adopted (Voice vote)"
1906021,2025-01-08,Senate,5,"Completed legislative action"
1906022,2025-01-08,House,1,"Filed for introduction"
