bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1966003,1520850,2025-03-19,House,"Passed House (Roll No. 111)",91,7,0,2,100
1966003,1540846,2025-04-08,Senate,"Passed Senate (Roll No. 360)",34,0,0,0,34
1966003,1542621,2025-04-09,House,"House concurred in Senate amendment and passed bill (Roll No. 425)",88,9,0,3,100
1966007,1502632,2025-02-28,House,"Passed House (Roll No. 14)",98,0,0,2,100
1966013,1507043,2025-03-06,House,"Passed House (Roll No. 32)",86,14,0,0,100
1966062,1534374,2025-04-02,House,"Passed House (Roll No. 341)",58,42,0,0,100
1966062,1534375,2025-04-02,House,"Effective date rejected (Roll No. 342)",56,44,0,0,100
1966062,1546259,2025-04-11,Senate,"Passed Senate (Roll No. 466)",22,12,0,0,34
1966062,1546260,2025-04-11,Senate,"Effective from passage (Roll No. 476)",27,7,0,0,34
1966062,1546776,2025-04-12,House,"House concurred in Senate amendment and passed bill (Roll No. 634)",71,27,0,2,100
1966062,1546777,2025-04-12,House,"Motion to change effective date to July 1, 2025 tabled (Roll No. 640)",62,36,0,2,100
1966062,1546778,2025-04-12,House,"Effective from passage (Roll No. 641)",65,33,0,2,100
1966063,1517119,2025-03-13,House,"Passed House (Roll No. 81)",89,6,0,5,100
1966066,1530858,2025-03-31,House,"Passed House (Roll No. 262)",97,1,0,2,100
1966066,1543872,2025-04-10,Senate,"Passed Senate (Roll No. 426)",34,0,0,0,34
1966066,1545880,2025-04-11,House,"House concurred in Senate amendment and passed bill (Roll No. 552)",98,0,0,2,100
1966077,1518331,2025-03-17,House,"Passed House (Roll No. 96)",93,1,0,6,100
1966077,1536116,2025-04-03,Senate,"Floor amendment rejected (Roll No. 304)",8,26,0,0,34
1966077,1537067,2025-04-04,Senate,"Passed Senate (Roll No. 309)",29,4,0,1,34
1966088,1506009,2025-03-05,House,"Passed House (Roll No. 27)",93,5,0,2,100
1966090,1502298,2025-02-28,House,"Passed House (Roll No. 15)",98,0,0,2,100
1966090,1537291,2025-04-04,Senate,"Passed Senate with amended title (Roll No. 308)",33,0,0,1,34
1966090,1538583,2025-04-07,House,"House concurred in Senate amendment and passed bill (Roll No. 396)",95,0,0,5,100
1966102,1515788,2025-03-12,House,"Passed House (Roll No. 62)",82,14,0,4,100
1966102,1515789,2025-03-12,House,"Effective from passage (Roll No. 63)",86,10,0,4,100
1966102,1537061,2025-04-04,Senate,"Passed Senate (Roll No. 310)",31,2,0,1,34
1966102,1537062,2025-04-04,Senate,"Effective from passage (Roll No. 311)",33,0,0,1,34
1966110,1518747,2025-03-17,House,"Passed House (Roll No. 95)",81,13,0,6,100
1966129,1498870,2025-02-25,House,"Passed House (Roll No. 9)",95,1,0,4,100
1966129,1518075,2025-03-14,Senate,"Passed Senate with amended title (Roll No. 117)",32,0,0,2,34
1966129,1535607,2025-04-03,House,"House concurred in Senate amend with amend, passed bill (Roll No. 367)",98,0,0,2,100
1966129,1538141,2025-04-07,Senate,"Senate concurred in House amendments and passed bill (Roll No. 325)",34,0,0,0,34
1966166,1513054,2025-03-11,House,"Passed House (Roll No. 56)",93,3,0,4,100
1966192,1508472,2025-03-07,House,"Passed House (Roll No. 39)",87,9,0,4,100
1966192,1524587,2025-03-24,Senate,"Passed Senate (Roll No. 163)",32,1,0,1,34
1966192,1535637,2025-04-03,House,"House concurred in Senate amendment and passed bill (Roll No. 368)",89,9,0,2,100
