bill_id,people_id,position
1906015,19382,1
1906016,16935,1
1906018,19382,1
1906019,19382,1
1906021,15831,1
1906022,16935,1
1906023,16935,1
1907231,16935,1
1907328,16935,1
1907436,16935,1
1907539,16935,1
1965967,20544,4
1965967,22815,1
1965967,24295,2
1965967,25665,3
1965969,22870,1
1965970,22870,1
1965971,22870,1
1965972,22954,1
1965975,22823,1
1965975,26213,2
1965977,22870,1
1965980,22870,1
1965981,22870,1
1965984,22870,1
1965986,11206,1
1965986,26214,2
1965987,22814,1
1965990,20548,1
1965991,22870,1
1965993,22846,1
1965995,22814,1
1965997,22814,1
1965998,11207,1
1965998,24284,2
1965998,26214,3
1966002,22870,1
1966003,826,9
1966003,19670,4
1966003,20548,11
1966003,21121,5
1966003,22818,2
1966003,22820,10
1966003,24278,1
1966003,24284,3
1966003,24295,6
1966003,25066,7
1966003,26205,8
1966004,22870,1
1966007,15908,2
1966007,22818,3
1966007,22870,6
1966007,22954,7
1966007,23025,4
1966007,24273,1
1966007,24284,11
1966007,24285,8
1966007,24293,9
1966007,25036,10
1966007,26206,5
1966008,22870,1
1966009,22807,1
1966011,11207,1
1966011,26395,2
1966013,21121,4
1966013,22870,1
1966013,23025,6
1966013,24073,5
1966013,24277,3
1966013,24284,9
1966013,24285,2
1966013,25665,8
1966013,26214,7
1966015,22870,1
1966017,11206,1
1966020,22870,1
1966022,22823,1
1966024,22870,1
1966026,15860,1
1966028,22870,1
1966029,22814,1
1966029,25665,2
1966030,22814,1
1966035,22815,1
1966039,22870,1
1966041,22814,2
1966041,22822,3
1966041,22823,1
1966047,22870,1
1966048,11207,1
1966050,22870,1
1966052,22807,1
1966054,22814,1
1966056,22870,1
1966057,22814,1
1966058,11207,1
1966059,20548,1
1966062,22815,1
1966062,22954,2
1966062,26395,3
1966063,22807,1
1966063,25665,2
1966066,22870,1
1966066,24282,2
1966066,24285,3
1966069,22823,1
1966070,15860,1
1966075,22823,1
1966076,22870,1
1966077,20552,1
1966078,20548,1
1966083,22811,2
1966083,22870,1
1966083,22954,3
1966083,26214,4
1966085,16931,1
1966087,11206,1
1966087,26214,2
1966088,20552,3
1966088,22811,5
1966088,22822,10
1966088,22846,8
1966088,22870,1
1966088,23025,2
1966088,24272,4
1966088,25035,6
1966088,26207,7
1966088,26209,9
1966090,22814,1
1966092,22870,1
1966093,22870,1
1966099,11206,1
1966099,25036,3
1966099,25217,2
1966100,22870,1
1966102,22870,1
1966103,22818,2
1966103,22823,1
1966103,24284,3
1966103,24289,4
1966107,17838,2
1966107,22807,1
1966109,22870,1
1966110,11796,2
1966110,16931,1
1966110,20550,3
1966115,22870,1
1966116,22870,1
1966118,22870,1
1966120,24278,1
1966122,16940,1
1966122,24277,3
1966122,24285,2
1966122,24482,4
1966123,22870,1
1966127,20548,1
1966129,22814,1
1966129,22820,3
1966129,24272,4
1966129,24285,2
1966135,22870,1
1966136,826,7
1966136,11206,3
1966136,19253,10
1966136,21121,4
1966136,22818,8
1966136,22870,1
1966136,22954,9
1966136,23025,6
1966136,24073,2
1966136,24272,5
1966136,25033,11
1966138,16931,1
1966139,11207,1
1966139,26214,2
1966140,11206,1
1966140,26214,2
1966142,22870,1
1966145,22818,8
1966145,22823,11
1966145,23025,3
1966145,24074,7
1966145,24272,6
1966145,24273,1
1966145,24279,4
1966145,24284,2
1966145,24293,5
1966145,25033,9
1966145,25218,10
1966148,20548,1
1966150,11796,1
1966150,20550,2
1966150,24074,3
1966151,11796,1
1966151,16931,2
1966151,20550,3
1966151,24074,4
1966151,24482,5
1966152,22870,1
1966154,22870,1
1966155,22815,2
1966155,22870,1
1966157,20552,1
1966160,22815,1
1966161,22870,1
1966163,22870,1
1966165,11592,2
1966165,22870,1
1966165,24285,3
1966166,11206,1
1966166,22815,3
1966166,24284,2
1966166,26214,4
1966167,20548,1
1966171,20548,1
1966172,19272,5
1966172,23157,2
1966172,24074,1
1966172,24285,3
1966172,26395,4
1966175,11207,1
1966175,24284,2
1966175,26214,3
1966176,22870,1
1966177,22870,1
1966178,22814,1
1966179,22870,1
1966190,22870,1
1966191,22870,1
1966192,11207,2
1966192,15860,1
1966192,22818,7
1966192,22820,4
1966192,22823,3
1966192,24272,8
1966192,24280,9
1966192,24289,6
1966192,25665,5
1966193,20548,1
1966195,22870,1
1966197,22870,1
1966199,11206,1
1966202,15860,1
1966202,22822,2
1966205,20548,1
1966208,22870,1
1966209,11207,1
1966209,26205,2
1966211,16931,1
1966211,24272,2
1966211,25665,3
1966213,22870,1
1966217,22870,1
1966219,20548,1
1966221,20552,1
1966223,22870,1
1966224,20606,1
1966224,22846,2
1966228,20548,1
1966228,22846,2
1966229,22870,1
1966231,22870,1
1966235,22870,1
1966237,20548,1
1966238,16931,1
1966241,22870,1
1966242,11206,4
1966242,11592,8
1966242,21121,5
1966242,22870,1
1966242,23025,7
1966242,24073,3
1966242,24272,6
1966242,24285,2
1966242,26214,9
1966243,20544,3
1966243,22814,1
1966243,26211,2
1966247,22870,1
1966250,22870,1
1966252,11796,1
1966252,16931,2
1966252,20550,3
1966254,22870,1
1966257,15908,5
1966257,22807,3
1966257,22811,4
1966257,22846,9
1966257,22954,6
1966257,23157,1
1966257,24074,8
1966257,24277,2
1966257,24285,7
1966258,20548,1
1966260,24278,1
1966261,22870,1
1966267,19253,1
1966269,11207,1
1966269,22818,4
1966269,24284,2
1966269,24289,3
1966273,11207,1
1966274,22814,2
1966274,22823,1
1966274,26214,3
1966275,22815,2
1966275,22870,1
1966275,24272,3
1966275,26214,4
1966276,22823,1
1966276,26213,3
1966276,26214,2
1966277,22815,1
1966277,24271,2
1966281,20552,1
1966282,22870,1
1966284,20544,7
1966284,22811,11
1966284,22822,5
1966284,23025,1
1966284,24074,9
1966284,24285,10
1966284,26207,6
1966284,26209,3
1966284,26210,8
1966284,26215,4
1966284,26412,2
1966285,16931,1
1966285,24280,2
1966287,22870,1
1966291,11796,2
1966291,16931,1
1966291,22807,8
1966291,22823,3
1966291,24272,7
1966291,24285,4
1966291,24482,5
1966291,25665,9
1966291,26412,6
1966292,11207,1
1966292,26214,2
1966296,19253,1
1966296,24272,2
1966297,11206,1
1966299,22870,1
1966300,11206,1
1966309,22870,1
1966310,11207,1
1966313,22870,1
1966315,22870,1
1966318,22870,1
1966321,22807,1
1966322,22870,1
1966324,22870,1
1966325,20548,1
1966328,22870,1
1966331,16940,8
1966331,16998,9
1966331,21121,4
1966331,22815,6
1966331,22823,11
1966331,22846,7
1966331,22870,1
1966331,23025,5
1966331,24277,3
1966331,24281,10
1966331,24285,2
1966333,20552,1
1966333,22814,2
1966334,20548,1
1966336,22870,1
1966340,19253,1
1966340,24272,2
1966340,26212,3
1966342,22807,1
1966343,11796,9
1966343,15860,5
1966343,16931,2
1966343,21121,8
1966343,23025,4
1966343,24272,10
1966343,24276,3
1966343,24277,6
1966343,24284,1
1966343,24285,7
1966348,22814,1
1966351,22870,1
1966352,20548,1
1966354,20548,1
1966356,11206,1
1966356,26209,2
1966359,11207,1
1966360,22807,1
1966360,22814,2
1966363,22870,1
1966366,22870,1
1966367,20552,3
1966367,22814,1
1966367,22823,2
1966369,22870,1
1966370,11206,1
1966370,24284,2
1966370,26214,3
1966372,11796,6
1966372,21121,3
1966372,22815,9
1966372,22818,8
1966372,22870,1
1966372,23025,5
1966372,24073,2
1966372,24272,4
1966372,24276,7
1966372,24285,10
1966372,24482,11
1966373,22870,1
1966377,22870,1
1966379,22870,1
1966381,22823,1
1966381,26214,2
1966382,22870,1
1966384,22870,1
1966387,22870,1
1966388,20552,1
1966391,22870,1
1966396,22870,1
1966398,15860,1
1966399,22814,1
1966403,20548,1
1966404,22870,1
1966405,11796,1
1966405,16931,2
1966405,22815,4
1966405,24074,3
1966409,11207,1
1966411,15860,1
1966412,22870,1
1966413,20548,1
1966415,11207,1
1966416,22870,1
1966418,22870,1
1966428,22870,1
1966430,22870,1
1966431,22870,1
1966433,22870,1
1966436,16931,1
1966436,24280,2
1966437,19253,1
1966437,22811,3
1966437,24272,2
1966440,22870,1
1966442,22870,1
1966445,11207,4
1966445,16940,2
1966445,19425,7
