bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1945813,2157,HB0001,2,Engrossed,2025-02-07,"General government appropriations-2.","AN ACT relating to supplemental appropriations for the operation of state government for the fiscal biennium commencing July 1, 2024 and ending June 30, 2026; providing definitions; providing additional appropriations and transfers of funds for the period of the budget; increasing or decreasing specified amounts; adjusting the number of positions; modifying prior appropriations; providing for duties, terms and conditions and other requirements relating to appropriations for the period of the budget as specified; providing for position and other budgetary limitations; providing for loans and loan repayments; and providing for an effective date.",0,,2025-03-06,"See Mirror Bill SF0001",https://legiscan.com/WY/bill/HB0001/2025,https://www.wyoleg.gov/Legislation/2025/HB0001
1893485,2157,HB0002,6,Failed,2025-02-10,"Hunting license application fees increase.","AN ACT relating to game and fish; authorizing the game and fish commission to set application fees for hunting licenses as specified; removing minimum contribution requirements to property damage compensation fund; requiring rulemaking; and providing for effective dates.",0,,2025-02-10,"COW:H Did not consider for COW",https://legiscan.com/WY/bill/HB0002/2025,https://www.wyoleg.gov/Legislation/2025/HB0002
1893487,2157,HB0003,6,Failed,2025-03-03,"Animal abuse-predatory animals.","AN ACT relating to crimes and offenses; providing for a new criminal offense of cruelty to animals; increasing the maximum fine for a misdemeanor first offense cruelty to animals conviction; providing for the suspension of hunting privileges for a cruelty to animals conviction as specified; authorizing game and fish law enforcement to enforce the criminal provisions of cruelty to animals as specified; specifying applicability; and providing for an effective date.",0,,2025-03-03,"H:Died in Committee Returned Bill Pursuant to HR 5-4",https://legiscan.com/WY/bill/HB0003/2025,https://www.wyoleg.gov/Legislation/2025/HB0003
1893477,2157,HB0004,4,Passed,2025-02-24,"Snowmobile registration and user fees.","AN ACT relating to motor vehicles; increasing annual registration fees for resident snowmobiles; increasing nonresident annual snowmobile user fees; creating a permanent registration for antique snowmobiles; providing definitions; making conforming amendments; requiring rulemaking; and providing for effective dates.",0,,2025-02-24,"Assigned Chapter Number 38",https://legiscan.com/WY/bill/HB0004/2025,https://www.wyoleg.gov/Legislation/2025/HB0004
1893473,2157,HB0005,4,Passed,2025-02-27,"Fishing outfitters and guides-registration of fishing boats.","AN ACT relating to game and fish; authorizing the Wyoming game and fish commission to regulate commercially guided fishing boats; providing for registration of commercially guided fishing boats, vehicles and trailers operated by outfitters and professional fishing guides; providing an exception; creating an advisory board; specifying duties of the advisory board; requiring a report; providing definitions; providing rulemaking authority; and providing for an effective date.",0,,2025-02-27,"Assigned Chapter Number 50",https://legiscan.com/WY/bill/HB0005/2025,https://www.wyoleg.gov/Legislation/2025/HB0005
1893475,2157,HB0006,6,Failed,2025-02-03,"Advance health care directives-dementia.","AN ACT relating to the Wyoming health care decisions act; amending the definition of advance health care directive to include dementia directives; and providing for an effective date.",0,,2025-02-03,"Did not Consider for Introduction",https://legiscan.com/WY/bill/HB0006/2025,https://www.wyoleg.gov/Legislation/2025/HB0006
1893482,2157,HB0007,6,Failed,2025-02-03,"K-12 post secondary education options.","AN ACT relating to education; modifying duties of school district boards of trustees to require access to a minimum of twelve (12) post secondary credit hours for high school students as specified; and providing for an effective date.",0,,2025-02-03,"Did not Consider for Introduction",https://legiscan.com/WY/bill/HB0007/2025,https://www.wyoleg.gov/Legislation/2025/HB0007
1893490,2157,HB0008,6,Failed,2025-02-03,"School finance-average daily membership.","AN ACT relating to school finance; modifying the definition of average daily membership as specified; specifying applicability; and providing for an effective date.",0,,2025-02-03,"Did not Consider for Introduction",https://legiscan.com/WY/bill/HB0008/2025,https://www.wyoleg.gov/Legislation/2025/HB0008
1894645,2157,HB0009,6,Failed,2025-02-03,"Young entrepreneurs-limiting license requirements.","AN ACT relating to counties, cities and towns; prohibiting counties, cities and towns from requiring a license, permit or other authorization for a business operated by a minor as specified; and providing for an effective date.",0,,2025-02-03,"Did not Consider for Introduction",https://legiscan.com/WY/bill/HB0009/2025,https://www.wyoleg.gov/Legislation/2025/HB0009
1894646,2157,HB0010,1,Introduced,2025-01-17,"Limited mining operations-amendments.","AN ACT relating to environmental quality; amending requirements for the commencement of limited mining operations; amending bonding, notice and reporting requirements for limited mining operations; limiting overburden surface mining operations as specified; amending requirements for extending limited mining operations; amending bond release provisions for limited mining operations; authorizing rulemaking; and providing for effective dates.",0,,2025-01-28,"COW:Failed 17-39-5-0-1",https://legiscan.com/WY/bill/HB0010/2025,https://www.wyoleg.gov/Legislation/2025/HB0010
