bill_id,date,chamber,sequence,action
1893468,2024-12-02,,1,"Bill Number Assigned"
1893468,2024-12-19,Senate,2,"Received for Introduction"
1893468,2025-01-15,Senate,3,"Introduced and Referred to S01 - Judiciary"
1893468,2025-01-16,Senate,4,"S01 - Judiciary:Recommend Do Pass 5-0-0-0-0"
1893468,2025-01-16,Senate,5,"Placed on General File"
1893468,2025-01-17,Senate,6,COW:Passed
1893468,2025-01-20,Senate,7,"2nd Reading:Passed"
1893468,2025-01-21,Senate,8,"3rd Reading:Passed 29-0-2-0-0"
1893468,2025-01-22,House,9,"Received for Introduction"
1893468,2025-02-11,House,10,"Introduced and Referred to H01 - Judiciary"
1893468,2025-02-14,House,11,"H01 - Judiciary:Recommend Do Pass 9-0-0-0-0"
1893468,2025-02-14,House,12,"Placed on General File"
1893468,2025-02-28,House,13,"COW:H Did not consider for COW"
1893469,2024-12-02,,1,"Bill Number Assigned"
1893469,2024-12-19,Senate,2,"Received for Introduction"
1893469,2025-01-15,Senate,3,"Introduced and Referred to S01 - Judiciary"
1893469,2025-02-10,Senate,4,"No report prior to CoW Cutoff"
1893469,2025-03-03,Senate,5,"S:Died in Committee Returned Bill Pursuant to SR 5-4"
1893470,2024-12-02,,1,"Bill Number Assigned"
1893470,2024-12-19,Senate,2,"Received for Introduction"
1893470,2025-01-15,Senate,3,"Introduced and Referred to S01 - Judiciary"
1893470,2025-01-17,Senate,4,"S01 - Judiciary:Recommend Amend and Do Pass 5-0-0-0-0"
1893470,2025-01-17,Senate,5,"Placed on General File"
1893470,2025-01-17,Senate,6,COW:Passed
1893470,2025-01-20,Senate,7,"2nd Reading:Passed"
1893470,2025-01-21,Senate,8,"3rd Reading:Passed 27-2-2-0-0"
1893470,2025-01-22,House,9,"Received for Introduction"
1893470,2025-02-10,House,10,"Introduced and Referred to H01 - Judiciary"
1893470,2025-02-12,House,11,"H01 - Judiciary:Recommend Amend and Do Pass 9-0-0-0-0"
1893470,2025-02-12,House,12,"Placed on General File"
1893470,2025-02-13,House,13,COW:Passed
1893470,2025-02-14,House,14,"2nd Reading:Passed"
1893470,2025-02-18,House,15,"3rd Reading:Laid Back"
1893470,2025-02-19,House,16,"3rd Reading:Passed 58-3-1-0-0"
1893470,2025-02-19,Senate,17,"Received for Concurrence"
1893470,2025-02-20,Senate,18,"Concur:Passed 31-0-0-0-0"
1893470,2025-02-20,,19,"Assigned Number SEA No. 0020"
1893470,2025-02-20,Senate,20,"President Signed SEA No. 0020"
1893470,2025-02-20,House,21,"Speaker Signed SEA No. 0020"
1893470,2025-02-24,,22,"Became Law without Signature"
1893470,2025-02-24,,23,"Assigned Chapter Number 41"
1893471,2024-12-02,,1,"Bill Number Assigned"
1893471,2024-12-19,Senate,2,"Received for Introduction"
1893471,2025-01-22,Senate,3,"Introduced and Referred to S08 - Transportation"
1893471,2025-01-28,Senate,4,"S08 - Transportation:Recommend Do Pass 5-0-0-0-0"
1893471,2025-01-28,Senate,5,"Placed on General File"
1893471,2025-01-29,Senate,6,COW:Passed
1893471,2025-01-30,Senate,7,"2nd Reading:Passed"
1893471,2025-01-31,Senate,8,"3rd Reading:Passed 30-0-1-0-0"
1893471,2025-01-31,House,9,"Received for Introduction"
1893471,2025-02-18,House,10,"Introduced and Referred to H04 - Education"
1893471,2025-02-21,House,11,"H04 - Education:Recommend Do Pass 9-0-0-0-0"
1893471,2025-02-21,House,12,"Placed on General File"
1893471,2025-02-24,House,13,COW:Passed
1893471,2025-02-25,House,14,"2nd Reading:Passed"
1893471,2025-02-26,House,15,"3rd Reading:Passed 59-0-3-0-0"
1893471,2025-02-26,,16,"Assigned Number SEA No. 0045"
1893471,2025-02-26,Senate,17,"President Signed SEA No. 0045"
1893471,2025-02-26,House,18,"Speaker Signed SEA No. 0045"
1893471,2025-02-28,,19,"Governor Signed SEA No. 0045 "
1893471,2025-02-28,,20,"Assigned Chapter Number 77"
1893473,2024-12-02,,1,"Bill Number Assigned"
1893473,2025-01-02,House,2,"Received for Introduction"
1893473,2025-01-14,House,3,"Introduced and Referred to H06 - Travel"
1893473,2025-01-24,House,4,"H06 - Travel:Recommend Amend and Do Pass 9-0-0-0-0"
1893473,2025-01-24,House,5,"Placed on General File"
1893473,2025-01-30,House,6,COW:Passed
1893473,2025-01-31,House,7,"2nd Reading:Passed"
1893473,2025-02-03,House,8,"3rd Reading:Passed 35-22-5-0-0"
1893473,2025-02-04,Senate,9,"Received for Introduction"
1893473,2025-02-11,Senate,10,"Introduced and Referred to S06 - Travel"
1893473,2025-02-18,Senate,11,"S06 - Travel:Recommend Amend and Do Pass 4-1-0-0-0"
1893473,2025-02-18,Senate,12,"Placed on General File"
1893473,2025-02-20,Senate,13,COW:Passed
1893473,2025-02-21,Senate,14,"2nd Reading:Passed"
1893473,2025-02-24,Senate,15,"3rd Reading:Passed 19-11-1-0-0"
1893473,2025-02-24,House,16,"Received for Concurrence"
1893473,2025-02-24,House,17,"Concur:Passed 33-22-7-0-0"
1893473,2025-02-25,,18,"Assigned Number HEA No. 0031"
1893473,2025-02-25,House,19,"Speaker Signed HEA No. 0031"
1893473,2025-02-25,Senate,20,"President Signed HEA No. 0031"
1893473,2025-02-27,,21,"Governor Signed HEA No. 0031 "
1893473,2025-02-27,,22,"Assigned Chapter Number 50"
1893474,2024-12-02,,1,"Bill Number Assigned"
1893474,2024-12-19,Senate,2,"Received for Introduction"
1893474,2025-01-14,Senate,3,"Introduced and Referred to S04 - Education"
1893474,2025-01-15,Senate,4,"S04 - Education:Recommend Do Pass 5-0-0-0-0"
1893474,2025-01-15,Senate,5,"Placed on General File"
1893474,2025-01-15,Senate,6,COW:Passed
1893474,2025-01-16,Senate,7,"2nd Reading:Passed"
1893474,2025-01-17,Senate,8,"3rd Reading:Passed 30-0-1-0-0"
1893474,2025-01-17,House,9,"Received for Introduction"
1893474,2025-02-10,House,10,"Introduced and Referred to H04 - Education"
1893474,2025-02-12,House,11,"H04 - Education:Recommend Amend and Do Pass 9-0-0-0-0"
1893474,2025-02-12,House,12,"Placed on General File"
1893474,2025-02-13,House,13,COW:Passed
1893474,2025-02-14,House,14,"2nd Reading:Passed"
1893474,2025-02-18,House,15,"3rd Reading:Passed 61-0-1-0-0"
1893474,2025-02-18,Senate,16,"Received for Concurrence"
1893474,2025-02-19,Senate,17,"Concur:Passed 31-0-0-0-0"
1893474,2025-02-19,,18,"Assigned Number SEA No. 0009"
1893474,2025-02-19,Senate,19,"President Signed SEA No. 0009"
1893474,2025-02-20,House,20,"Speaker Signed SEA No. 0009"
1893474,2025-02-24,,21,"Governor Signed SEA No. 0009 "
1893474,2025-02-24,,22,"Assigned Chapter Number 21"
1893475,2024-12-02,,1,"Bill Number Assigned"
1893475,2025-01-02,House,2,"Received for Introduction"
1893475,2025-02-03,House,3,"Did not Consider for Introduction"
1893476,2024-12-02,,1,"Bill Number Assigned"
1893476,2024-12-19,Senate,2,"Received for Introduction"
1893476,2025-01-15,Senate,3,"Introduced and Referred to S06 - Travel"
1893476,2025-01-21,Senate,4,"S06 - Travel:Recommend Do Pass 4-1-0-0-0"
1893476,2025-01-21,Senate,5,"Placed on General File"
1893476,2025-01-22,Senate,6,COW:Passed
1893476,2025-01-23,Senate,7,"2nd Reading:Passed"
1893476,2025-01-24,Senate,8,"3rd Reading:Laid Back"
