people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
8629,Appropriations,,,,,,0,,3,Jnt,,0,0,,,0,1628
8630,"Agriculture, State and Public Lands and Water Resources",,,,,,0,,3,Jnt,,0,0,,,0,1631
8631,"Corporations, Elections and Political Subdivisions",,,,,,0,,3,Jnt,,0,0,,,0,1633
8633,Judiciary,,,,,,0,,3,Jnt,,0,0,,,0,1627
8634,"Travel, Recreation, Wildlife and Cultural Resources",,,,,,0,,3,Jnt,,0,0,,,0,1632
8641,"Bill Landen",Bill,,Landen,,,2,R,2,Sen,SD-027,13013970,93366,,Bill_Landen,257972,0
8663,"Charles Scott",Charles,K.,Scott,,,2,R,2,Sen,SD-030,6651901,2756,,Charles_Scott_(Wyoming),200162,0
8669,"Labor, Health and Social Services",,,,,,0,,3,Jnt,,0,0,,,0,1636
8670,"Transportation, Highways and Military Affairs",,,,,,0,,3,Jnt,,0,0,,,0,1634
8675,"Cale Case",Cale,,Case,,,2,R,2,Sen,SD-025,10157227,2744,,Cale_Case,200156,0
8678,Revenue,,,,,,0,,3,Jnt,,0,0,,,0,1629
8679,"Dan Dockstader",Dan,,Dockstader,,,2,R,2,Sen,SD-016,6670712,66202,,Dan_Dockstader,249671,0
8692,Education,,,,,,0,,3,Jnt,,0,0,,,0,1630
8693,"Minerals, Business and Economic Development",,,,,,0,,3,Jnt,,0,0,,,0,1635
8702,"Select Water",,,,,,0,,3,Jnt,,0,0,,,0,1643
8706,"Select School Facilities",,,,,,0,,3,Jnt,,0,0,,,0,1641
8713,"Bob Nicholas",Bob,,Nicholas,,,2,R,1,Rep,HD-007,6676525,106111,,Bob_Nicholas,296401,0
8720,"Management Council",,,,,,0,,3,Jnt,,0,0,,,0,1639
8725,"Steve Harshman",Steve,,Harshman,,,2,R,1,Rep,HD-037,6606075,52736,,Steve_Harshman,214299,0
10600,"Larry Hicks",Larry,,Hicks,,,2,R,2,Sen,SD-011,13013950,52685,,Larry_S._Hicks_(Wyoming),296387,0
10602,"Chris Rothfuss",Chris,,Rothfuss,,,1,D,2,Sen,SD-009,6507316,106281,,Chris_Rothfuss,267177,0
10604,"Ogden Driskill",Ogden,,Driskill,,,2,R,2,Sen,SD-001,6666433,52627,,Ogden_Driskill,296082,0
