bill_id,people_id,position
1893476,8634,1
1894419,8692,1
1894641,8693,1
1894646,8693,1
1894769,19384,1
1894769,20157,4
1894769,24162,2
1894769,24307,3
1895006,8670,1
1895023,8670,1
1896800,8630,1
1896823,8629,1
1896828,8713,3
1896828,8725,2
1896828,20157,7
1896828,22555,6
1896828,23192,5
1896828,23645,4
1896828,25311,1
1897143,22125,1
1897187,8633,1
1897190,8633,1
1897604,8679,9
1897604,16716,10
1897604,21911,6
1897604,22014,7
1897604,22234,3
1897604,23393,1
1897604,23394,2
1897604,23400,8
1897604,25307,4
1897604,25312,5
1898811,8725,4
1898811,10604,11
1898811,14226,8
1898811,14228,3
1898811,16559,13
1898811,18100,9
1898811,18213,15
1898811,18469,14
1898811,22131,12
1898811,22963,7
1898811,23192,10
1898811,23645,5
1898811,24162,2
1898811,25305,1
1898811,25326,6
1899713,14229,7
1899713,16716,10
1899713,20375,5
1899713,21912,6
1899713,22013,3
1899713,22502,9
1899713,23393,1
1899713,23645,4
1899713,23683,8
1899713,25307,2
1899819,8678,1
1899822,8678,1
1900322,8663,17
1900322,16716,18
1900322,17805,13
1900322,18100,12
1900322,18469,16
1900322,21911,9
1900322,22077,5
1900322,22234,2
1900322,22554,1
1900322,23192,14
1900322,23400,11
1900322,23644,7
1900322,23645,10
1900322,25306,3
1900322,25311,4
1900322,25317,6
1900322,25318,8
1900322,25330,15
1900326,8630,1
1900345,8630,1
1900420,8641,8
1900420,10602,10
1900420,18100,6
1900420,18469,9
1900420,22014,4
1900420,22554,1
1900420,23192,7
1900420,23394,2
1900420,24753,3
1900420,25325,5
1900445,8630,1
1901420,14229,9
1901420,16559,11
1901420,16716,14
1901420,18100,7
1901420,20171,6
1901420,21911,4
1901420,22234,3
1901420,22235,8
1901420,22502,12
1901420,23393,1
1901420,23399,5
1901420,23683,10
1901420,24753,2
1901420,25328,13
1901648,16559,6
1901648,21912,3
1901648,22235,4
1901648,22502,7
1901648,23383,2
1901648,23396,1
1901648,23683,5
1901648,25328,8
1904307,8725,4
1904307,10602,12
1904307,14229,10
1904307,16559,11
1904307,18100,9
1904307,18213,13
1904307,21911,6
1904307,22012,3
1904307,22014,7
1904307,22234,2
1904307,22554,1
1904307,23396,5
1904307,23645,8
1907968,17805,8
1907968,20157,10
1907968,20375,7
1907968,22502,9
1907968,22556,3
1907968,23383,6
1907968,23393,1
1907968,23396,4
1907968,24753,2
1907968,25320,5
1908020,18100,5
1908020,18213,7
1908020,18469,6
1908020,21911,4
1908020,22012,2
1908020,22077,3
1908020,22554,1
1911910,10600,7
1911910,14229,8
1911910,16716,10
1911910,17805,6
1911910,21911,4
1911910,22012,2
1911910,23394,1
1911910,23399,5
1911910,23644,3
1911910,24311,9
1912227,10600,9
1912227,21911,6
1912227,22012,3
1912227,22077,4
1912227,22234,1
1912227,23192,8
1912227,25313,2
1912227,25317,5
1912227,25322,7
1912227,25329,10
1916118,21911,6
1916118,22077,3
1916118,22234,1
1916118,25305,2
1916118,25318,4
1916118,25320,5
1916118,25329,7
1916653,8675,2
1916653,10604,3
1916653,14230,1
1916786,8725,3
1916786,17805,5
1916786,18469,7
1916786,22234,2
1916786,22554,1
1916786,23192,6
1916786,23644,4
1916865,10604,6
1916865,10612,4
1916865,22555,5
1916865,23879,3
1916865,24753,1
1916865,25305,2
1919113,20377,6
1919113,23394,1
1919113,23644,3
1919113,25305,2
1919113,25318,4
1919113,25319,5
1919113,25326,7
1919113,25327,8
1919113,25329,9
1919160,8679,6
1919160,20171,5
1919160,21912,4
1919160,22014,1
1919160,22235,7
1919160,22502,9
1919160,23683,8
1919160,25323,2
1919160,25327,3
1919241,17805,9
1919241,20171,8
1919241,22077,4
1919241,23383,7
1919241,23393,1
1919241,23879,3
1919241,25305,2
1919241,25317,5
1919241,25319,6
1919241,25329,10
1921174,8679,10
1921174,22131,12
1921174,22555,9
1921174,23396,6
1921174,23644,5
1921174,23647,8
1921174,23879,2
1921174,24160,1
1921174,24163,7
1921174,24307,4
1921174,24311,11
1921174,25311,3
1922257,10612,3
1922257,17805,8
1922257,20171,7
1922257,23400,6
1922257,24753,1
1922257,25309,2
1922257,25316,4
1922257,25318,5
1922257,25328,9
1924513,10602,10
1924513,18100,7
1924513,20157,11
1924513,22554,1
1924513,22676,4
1924513,22677,5
1924513,23192,8
1924513,23645,6
1924513,24161,2
1924513,25316,3
1924513,25330,9
1924598,8725,5
1924598,10602,9
1924598,14226,6
1924598,14228,3
1924598,18469,8
1924598,19384,2
1924598,20157,10
1924598,23192,7
1924598,25307,1
1924598,25312,4
1924853,14229,10
1924853,16716,13
1924853,20375,8
1924853,22131,11
1924853,22234,2
1924853,22556,5
1924853,23396,6
1924853,24163,9
1924853,24753,1
1924853,25307,3
1924853,25317,4
1924853,25320,7
1924853,25329,12
1925450,8679,5
1925450,14229,6
1925450,16716,9
1925450,18469,7
1925450,21911,3
1925450,22012,1
1925450,22014,4
1925450,22077,2
1925450,25329,8
1925702,8679,6
1925702,20171,5
1925702,22013,3
1925702,22234,1
1925702,23399,4
1925702,25313,2
1926046,10600,11
1926046,10604,10
1926046,14228,4
1926046,14229,12
1926046,16716,14
1926046,17805,8
1926046,21911,7
1926046,22077,5
1926046,22131,13
1926046,22554,1
1926046,22555,9
1926046,23644,6
1926046,23879,3
1926046,24753,2
1926110,8663,16
1926110,10600,14
1926110,10604,13
1926110,17805,10
1926110,21911,6
1926110,22131,15
1926110,22234,2
1926110,22554,1
1926110,22963,8
1926110,23192,11
1926110,23400,7
1926110,23644,5
1926110,23647,9
1926110,25309,3
1926110,25311,4
1926110,25330,12
1926173,14229,27
1926173,20171,26
1926173,20375,20
1926173,21912,24
1926173,22012,8
1926173,22077,9
1926173,22234,4
1926173,22502,29
1926173,22556,12
1926173,22963,25
1926173,23383,16
1926173,23393,1
1926173,23394,2
1926173,23396,14
1926173,23399,18
1926173,23400,19
1926173,23683,28
1926173,24163,21
1926173,24753,3
1926173,25307,5
1926173,25309,6
1926173,25313,7
1926173,25314,10
1926173,25316,11
1926173,25318,13
1926173,25319,15
1926173,25323,17
1926173,25325,22
1926173,25327,23
1926173,25329,30
1928907,8641,23
