roll_call_id,people_id,vote,vote_desc
1472745,8641,2,Nay
1472745,10600,1,Yea
1472745,17805,1,Yea
1472745,20157,1,Yea
1472745,24311,1,Yea
1474923,8641,2,Nay
1474923,8663,1,Yea
1474923,8675,2,Nay
1474923,8679,2,Nay
1474923,10600,1,Yea
1474923,10602,2,Nay
1474923,10604,1,Yea
1474923,14226,2,Nay
1474923,14229,2,Nay
1474923,14414,2,Nay
1474923,16559,1,Yea
1474923,16712,2,Nay
1474923,16716,1,Yea
1474923,17805,1,Yea
1474923,18100,2,Nay
1474923,18213,2,Nay
1474923,18469,2,Nay
1474923,18487,1,Yea
1474923,18549,2,Nay
1474923,20157,1,Yea
1474923,22131,2,Nay
1474923,22235,1,Yea
1474923,22286,2,Nay
1474923,22502,2,Nay
1474923,22555,1,Yea
1474923,23192,1,Yea
1474923,23683,2,Nay
1474923,24311,2,Nay
1474923,25328,2,Nay
1474923,25329,2,Nay
1474923,25330,1,Yea
1471724,8663,1,Yea
1471724,10602,1,Yea
1471724,18469,1,Yea
1471724,20157,1,Yea
1471724,23192,2,Nay
1472419,10604,1,Yea
1472419,16559,4,Absent
1472419,18213,1,Yea
1472419,18487,1,Yea
1472419,25328,2,Nay
1472732,8641,2,Nay
1472732,8663,1,Yea
1472732,8675,2,Nay
1472732,8679,2,Nay
1472732,10600,2,Nay
1472732,10602,1,Yea
1472732,10604,2,Nay
1472732,14226,1,Yea
1472732,14229,2,Nay
1472732,14414,4,Absent
1472732,16559,2,Nay
1472732,16712,1,Yea
1472732,16716,2,Nay
1472732,17805,2,Nay
1472732,18100,2,Nay
1472732,18213,2,Nay
1472732,18469,2,Nay
1472732,18487,1,Yea
1472732,18549,2,Nay
1472732,20157,1,Yea
1472732,22131,4,Absent
1472732,22235,2,Nay
1472732,22286,2,Nay
1472732,22502,2,Nay
1472732,22555,2,Nay
1472732,23192,2,Nay
1472732,23683,2,Nay
1472732,24311,2,Nay
1472732,25328,2,Nay
1472732,25329,2,Nay
1472732,25330,2,Nay
1472177,10602,2,Nay
1472177,14414,1,Yea
1472177,18549,1,Yea
1472177,22286,1,Yea
1472177,24311,1,Yea
1474347,10604,1,Yea
1474347,16559,1,Yea
1474347,18213,1,Yea
1474347,18487,1,Yea
1474347,25328,1,Yea
1474983,8641,2,Nay
1474983,8663,2,Nay
1474983,8675,2,Nay
1474983,8679,1,Yea
1474983,10600,2,Nay
1474983,10602,2,Nay
1474983,10604,1,Yea
1474983,14226,1,Yea
1474983,14229,2,Nay
1474983,14414,1,Yea
1474983,16559,2,Nay
1474983,16712,2,Nay
1474983,16716,2,Nay
1474983,17805,2,Nay
1474983,18100,1,Yea
1474983,18213,2,Nay
1474983,18469,2,Nay
1474983,18487,1,Yea
1474983,18549,2,Nay
1474983,20157,2,Nay
1474983,22131,2,Nay
1474983,22235,2,Nay
1474983,22286,1,Yea
1474983,22502,2,Nay
1474983,22555,1,Yea
1474983,23192,2,Nay
1474983,23683,2,Nay
1474983,24311,1,Yea
1474983,25328,2,Nay
1474983,25329,2,Nay
1474983,25330,2,Nay
1473435,22077,1,Yea
1473435,22556,1,Yea
1473435,23644,2,Nay
1473435,24163,1,Yea
1473435,24307,1,Yea
1473435,25309,1,Yea
1473435,25322,1,Yea
1473435,25323,1,Yea
1473435,25327,1,Yea
1476056,8713,1,Yea
1476056,8725,2,Nay
1476056,10612,2,Nay
1476056,14228,2,Nay
1476056,14230,2,Nay
1476056,19384,2,Nay
1476056,20171,1,Yea
1476056,20193,4,Absent
1476056,20375,1,Yea
1476056,20377,2,Nay
1476056,21911,1,Yea
1476056,21912,2,Nay
1476056,22012,2,Nay
1476056,22013,2,Nay
1476056,22014,2,Nay
1476056,22077,1,Yea
1476056,22234,2,Nay
1476056,22554,1,Yea
1476056,22556,1,Yea
1476056,22676,2,Nay
1476056,22677,2,Nay
1476056,22963,1,Yea
1476056,23383,2,Nay
1476056,23393,1,Yea
1476056,23394,4,Absent
1476056,23396,1,Yea
1476056,23399,2,Nay
1476056,23400,1,Yea
1476056,23644,1,Yea
1476056,23645,2,Nay
1476056,23647,3,NV
1476056,23879,2,Nay
1476056,24160,2,Nay
1476056,24161,2,Nay
1476056,24162,4,Absent
1476056,24163,1,Yea
1476056,24307,1,Yea
1476056,24375,4,Absent
1476056,24753,1,Yea
1476056,25305,2,Nay
1476056,25306,2,Nay
1476056,25307,2,Nay
1476056,25308,2,Nay
1476056,25309,1,Yea
1476056,25310,2,Nay
1476056,25311,2,Nay
1476056,25312,2,Nay
1476056,25313,2,Nay
1476056,25314,2,Nay
1476056,25315,2,Nay
1476056,25316,2,Nay
1476056,25317,2,Nay
1476056,25318,2,Nay
1476056,25319,2,Nay
1476056,25320,2,Nay
1476056,25321,2,Nay
1476056,25322,4,Absent
1476056,25323,1,Yea
1476056,25324,2,Nay
1476056,25325,2,Nay
1476056,25326,2,Nay
1476056,25327,2,Nay
1472461,8663,1,Yea
1472461,10602,2,Nay
1472461,18469,1,Yea
1472461,20157,1,Yea
1472461,23192,1,Yea
1472812,8641,2,Nay
1472812,8663,1,Yea
1472812,8675,2,Nay
1472812,8679,2,Nay
1472812,10600,1,Yea
1472812,10602,2,Nay
1472812,10604,2,Nay
1472812,14226,1,Yea
1472812,14229,1,Yea
1472812,14414,4,Absent
1472812,16559,2,Nay
1472812,16712,1,Yea
1472812,16716,2,Nay
1472812,17805,4,Absent
1472812,18100,2,Nay
1472812,18213,2,Nay
1472812,18469,2,Nay
1472812,18487,2,Nay
1472812,18549,2,Nay
1472812,20157,1,Yea
1472812,22131,4,Absent
1472812,22235,2,Nay
1472812,22286,2,Nay
1472812,22502,2,Nay
1472812,22555,2,Nay
1472812,23192,1,Yea
1472812,23683,2,Nay
1472812,24311,2,Nay
1472812,25328,2,Nay
1472812,25329,2,Nay
1472812,25330,2,Nay
1472668,14414,1,Yea
1472668,16712,1,Yea
1472668,22131,4,Absent
1472668,22286,1,Yea
1472668,23192,1,Yea
1472887,8641,1,Yea
1472887,8663,2,Nay
1472887,8675,2,Nay
1472887,8679,2,Nay
1472887,10600,1,Yea
1472887,10602,2,Nay
1472887,10604,2,Nay
1472887,14226,2,Nay
1472887,14229,2,Nay
1472887,14414,4,Absent
1472887,16559,2,Nay
1472887,16712,1,Yea
1472887,16716,2,Nay
1472887,17805,4,Absent
1472887,18100,2,Nay
1472887,18213,2,Nay
1472887,18469,2,Nay
1472887,18487,1,Yea
1472887,18549,2,Nay
1472887,20157,1,Yea
1472887,22131,4,Absent
1472887,22235,1,Yea
1472887,22286,1,Yea
1472887,22502,1,Yea
1472887,22555,2,Nay
1472887,23192,1,Yea
1472887,23683,1,Yea
1472887,24311,2,Nay
1472887,25328,1,Yea
1472887,25329,2,Nay
1472887,25330,2,Nay
1472664,14414,1,Yea
1472664,16712,1,Yea
1472664,22131,4,Absent
1472664,22286,1,Yea
1472664,23192,1,Yea
1472873,8641,2,Nay
1472873,8663,1,Yea
1472873,8675,2,Nay
1472873,8679,2,Nay
1472873,10600,2,Nay
1472873,10602,2,Nay
1472873,10604,2,Nay
1472873,14226,2,Nay
1472873,14229,2,Nay
1472873,14414,4,Absent
1472873,16559,2,Nay
1472873,16712,1,Yea
1472873,16716,2,Nay
1472873,17805,4,Absent
1472873,18100,2,Nay
1472873,18213,2,Nay
1472873,18469,2,Nay
1472873,18487,2,Nay
1472873,18549,2,Nay
1472873,20157,2,Nay
1472873,22131,4,Absent
1472873,22235,2,Nay
1472873,22286,2,Nay
1472873,22502,2,Nay
1472873,22555,2,Nay
1472873,23192,2,Nay
1472873,23683,2,Nay
1472873,24311,2,Nay
1472873,25328,2,Nay
1472873,25329,2,Nay
1472873,25330,2,Nay
1471936,22235,1,Yea
1471936,22502,1,Yea
1471936,22555,1,Yea
1471936,23683,1,Yea
1471936,25329,1,Yea
1472463,10604,2,Nay
1472463,16559,1,Yea
1472463,18213,2,Nay
1472463,18487,1,Yea
1472463,25328,2,Nay
1474960,8641,1,Yea
1474960,8663,1,Yea
1474960,8675,1,Yea
1474960,8679,1,Yea
1474960,10600,1,Yea
1474960,10602,1,Yea
1474960,10604,1,Yea
1474960,14226,1,Yea
1474960,14229,1,Yea
1474960,14414,1,Yea
1474960,16559,2,Nay
1474960,16712,1,Yea
1474960,16716,1,Yea
1474960,17805,1,Yea
1474960,18100,1,Yea
1474960,18213,2,Nay
1474960,18469,1,Yea
1474960,18487,1,Yea
1474960,18549,1,Yea
1474960,20157,1,Yea
1474960,22131,1,Yea
1474960,22235,2,Nay
1474960,22286,1,Yea
1474960,22502,2,Nay
1474960,22555,2,Nay
1474960,23192,1,Yea
1474960,23683,2,Nay
1474960,24311,2,Nay
1474960,25328,2,Nay
1474960,25329,2,Nay
1474960,25330,1,Yea
1475412,8641,2,Nay
1475412,8663,2,Nay
1475412,8675,2,Nay
1475412,8679,1,Yea
1475412,10600,1,Yea
1475412,10602,2,Nay
1475412,10604,2,Nay
1475412,14226,2,Nay
1475412,14229,1,Yea
1475412,14414,2,Nay
1475412,16559,1,Yea
1475412,16712,2,Nay
1475412,16716,4,Absent
1475412,17805,1,Yea
1475412,18100,1,Yea
1475412,18213,1,Yea
